,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A011,-200.0,-200.0,-200.0,-72.0,-72.0,-69.90876,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-72.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
1,A011,-200.0,-200.0,-200.0,-71.499504,-72.0,-68.0,-73.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
2,A011,-200.0,-200.0,-200.0,-200.0,-72.33444,-69.001,-200.0,-56.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-72.0,-200.0,-200.0,-200.0,-72.27004,-200,-200.0,-200.0
3,A011,-200.0,-200.0,-200.0,-71.66689,-71.74676,-69.33511,-200.0,-56.5005,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.66223,-200,-200.0,-200.0
4,A011,-200.0,-200.0,-200.0,-71.24726,-69.57687,-70.25774,-200.0,-56.667557,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.48853,-200,-200.0,-200.0
5,A011,-200.0,-200.0,-200.0,-70.99483,-69.57687,-69.90876,-200.0,-61.786148,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.98488,-200,-200.0,-200.0
6,A011,-200.0,-200.0,-200.0,-70.995705,-72.20279,-69.19363,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.15715,-200,-200.0,-200.0
7,A011,-200.0,-200.0,-200.0,-200.0,-72.33808,-68.48195,-72.65961,-60.4127,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.27004,-200,-200.0,-200.0
8,A011,-200.0,-200.0,-200.0,-71.72904,-200.0,-67.971695,-72.416405,-59.49414,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.69449,-200,-200.0,-200.0
9,A011,-200.0,-200.0,-200.0,-71.50542,-69.57687,-67.587364,-200.0,-59.714813,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.216675,-200,-200.0,-200.0
10,A011,-200.0,-200.0,-200.0,-71.21458,-69.57687,-69.90876,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.07544,-200,-200.0,-200.0
11,A011,-200.0,-200.0,-200.0,-70.98069,-72.11841,-67.17092,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.067474,-200,-200.0,-200.0
12,A011,-200.0,-200.0,-200.0,-200.0,-72.33684,-66.83603,-72.71045,-59.881027,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.27004,-200,-200.0,-200.0
13,A011,-200.0,-200.0,-200.0,-200.0,-71.87881,-66.463326,-72.83574,-60.12701,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.15808,-200,-200.0,-200.0
14,A011,-200.0,-200.0,-200.0,-71.3712,-69.57687,-66.42153,-200.0,-60.536057,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.14382,-200,-200.0,-200.0
15,A011,-200.0,-200.0,-200.0,-71.69857,-69.57687,-69.90876,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.13168,-200,-200.0,-200.0
16,A011,-200.0,-200.0,-200.0,-72.06174,-72.18206,-66.38594,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.12121,-200,-200.0,-200.0
17,A011,-200.0,-200.0,-200.0,-73.21659700000001,-71.98521,-66.753,-200.0,-60.872612,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.27004,-200,-200.0,-200.0
18,A011,-200.0,-200.0,-200.0,-73.21659700000001,-71.90202,-67.07324,-200.0,-61.154743,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.18747,-200,-200.0,-200.0
19,A011,-200.0,-200.0,-200.0,-72.05683,-69.57687,-66.92429,-200.0,-61.479393,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.173996,-200,-200.0,-200.0
20,A011,-200.0,-200.0,-200.0,-71.90173,-71.90982,-69.90876,-200.0,-62.634552,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.2308,-200,-200.0,-200.0
21,A011,-200.0,-200.0,-200.0,-72.33985,-72.14284,-66.79197,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.28163,-200,-200.0,-200.0
22,A011,-200.0,-200.0,-200.0,-73.21659700000001,-71.917046,-66.73963,-200.0,-62.81292,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.27004,-200,-200.0,-200.0
23,A011,-200.0,-200.0,-200.0,-73.21659700000001,-71.71645,-66.88373,-200.0,-62.970047,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.94493,-200,-200.0,-200.0
24,A011,-200.0,-200.0,-200.0,-72.38525,-69.57687,-69.90876,-200.0,-63.040874,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.76325,-200,-200.0,-200.0
25,A011,-200.0,-200.0,-200.0,-200.0,-69.57687,-69.90876,-72.285165,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.597786,-200,-200.0,-200.0
26,A011,-200.0,-200.0,-200.0,-72.588104,-71.669106,-66.76752,-200.0,-63.30253,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.20396,-200,-200.0,-200.0
27,A011,-200.0,-200.0,-200.0,-73.21659700000001,-71.62645,-66.66168,-200.0,-63.41074,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.27004,-200,-200.0,-200.0
28,A011,-200.0,-200.0,-200.0,-200.0,-71.52611,-66.56485,-72.98854,-63.570477,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.36291,-200,-200.0,-200.0
29,A011,-200.0,-200.0,-200.0,-72.79859,-69.57687,-69.90876,-200.0,-63.416557,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.342735,-200,-200.0,-200.0
30,A011,-200.0,-200.0,-200.0,-200.0,-71.37485,-69.90876,-72.285165,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.37852,-200,-200.0,-200.0
31,A011,-200.0,-200.0,-200.0,-72.703255,-71.23646,-66.81698,-200.0,-61.95243,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.89257,-200,-200.0,-200.0
32,A011,-200.0,-200.0,-200.0,-200.0,-70.99563,-66.99388,-72.86724,-63.15919,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.27004,-200,-200.0,-200.0
33,A011,-200.0,-200.0,-200.0,-72.66328,-70.9403,-67.103096,-200.0,-62.922752,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.26583,-200,-200.0,-200.0
