,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-61.2067835,-200.0,-200.0,-60.0,-200.0,-200,-200,-200.0,-200.0,-61.0,-71.0,-200.0,-200.0,-74.0,-200,-200.0,-73.0
1,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-200.0,-200.0,-200.0,-61.001,-200.0,-200,-200,-200.0,-200.0,-61.0,-71.0,-200.0,-75.00122,-74.500496,-200,-200.0,-72.499504
2,R05,-78.799565,-200.0,-200.0,-200.0,-200.0,-200.0,-78.0,-200.0,-62.67288,-200.0,-200,-200,-200.0,-200.0,-63.006653,-70.66556,-200.0,-200.0,-74.66755,-200,-200.0,-76.812744
3,R05,-200.0,-200.0,-200.0,-76.9043025,-200.0,-76.3198,-200.0,-77.496506,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-74.3391
4,R05,-200.0,-200.0,-200.0,-200.0,-200.0,-74.225334,-200.0,-76.327126,-63.25872,-200.0,-200,-200,-200.0,-200.0,-61.242764,-75.40962,-200.0,-200.0,-76.00997,-200,-200.0,-75.26071
5,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-61.2067835,-200.0,-200.0,-63.611137,-200.0,-200,-200,-200.0,-200.0,-59.97929,-71.50499,-200.0,-200.0,-76.81751,-200,-200.0,-75.41033
6,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-72.763,-200.0,-200.0,-64.35594,-200.0,-200,-200,-200.0,-200.0,-59.473694,-72.21235,-200.0,-75.00122,-200.0,-200,-200.0,-74.83159
7,R05,-200.0,-200.0,-200.0,-200.0,-200.0,-70.93648,-200.0,-75.74129,-65.03649,-200.0,-200,-200,-200.0,-200.0,-59.404278,-72.685425,-200.0,-200.0,-75.846596,-200,-200.0,-76.812744
8,R05,-200.0,-200.0,-200.0,-76.9043025,-200.0,-69.62691,-200.0,-75.38887,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-76.02861
9,R05,-200.0,-200.0,-200.0,-76.9043025,-200.0,-68.64051,-200.0,-74.81377,-64.77311,-200.0,-200,-200,-200.0,-200.0,-60.12798,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-75.89558
10,R05,-200.0,-200.0,-200.0,-200.0,-200.0,-61.2067835,-200.0,-74.25489,-64.79945,-200.0,-200,-200,-200.0,-200.0,-60.229206,-73.024605,-200.0,-200.0,-75.47844,-200,-200.0,-75.55944
11,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-67.637474,-200.0,-200.0,-65.34871,-200.0,-200,-200,-200.0,-200.0,-59.676926,-73.53875,-200.0,-75.00122,-75.19073,-200,-200.0,-200.0
12,R05,-200.0,-200.0,-200.0,-200.0,-200.0,-67.042076,-200.0,-74.221924,-66.0921,-200.0,-200,-200,-200.0,-200.0,-59.514,-74.17272,-200.0,-200.0,-75.170586,-200,-200.0,-76.812744
13,R05,-200.0,-200.0,-200.0,-76.9043025,-200.0,-66.84367,-200.0,-74.42833,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-75.83496
14,R05,-200.0,-200.0,-200.0,-200.0,-200.0,-66.496925,-200.0,-74.48871,-66.08379,-200.0,-200,-200,-200.0,-200.0,-59.196987,-75.40962,-200.0,-200.0,-75.63981,-200,-200.0,-75.66942
15,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-61.2067835,-200.0,-74.34406,-66.41443,-200.0,-200,-200,-200.0,-200.0,-58.927067,-74.15448,-200.0,-200.0,-200.0,-200,-200.0,-75.69733
16,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-61.2067835,-75.89172,-200.0,-66.69967,-200.0,-200,-200,-200.0,-200.0,-58.93287,-74.13947,-200.0,-75.00122,-200.0,-200,-200.0,-200.0
17,R05,-200.0,-200.0,-200.0,-200.0,-200.0,-66.20168,-200.0,-74.31302,-66.79772,-200.0,-200,-200,-200.0,-200.0,-58.711716,-74.12689,-200.0,-200.0,-76.57575,-200,-200.0,-76.812744
18,R05,-200.0,-200.0,-200.0,-76.9043025,-200.0,-65.94698,-200.0,-74.37102,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-75.29818,-200.0,-200.0,-200.0,-200,-200.0,-75.88051
19,R05,-200.0,-200.0,-200.0,-200.0,-76.284134,-66.328,-200.0,-74.65971,-67.02779,-200.0,-200,-200,-200.0,-200.0,-58.30137,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-76.04032
20,R05,-200.0,-200.0,-200.0,-200.0,-75.78421,-61.2067835,-200.0,-75.213196,-67.16341,-200.0,-200,-200,-200.0,-200.0,-57.936817,-75.0358,-200.0,-200.0,-200.0,-200,-200.0,-76.46849
21,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-66.87918,-75.89172,-200.0,-67.1526,-200.0,-200,-200,-200.0,-200.0,-57.874905,-74.806885,-200.0,-75.00122,-200.0,-200,-200.0,-200.0
22,R05,-200.0,-200.0,-200.0,-200.0,-75.72508,-66.818726,-200.0,-75.19788,-67.142876,-200.0,-200,-200,-200.0,-200.0,-57.94663,-74.605225,-200.0,-200.0,-200.0,-200,-200.0,-76.812744
23,R05,-200.0,-200.0,-200.0,-200.0,-75.81667,-66.8307,-200.0,-75.45934,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-76.337616
24,R05,-200.0,-200.0,-200.0,-200.0,-75.41669,-67.09649,-200.0,-75.49508,-66.94898,-200.0,-200,-200,-200.0,-200.0,-58.258385,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-75.86985
25,R05,-200.0,-200.0,-200.0,-200.0,-74.992615,-61.2067835,-200.0,-75.59102,-66.95204,-200.0,-200,-200,-200.0,-200.0,-58.54231,-74.15102,-200.0,-200.0,-200.0,-200,-200.0,-75.44603
26,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-67.707466,-200.0,-200.0,-67.01311,-200.0,-200,-200,-200.0,-200.0,-58.80207,-73.67841,-200.0,-75.00122,-200.0,-200,-200.0,-75.1798
27,R05,-200.0,-200.0,-200.0,-200.0,-74.92934,-67.78487,-200.0,-76.171486,-67.52399,-200.0,-200,-200,-200.0,-200.0,-59.09756,-73.443924,-200.0,-200.0,-200.0,-200,-200.0,-76.812744
28,R05,-200.0,-200.0,-200.0,-200.0,-74.9337,-67.56431,-200.0,-76.16122,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-75.16932
29,R05,-200.0,-200.0,-200.0,-200.0,-74.87779,-67.1343,-200.0,-76.32664,-67.71717,-200.0,-200,-200,-200.0,-200.0,-58.7031,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-74.98915
30,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-61.2067835,-200.0,-76.53546,-67.67812,-200.0,-200,-200,-200.0,-200.0,-58.501495,-73.10808,-200.0,-200.0,-200.0,-200,-200.0,-74.76745
31,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-67.23799,-200.0,-200.0,-67.53504,-200.0,-200,-200,-200.0,-200.0,-58.367847,-73.04173,-200.0,-75.00122,-200.0,-200,-200.0,-74.61678
32,R05,-200.0,-200.0,-200.0,-200.0,-74.651825,-66.95282,-200.0,-76.45012,-67.50694,-200.0,-200,-200,-200.0,-200.0,-58.207054,-73.155846,-200.0,-200.0,-76.65302,-200,-200.0,-200.0
33,R05,-200.0,-200.0,-200.0,-200.0,-74.27369,-66.58135,-200.0,-76.42561,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-73.374374,-200.0,-200.0,-200.0,-200,-200.0,-74.69068
34,R05,-200.0,-200.0,-200.0,-200.0,-73.70271,-66.07817,-76.43985,-200.0,-67.58413,-200.0,-200,-200,-200.0,-200.0,-58.453564,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-74.706924
35,R05,-200.0,-200.0,-200.0,-200.0,-73.12003,-61.2067835,-76.15862,-200.0,-67.401474,-200.0,-200,-200,-200.0,-200.0,-58.27502,-73.35356,-200.0,-200.0,-200.0,-200,-200.0,-74.77377
36,R05,-200.0,-200.0,-200.0,-200.0,-73.534835,-65.76394,-200.0,-200.0,-67.48187,-200.0,-200,-200,-200.0,-200.0,-58.10812,-73.388756,-200.0,-75.00122,-200.0,-200,-200.0,-75.19299
37,R05,-200.0,-200.0,-200.0,-76.59701,-72.632774,-65.36827,-75.946686,-200.0,-67.855515,-200.0,-200,-200,-200.0,-200.0,-58.102684,-73.42141,-200.0,-200.0,-200.0,-200,-200.0,-200.0
38,R05,-200.0,-200.0,-200.0,-200.0,-72.49451,-64.947365,-75.597275,-200.0,-69.36685,-200.0,-200,-200,-200.0,-200.0,-58.207054,-73.609344,-200.0,-200.0,-200.0,-200,-200.0,-75.48508
39,R05,-200.0,-200.0,-200.0,-200.0,-71.90026,-64.60209,-75.61729,-200.0,-67.81346,-200.0,-200,-200,-200.0,-200.0,-57.849083,-75.40962,-200.0,-200.0,-200.0,-200,-200.0,-75.510666
40,R05,-200.0,-200.0,-200.0,-200.0,-71.344765,-61.2067835,-75.685265,-200.0,-67.77387,-200.0,-200,-200,-200.0,-200.0,-57.561554,-73.62954,-200.0,-200.0,-200.0,-200,-200.0,-75.58388
