,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S07,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.16953,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-64.0,-70.01644999999999,-80.67242,-73.0,-200,-77.0,-80.60103
1,S07,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.16953,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-63.4995,-68.0,-80.67242,-73.0,-200,-75.1277,-80.60103
2,S07,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-78.0,-200.0,-200.0,-200,-200,-200,-200,-200,-82.66489,-61.99468,-70.002,-200.0,-73.33444,-200,-78.001,-80.0
3,S07,-200.0,-200,-200.0,-200.0,-200.0,-81.2097,-79.501495,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.56743,-71.67354,-200.0,-67.7716825,-200,-78.669556,-81.501495
4,S07,-200.0,-200,-200.0,-200.0,-200.0,-81.2097,-79.33377,-200.0,-200.0,-200,-200,-200,-200,-200,-76.37766,-61.240784,-72.51096,-200.0,-73.250244,-200,-79.75973,-200.0
5,S07,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-78.24277,-81.17513,-200.0,-200,-200,-200,-200,-200,-200.0,-60.787273,-70.01644999999999,-80.67242,-73.401985,-200,-80.61791,-200.0
6,S07,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.16953,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.483967,-73.21711,-80.67242,-73.50347,-200,-75.1277,-80.60103
7,S07,-200.0,-200,-200.0,-200.0,-82.22031799999999,-200.0,-80.01514,-200.0,-200.0,-200,-200,-200,-200,-200,-81.8532,-60.266502,-73.34997,-200.0,-74.01586,-200,-82.04039,-200.0
8,S07,-200.0,-200,-200.0,-200.0,-82.22031799999999,-200.0,-80.52168,-200.0,-200.0,-200,-200,-200,-200,-200,-81.4842,-59.56743,-73.88486,-200.0,-67.7716825,-200,-82.181015,-200.0
9,S07,-200.0,-200,-200.0,-200.0,-200.0,-81.2097,-80.44523,-81.17513,-200.0,-200,-200,-200,-200,-200,-76.37766,-61.137356,-74.029076,-200.0,-74.01381,-200,-200.0,-200.0
10,S07,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-80.77564,-81.17513,-200.0,-200,-200,-200,-200,-200,-200.0,-61.46967,-70.01644999999999,-80.67242,-74.01221,-200,-200.0,-80.60103
11,S07,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-75.16953,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.736908,-74.37396,-80.67242,-73.79969,-200,-75.1277,-80.60103
12,S07,-200.0,-200,-200.0,-200.0,-82.22031799999999,-200.0,-80.45343,-200.0,-200.0,-200,-200,-200,-200,-200,-82.77181,-62.34542,-74.5457,-200.0,-74.013466,-200,-75.1277,-200.0
13,S07,-200.0,-200,-200.0,-200.0,-82.22031799999999,-200.0,-80.616776,-200.0,-200.0,-200,-200,-200,-200,-200,-82.61197,-59.56743,-74.78416,-200.0,-67.7716825,-200,-81.70909,-200.0
14,S07,-200.0,-200,-200.0,-200.0,-200.0,-81.2097,-80.94549,-200.0,-200.0,-200,-200,-200,-200,-200,-76.37766,-63.847893,-75.705765,-200.0,-73.83182,-200,-81.54304,-200.0
