timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,accer_x,accer_y,accer_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z
2022-06-30 18:16:15 +0000,-200.0,-200.0,-74.0,-72.0,-72.0,-200.0,-200.0,-200.0,-83.0,-79.0,-200.0,-200.0,-200.0,-90.0,-72.0,-79.0,-200.0,-200.0,-75.0,-200.0,-84.0, -200.0, 0.0904693603515625,-0.1879119873046875,-0.9978179931640625,-0.007478688843548298,-0.006020075641572475,-0.05495166406035423,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:16 +0000,-200.0,-200.0,-73.499504,-71.499504,-72.0,-68.0,-73.0,-200.0,-81.498505,-79.0,-94.0,-200.0,-85.0,-88.999,-200.0,-81.002,-81.0,-86.0,-75.0,-200.0,-82.999, -200.0, 0.08892822265625,-0.178680419921875,-1.0015411376953125,0.022879749536514282,-0.018037855625152588,-0.026977822184562683,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:17 +0000,-75.0,-92.0,-73.33245,-200.0,-72.33444,-69.001,-73.500496,-56.0,-200.0,-200.0,-92.999,-200.0,-84.499504,-88.330444,-72.0,-82.004654,-81.0,-84.498505,-200.0,-200.0,-82.66489, -91.0, 0.0919647216796875,-0.1840362548828125,-0.9917449951171875,-0.005547364708036184,-0.025235848501324654,0.010866495780646801,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:18 +0000,-74.499504,-88.496506,-200.0,-71.66689,-71.74676,-69.33511,-73.66755,-56.5005,-81.33179,-79.0,-92.66489,-200.0,-84.66689,-88.24725,-73.67221,-200.0,-82.00333,-84.33179,-73.66223,-200.0,-82.497505, -90.499504, 0.0997161865234375,-0.18182373046875,-0.9770660400390625,-0.02100621536374092,0.012950952164828777,-0.033243175595998764,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:19 +0000,-73.99801,-87.327126,-74.25574,-71.24726,-200.0,-70.25774,-72.996,-56.667557,-80.744774,-79.0,-200.0,-200.0,-200.0,-200.0,-73.75473,-81.248245,-82.75772,-84.50001,-72.48853,-200.0,-200.0, -91.00133, 0.0870819091796875,-0.1669921875,-0.9832305908203125,0.03295688331127167,-0.027218570932745934,-0.005921804811805487,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:20 +0000,-73.746765,-87.49652,-75.01354,-70.99483,-200.0,-200.0,-200.0,-61.786148,-79.98687,-79.20239,-200.0,-200.0,-200.0,-88.19721,-73.80437,-79.376495,-200.0,-200.0,-71.98488,-200.0,-81.78964, -200.0, 0.086456298828125,-0.166046142578125,-1.0015869140625,0.05698685348033905,-0.004048271104693413,-0.04171548783779144,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:21 +0000,-200.0,-200.0,-75.859764,-70.995705,-72.20279,-69.19363,-72.794426,-200.0,-79.47999,-79.33775,-200.0,-200.0,-85.25424,-87.99404,-200.0,-78.12467,-83.413925,-85.41076,-72.15715,-200.0,-81.65564, -200.0, 0.073516845703125,-0.169464111328125,-1.01129150390625,0.028868665918707848,0.020507937297225,-0.0034647725988179445,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:22 +0000,-74.2028,-88.40798,-76.61303,-200.0,-72.33808,-68.48195,-72.65961,-60.4127,-200.0,-200.0,-200.0,-200.0,-85.60757,-87.99492,-76.213425,-200.0,-83.8528,-85.17135,-200.0,-200.0,-81.852646, -91.25274, 0.0943756103515625,-0.178131103515625,-1.01165771484375,-0.003084739437326789,-0.05536552146077156,0.000782436749432236,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:23 +0000,-73.99867,-89.01756,-200.0,-71.72904,-72.58163,-67.971695,-72.416405,-59.49414,-79.409645,-79.141716,-200.0,-200.0,-86.01357,-87.995575,-77.20795,-200.0,-83.87437,-84.9997,-71.69449,-200.0,-82.00103, -91.20159, 0.0834808349609375,-0.179351806640625,-0.9723358154296875,-0.013063071295619011,-0.0027382622938603163,0.02762630209326744,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:24 +0000,-73.852325,-88.86845,-200.0,-71.50542,-200.0,-67.587364,-72.10389,-59.714813,-79.35666,-78.86472,-200.0,-200.0,-200.0,-200.0,-76.922386,-77.37369,-84.92526,-85.129074,-71.216675,-200.0,-200.0, -91.16738, 0.171417236328125,-0.256866455078125,-1.103790283203125,0.2456829994916916,-0.03994981199502945,-0.22631409764289856,-97.99238586425781,11.903076171875,-185.30755615234375
2022-06-30 18:16:25 +0000,-73.87143,-88.88546,-77.05107,-71.21458,-200.0,-200.0,-200.0,-200.0,-79.315254,-78.299995,-200.0,-200.0,-200.0,-87.531746,-76.69923,-77.066696,-200.0,-200.0,-71.07544,-200.0,-82.34917, -200.0, 0.0331878662109375,-0.07305908203125,-1.0481414794921875,-0.09027716517448425,0.07353892922401428,0.009211608208715916,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:26 +0000,-200.0,-200.0,-77.27731,-70.98069,-72.11841,-67.17092,-72.44009,-200.0,-79.38757,-77.95147,-200.0,-200.0,-85.86504,-87.26436,-200.0,-76.94287,-85.16611,-85.92669,-71.067474,-200.0,-81.995445, -200.0, 0.0804595947265625,-0.055511474609375,-0.9853057861328125,-0.18021823465824127,0.027851073071360588,0.03290282189846039,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:27 +0000,-74.46679,-200.0,-77.45925,-200.0,-72.33684,-66.83603,-72.71045,-59.881027,-200.0,-200.0,-200.0,-200.0,-85.23584,-87.14152,-76.625374,-200.0,-85.57102,-86.4625,-200.0,-200.0,-81.70441, -90.70323, 0.063201904296875,-0.040618896484375,-1.0141448974609375,0.09434088319540024,0.015272962860763073,-0.001955292886123061,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:28 +0000,-74.73434,-87.85398,-200.0,-200.0,-71.87881,-66.463326,-72.83574,-60.12701,-79.83571,-77.956184,-93.25274,-200.0,-84.74412,-200.0,-76.56461,-200.0,-85.807014,-87.09768,-71.15808,-200.0,-82.00172, -90.87095, 0.0753326416015625,-0.0903472900390625,-0.9869842529296875,-0.03659476339817047,-0.004165450111031532,-0.0901581197977066,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:29 +0000,-74.66299,-87.23571,-77.414635,-71.3712,-200.0,-66.42153,-73.391846,-60.536057,-80.03096,-78.05035,-200.0,-200.0,-84.45429,-200.0,-76.152824,-78.110664,-86.00485,-200.0,-71.14382,-200.0,-200.0, -91.23419, 0.088775634765625,-0.04815673828125,-1.016143798828125,-0.006865096744149923,0.008169246837496758,-0.0016109461430460215,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:30 +0000,-74.60318,-86.5327,-77.28701,-71.69857,-200.0,-200.0,-200.0,-200.0,-80.53492,-78.21495,-200.0,-200.0,-200.0,-86.85811,-75.886635,-78.294235,-200.0,-200.0,-71.13168,-200.0,-81.91714, -90.787, 0.0825347900390625,-0.0503387451171875,-1.005859375,0.009712016209959984,-0.004493551794439554,-0.020186228677630424,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:31 +0000,-200.0,-200.0,-77.26278,-72.06174,-72.18206,-66.38594,-73.358765,-200.0,-80.96968,-78.277405,-93.40398,-200.0,-84.118675,-86.6168,-200.0,-78.808975,-85.666725,-87.53994,-71.12121,-200.0,-81.92373, -200.0, 0.089019775390625,-0.0540618896484375,-1.007110595703125,0.03032355010509491,0.021954301744699478,-0.003994741477072239,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:32 +0000,-200.0,-85.85314,-77.08276,-200.0,-71.98521,-66.753,-73.33022,-60.872612,-200.0,-200.0,-94.01424,-200.0,-84.19818,-86.488174,-75.975204,-79.66939,-85.45458,-87.9165,-200.0,-200.0,-81.85407, -200.0, 0.09930419921875,-0.0664825439453125,-1.0030517578125,0.026223348453640938,0.018580608069896698,0.03164953738451004,-110.63821411132812,4.629638671875,-173.7468719482422
2022-06-30 18:16:33 +0000,-74.63668,-85.274536,-200.0,-200.0,-71.90202,-67.07324,-73.757744,-61.154743,-81.04737,-78.18108,-94.15869,-200.0,-83.92816,-200.0,-75.67545,-200.0,-85.4203,-88.24135,-71.18747,-200.0,-81.72087, -90.8077, 0.1164398193359375,-0.0728912353515625,-0.972137451171875,0.07578637450933456,0.09607673436403275,0.01607191003859043,-110.63821411132812,4.629638671875,-173.7468719482422
