timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-20 14:07:32 +0000,-69.0,-78.0,-200.0,-200.0,-75.0,-73.0,-71.0,-79.0,-200.0,-74.0,-200.0,-200.0,-82.0,-200.0,-87.0,-88.0,0.0,-89.0,-84.0,-88.0,-200.0,-200.0,341.51776123046875,N
2022-07-20 14:07:33 +0000,-69.0,-78.0,-200.0,-200.0,-75.0,-73.0,-71.0,-78.0,-77.0,-73.0,-93.0,-200.0,-82.0,-81.0,-88.0,-85.0,0.0,-89.0,-84.0,-90.0,-200.0,-200.0,341.52117919921875,N
2022-07-20 14:07:34 +0000,0.0,0.0,-68.0,-58.0,-72.0,0.0,-72.0,-78.0,-73.0,-72.0,-92.0,-87.0,0.0,-81.0,0.0,0.0,-96.0,-96.0,-88.0,-90.0,-200.0,-89.0,343.14849853515625,N
2022-07-20 14:07:35 +0000,0.0,0.0,-67.0,-60.0,-67.0,0.0,0.0,-79.0,-70.0,-72.0,-89.0,-86.0,-80.0,-79.0,-81.0,-87.0,-94.0,0.0,-86.0,0.0,-200.0,-88.0,340.5069885253906,N
2022-07-20 14:07:36 +0000,-64.0,-72.0,-67.0,-63.0,0.0,-74.0,-72.0,0.0,0.0,0.0,-90.0,-80.0,-78.0,-83.0,-80.0,-86.0,0.0,0.0,0.0,0.0,-200.0,-93.0,337.2624816894531,N
2022-07-20 14:07:37 +0000,-65.0,-75.0,-65.0,-62.0,-76.0,-76.0,-72.0,-72.0,-66.0,-74.0,0.0,-79.0,-79.0,0.0,-79.0,-86.0,0.0,-91.0,-88.0,-85.0,-200.0,0.0,337.2624816894531,N
2022-07-20 14:07:38 +0000,-65.0,-74.0,0.0,0.0,-67.0,-80.0,-72.0,-72.0,-65.0,-73.0,-88.0,0.0,-82.0,-76.0,-78.0,-86.0,-94.0,-91.0,-85.0,-86.0,-200.0,-88.0,337.3072814941406,N
2022-07-20 14:07:39 +0000,0.0,-78.0,-72.0,-66.0,-68.0,0.0,-74.0,-72.0,-65.0,-74.0,-86.0,-84.0,0.0,-70.0,0.0,0.0,-94.0,-91.0,-86.0,-86.0,-200.0,-87.0,338.44366455078125,N
2022-07-20 14:07:40 +0000,-65.0,0.0,-65.0,-64.0,-67.0,0.0,0.0,0.0,-65.0,-73.0,-83.0,-85.0,-84.0,-70.0,-80.0,-90.0,0.0,-94.0,-89.0,0.0,-200.0,-87.0,339.4517517089844,N
2022-07-20 14:07:41 +0000,-67.0,-73.0,-64.0,-64.0,0.0,-78.0,0.0,0.0,0.0,0.0,-86.0,-81.0,-82.0,-80.0,-75.0,-90.0,0.0,0.0,0.0,0.0,-200.0,-89.0,338.4512634277344,N
2022-07-20 14:07:42 +0000,-66.0,-72.0,0.0,-64.0,-71.0,-76.0,-68.0,-70.0,-76.0,-74.0,0.0,-79.0,-81.0,0.0,-79.0,-85.0,-93.0,-91.0,-83.0,-80.0,-200.0,0.0,340.58856201171875,N
2022-07-20 14:07:43 +0000,-66.0,-70.0,0.0,0.0,-70.0,-80.0,-68.0,-72.0,-66.0,-73.0,-87.0,0.0,-92.0,-84.0,-82.0,-89.0,-94.0,-90.0,-85.0,-79.0,-200.0,-87.0,338.536865234375,N
2022-07-20 14:07:44 +0000,0.0,-70.0,-68.0,-64.0,-67.0,0.0,-73.0,-73.0,-66.0,-72.0,-83.0,-85.0,0.0,-84.0,0.0,0.0,0.0,-91.0,-86.0,-82.0,-200.0,-86.0,340.5133972167969,N
2022-07-20 14:07:45 +0000,0.0,0.0,-68.0,-63.0,-67.0,-78.0,0.0,0.0,-66.0,-76.0,-82.0,-83.0,-86.0,-78.0,0.0,-86.0,0.0,-90.0,-90.0,-88.0,-200.0,-86.0,339.4959411621094,N
2022-07-20 14:07:46 +0000,-65.0,-72.0,-67.0,-63.0,0.0,-78.0,-71.0,0.0,0.0,0.0,-84.0,-82.0,-82.0,-69.0,-77.0,-84.0,0.0,0.0,0.0,0.0,-200.0,-89.0,339.4959411621094,N
2022-07-20 14:07:47 +0000,-67.0,-72.0,-67.0,-64.0,-70.0,-77.0,-70.0,-74.0,-68.0,-73.0,0.0,-89.0,-79.0,0.0,-77.0,-85.0,0.0,-92.0,-89.0,-83.0,-200.0,0.0,339.4959411621094,N
2022-07-20 14:07:48 +0000,-69.0,-73.0,0.0,0.0,-68.0,-78.0,-71.0,-73.0,-68.0,-72.0,-82.0,0.0,-84.0,-87.0,-77.0,-87.0,0.0,-92.0,-89.0,-81.0,-200.0,-87.0,339.4959411621094,N
2022-07-20 14:07:49 +0000,0.0,-74.0,-66.0,-67.0,-68.0,0.0,-70.0,-74.0,-68.0,-72.0,-85.0,-82.0,0.0,-78.0,0.0,0.0,0.0,0.0,-88.0,-81.0,-200.0,-87.0,339.4959411621094,N
2022-07-20 14:07:50 +0000,0.0,0.0,-65.0,-64.0,-69.0,0.0,0.0,0.0,-69.0,-73.0,-84.0,-82.0,0.0,-72.0,-86.0,-84.0,0.0,0.0,-93.0,-85.0,-200.0,-87.0,339.4959411621094,N
2022-07-20 14:07:51 +0000,-73.0,-73.0,-67.0,-64.0,0.0,-82.0,0.0,-75.0,0.0,0.0,-82.0,-87.0,-77.0,-91.0,-79.0,-89.0,0.0,0.0,0.0,0.0,-200.0,-88.0,341.701904296875,N
2022-07-20 14:07:52 +0000,-74.0,-72.0,0.0,-63.0,-69.0,-73.0,-72.0,-72.0,-70.0,0.0,0.0,-88.0,-79.0,0.0,-77.0,-87.0,0.0,-93.0,-84.0,-83.0,-200.0,0.0,341.701904296875,N
2022-07-20 14:07:53 +0000,-67.0,-71.0,0.0,0.0,-69.0,-77.0,-71.0,-71.0,-70.0,-71.0,-82.0,0.0,-82.0,-71.0,-78.0,-88.0,0.0,-94.0,-85.0,-84.0,-200.0,0.0,341.701904296875,N
2022-07-20 14:07:54 +0000,0.0,-72.0,-67.0,-65.0,-68.0,-90.0,-72.0,-73.0,-71.0,-71.0,-87.0,-79.0,0.0,-71.0,0.0,0.0,0.0,-94.0,-88.0,-81.0,-200.0,-90.0,340.64691162109375,N
2022-07-20 14:07:55 +0000,-77.0,0.0,-67.0,-64.0,-68.0,-83.0,0.0,0.0,-72.0,-73.0,-86.0,-86.0,-74.0,-79.0,-79.0,-84.0,0.0,-94.0,-89.0,-83.0,-200.0,-91.0,339.6468200683594,N
2022-07-20 14:07:56 +0000,-67.0,-69.0,-67.0,-64.0,0.0,-74.0,-72.0,0.0,0.0,0.0,-87.0,-86.0,-81.0,-85.0,-77.0,-84.0,0.0,0.0,0.0,0.0,-200.0,-95.0,339.6468200683594,N
2022-07-20 14:07:57 +0000,-67.0,-70.0,-71.0,-66.0,-71.0,-74.0,-72.0,-71.0,-65.0,-71.0,0.0,0.0,-81.0,0.0,-80.0,-86.0,-93.0,-92.0,-80.0,-85.0,-200.0,0.0,339.6114807128906,N
2022-07-20 14:07:58 +0000,-67.0,-73.0,0.0,0.0,-70.0,-75.0,-71.0,-70.0,-67.0,-71.0,-94.0,0.0,-81.0,-74.0,-79.0,-87.0,-95.0,-92.0,-80.0,-86.0,-200.0,-91.0,328.2375793457031,N
2022-07-20 14:07:59 +0000,0.0,-74.0,-66.0,0.0,-70.0,0.0,-71.0,-72.0,-68.0,-74.0,-88.0,-82.0,0.0,-75.0,0.0,0.0,0.0,-95.0,-82.0,-82.0,-200.0,-91.0,335.6101379394531,N
2022-07-20 14:08:00 +0000,-73.0,0.0,-64.0,-62.0,-69.0,-78.0,0.0,-75.0,-68.0,0.0,-90.0,-80.0,-82.0,-76.0,0.0,-85.0,0.0,0.0,-84.0,0.0,-200.0,-85.0,337.87799072265625,N
2022-07-20 14:08:01 +0000,-66.0,-76.0,-64.0,-65.0,0.0,-78.0,-67.0,0.0,0.0,0.0,-90.0,-81.0,-81.0,-76.0,-83.0,-84.0,0.0,0.0,0.0,0.0,-200.0,-85.0,338.9091491699219,N
2022-07-20 14:08:02 +0000,-69.0,-76.0,-63.0,-64.0,-73.0,-72.0,-70.0,-73.0,0.0,-75.0,0.0,-81.0,-77.0,0.0,-87.0,-88.0,0.0,-92.0,-82.0,-83.0,-200.0,0.0,337.71527099609375,N
2022-07-20 14:08:03 +0000,-75.0,-79.0,0.0,0.0,-72.0,-72.0,-72.0,-71.0,-68.0,-73.0,-93.0,0.0,-78.0,-77.0,-89.0,-90.0,0.0,-93.0,-85.0,-82.0,-200.0,0.0,336.6092834472656,N
2022-07-20 14:08:04 +0000,0.0,-79.0,-64.0,-66.0,-70.0,0.0,-66.0,-70.0,-68.0,-74.0,-88.0,-78.0,0.0,-75.0,0.0,0.0,0.0,-93.0,-87.0,-81.0,-200.0,-88.0,339.683837890625,N
2022-07-20 14:08:05 +0000,0.0,0.0,-65.0,-67.0,-70.0,0.0,0.0,0.0,-69.0,0.0,-88.0,-82.0,-79.0,-76.0,-86.0,-93.0,0.0,0.0,0.0,-80.0,-200.0,-90.0,339.683837890625,N
2022-07-20 14:08:06 +0000,-74.0,-75.0,-65.0,-67.0,0.0,-75.0,-76.0,0.0,0.0,0.0,-92.0,-77.0,-76.0,-87.0,-87.0,-92.0,0.0,0.0,0.0,0.0,-200.0,-90.0,339.683837890625,N
2022-07-20 14:08:07 +0000,-73.0,-75.0,-66.0,-67.0,-71.0,-75.0,-67.0,-75.0,-69.0,-71.0,0.0,-78.0,-77.0,0.0,-85.0,-90.0,0.0,-89.0,-85.0,-83.0,-200.0,0.0,339.683837890625,N
2022-07-20 14:08:08 +0000,-70.0,-77.0,0.0,0.0,-72.0,-76.0,-68.0,-76.0,-70.0,-71.0,-88.0,0.0,-78.0,-84.0,-84.0,-89.0,-94.0,-89.0,-84.0,-80.0,-200.0,0.0,339.683837890625,N
2022-07-20 14:08:09 +0000,0.0,-82.0,-66.0,-67.0,-71.0,0.0,-76.0,-72.0,-70.0,-73.0,-90.0,-86.0,0.0,-85.0,0.0,0.0,-94.0,-89.0,-84.0,-82.0,-200.0,-91.0,338.6497497558594,N
2022-07-20 14:08:10 +0000,0.0,0.0,-66.0,-67.0,-71.0,0.0,0.0,-70.0,-71.0,-72.0,-89.0,-81.0,-75.0,-72.0,0.0,-89.0,-95.0,-90.0,0.0,0.0,-200.0,-91.0,338.6497497558594,N
2022-07-20 14:08:11 +0000,-70.0,-77.0,-65.0,-67.0,0.0,-76.0,-72.0,0.0,0.0,0.0,-89.0,-77.0,-75.0,0.0,-86.0,-89.0,0.0,0.0,0.0,0.0,-200.0,-91.0,338.6497497558594,N
2022-07-20 14:08:12 +0000,-70.0,-76.0,-66.0,-69.0,-71.0,-76.0,-69.0,-71.0,-73.0,-80.0,0.0,-83.0,-78.0,0.0,-86.0,-88.0,0.0,-91.0,-82.0,-81.0,-200.0,0.0,338.6497497558594,N
2022-07-20 14:08:13 +0000,-70.0,-76.0,0.0,0.0,-71.0,-75.0,-65.0,-73.0,-73.0,-80.0,-87.0,0.0,-79.0,-83.0,-85.0,-89.0,-95.0,-89.0,-82.0,-81.0,-200.0,0.0,338.6497497558594,N
2022-07-20 14:08:14 +0000,0.0,0.0,-67.0,-65.0,-72.0,0.0,-66.0,-72.0,-66.0,-74.0,-87.0,-84.0,0.0,-77.0,0.0,0.0,0.0,-88.0,-84.0,-82.0,-200.0,-94.0,339.6669006347656,N
2022-07-20 14:08:15 +0000,0.0,0.0,-65.0,-65.0,-75.0,-80.0,0.0,0.0,-66.0,-74.0,-86.0,-81.0,-77.0,-74.0,-80.0,-87.0,0.0,0.0,0.0,0.0,-200.0,-92.0,339.674560546875,N
2022-07-20 14:08:16 +0000,-70.0,-77.0,-64.0,-62.0,0.0,-73.0,-65.0,0.0,0.0,0.0,-83.0,-76.0,-78.0,0.0,-79.0,-85.0,0.0,0.0,0.0,0.0,-200.0,0.0,345.26666259765625,N
2022-07-20 14:08:17 +0000,-67.0,-71.0,-63.0,-61.0,-69.0,-73.0,-66.0,-73.0,0.0,-76.0,0.0,0.0,-75.0,0.0,-79.0,-85.0,0.0,-93.0,-81.0,-76.0,-200.0,0.0,347.1462097167969,N
