timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-19 19:00:33 +0000,-69.0,-76.0,-200.0,-200.0,-67.0,-66.0,-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-82.0,-200.0,-71.0,-200.0,-200.0,-74.0,-200.0,-200.0,-200.0,111.01113891601562,E
2022-07-19 19:00:34 +0000,0.0,0.0,-68.0,-66.0,-64.0,-62.0,-73.0,-75.0,-200.0,-200.0,-89.0,-200.0,-200.0,-82.0,-200.0,-70.0,-87.0,-86.0,-75.0,-89.0,-200.0,-200.0,109.02340698242188,E
2022-07-19 19:00:35 +0000,0.0,-69.0,-68.0,-66.0,-64.0,-63.0,-62.0,-65.0,-200.0,-75.0,-91.0,-200.0,-200.0,0.0,-72.0,0.0,-87.0,-85.0,-74.0,-88.0,-90.0,-88.0,66.61894226074219,E
2022-07-19 19:01:29 +0000,-200.0,-200.0,-70.0,-67.0,-68.0,-80.0,-74.0,-65.0,-200.0,-78.0,-95.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-91.0,-70.0,-90.0,-84.0,-200.0,127.93882751464844,E
2022-07-19 19:01:30 +0000,-200.0,-80.0,-70.0,-67.0,0.0,-90.0,-76.0,-62.0,-200.0,-79.0,-93.0,-200.0,-84.0,-200.0,-81.0,-200.0,-85.0,-93.0,-66.0,-90.0,-82.0,-92.0,105.68234252929688,E
2022-07-19 19:01:31 +0000,-80.0,-79.0,-74.0,-67.0,0.0,0.0,-71.0,-66.0,-88.0,-82.0,0.0,-200.0,-84.0,-86.0,-82.0,-77.0,0.0,-89.0,-66.0,-94.0,-80.0,-86.0,90.58253479003906,E
2022-07-19 19:01:32 +0000,-78.0,-81.0,0.0,0.0,-69.0,-73.0,-70.0,0.0,-82.0,-83.0,0.0,-200.0,-82.0,-90.0,-86.0,-77.0,0.0,0.0,0.0,0.0,-77.0,-87.0,94.26242065429688,E
2022-07-19 19:01:33 +0000,-76.0,-79.0,0.0,-76.0,-71.0,-77.0,0.0,-69.0,-81.0,0.0,0.0,-200.0,-82.0,-90.0,0.0,-76.0,-78.0,-94.0,-67.0,0.0,0.0,0.0,98.15655517578125,E
2022-07-19 19:01:34 +0000,-77.0,0.0,-74.0,-73.0,-72.0,-75.0,-71.0,-61.0,0.0,0.0,0.0,-200.0,0.0,-92.0,0.0,-76.0,-90.0,-90.0,-67.0,-92.0,0.0,0.0,91.57177734375,E
2022-07-19 19:01:35 +0000,0.0,-89.0,-74.0,-68.0,-84.0,-81.0,-73.0,-60.0,0.0,-85.0,0.0,-200.0,-92.0,0.0,-85.0,0.0,-90.0,-88.0,-66.0,-94.0,-82.0,-89.0,83.28057861328125,E
2022-07-19 19:01:36 +0000,-78.0,-83.0,-74.0,-66.0,0.0,0.0,-75.0,-61.0,-77.0,-82.0,0.0,-200.0,-82.0,-88.0,-84.0,-82.0,-82.0,-87.0,-65.0,-93.0,-80.0,-91.0,82.43569946289062,E
2022-07-19 19:01:37 +0000,-77.0,-81.0,-75.0,0.0,-73.0,-76.0,-84.0,0.0,-79.0,-83.0,0.0,-200.0,-83.0,-82.0,-89.0,-77.0,0.0,0.0,0.0,0.0,-81.0,-90.0,67.20558166503906,E
2022-07-19 19:01:38 +0000,-79.0,-75.0,0.0,-73.0,-73.0,-75.0,0.0,-69.0,-81.0,0.0,0.0,-200.0,-89.0,-83.0,0.0,-76.0,-83.0,0.0,-66.0,-86.0,0.0,0.0,81.39762878417969,E
2022-07-19 19:01:39 +0000,-80.0,0.0,-75.0,-69.0,-72.0,-77.0,-76.0,-65.0,-78.0,-89.0,-93.0,-200.0,0.0,-87.0,0.0,-74.0,-83.0,-91.0,-67.0,-89.0,-84.0,0.0,81.4041748046875,E
