timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-19 22:30:46 +0000,0.0,0.0,-89.0,-79.0,0.0,0.0,0.0,-85.0,0.0,-82.0,-68.0,-81.0,0.0,-63.0,0.0,-200.0,0.0,0.0,0.0,0.0,-200.0,0.0,73.76187133789062,E
2022-07-19 22:30:47 +0000,-81.0,-70.0,-88.0,-79.0,0.0,0.0,-90.0,-86.0,-85.0,-79.0,-69.0,-77.0,-74.0,-63.0,-90.0,-200.0,0.0,-200.0,0.0,-52.0,-200.0,-88.0,81.82430267333984,E
2022-07-19 22:30:48 +0000,-83.0,-73.0,-89.0,-78.0,-93.0,-95.0,-90.0,0.0,-88.0,-76.0,0.0,-77.0,-75.0,0.0,-91.0,-200.0,-200.0,-200.0,-200.0,-50.0,-200.0,-90.0,74.44048309326172,E
2022-07-19 22:30:49 +0000,-84.0,-74.0,-87.0,0.0,-93.0,-93.0,-90.0,0.0,-89.0,0.0,-73.0,-81.0,-76.0,-64.0,-94.0,-200.0,-200.0,-200.0,-200.0,-49.0,-200.0,-93.0,84.35150909423828,E
2022-07-19 22:30:50 +0000,-84.0,-72.0,0.0,-83.0,-95.0,-91.0,-93.0,0.0,-90.0,-85.0,-71.0,0.0,-79.0,-65.0,0.0,-200.0,-200.0,-200.0,-200.0,-47.0,-200.0,-92.0,87.47368621826172,E
2022-07-19 22:30:51 +0000,0.0,0.0,0.0,-84.0,-87.0,-96.0,0.0,0.0,0.0,-84.0,-70.0,-78.0,0.0,-66.0,0.0,-200.0,-200.0,-200.0,-200.0,0.0,-200.0,0.0,89.58432006835938,E
2022-07-19 22:30:52 +0000,-85.0,-73.0,-85.0,-78.0,0.0,0.0,-94.0,0.0,-88.0,-86.0,-75.0,-76.0,-75.0,-66.0,-94.0,-200.0,-200.0,-200.0,-200.0,-51.0,-200.0,-88.0,83.80317687988281,E
2022-07-19 22:30:53 +0000,-86.0,-73.0,-89.0,-81.0,0.0,-94.0,-94.0,0.0,-89.0,-94.0,0.0,-76.0,-76.0,0.0,-94.0,-200.0,-200.0,-200.0,-200.0,-51.0,-200.0,-88.0,85.01998138427734,E
2022-07-19 22:30:54 +0000,-87.0,-72.0,-90.0,0.0,0.0,-95.0,0.0,-94.0,-90.0,0.0,-71.0,-77.0,-78.0,0.0,-95.0,-200.0,-200.0,-200.0,-200.0,-49.0,-200.0,-89.0,86.07159423828125,E
2022-07-19 22:31:16 +0000,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,0.0,-200.0,-84.0,-70.0,-78.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,82.9411849975586,E
2022-07-19 22:31:17 +0000,-85.0,-200.0,-90.0,-81.0,-200.0,-200.0,0.0,0.0,-200.0,-85.0,-71.0,-78.0,-200.0,-65.0,-94.0,-200.0,-200.0,-200.0,-200.0,-48.0,-200.0,-88.0,81.90611267089844,E
2022-07-19 22:31:18 +0000,-85.0,-74.0,-91.0,-81.0,0.0,-91.0,-92.0,0.0,0.0,-86.0,0.0,-80.0,-78.0,0.0,-95.0,-200.0,-200.0,-200.0,-200.0,-48.0,-200.0,-89.0,81.90611267089844,E
2022-07-19 22:31:19 +0000,-85.0,-75.0,-90.0,0.0,0.0,-90.0,-92.0,-90.0,-95.0,0.0,-74.0,-82.0,-79.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-50.0,-200.0,-89.0,82.9429702758789,E
2022-07-19 22:31:20 +0000,-85.0,-75.0,-91.0,-83.0,0.0,-90.0,0.0,-90.0,-95.0,-82.0,-73.0,0.0,-81.0,-67.0,0.0,-200.0,-200.0,-200.0,-200.0,-49.0,-200.0,-89.0,83.98568725585938,E
2022-07-19 22:31:21 +0000,0.0,0.0,0.0,-82.0,0.0,-91.0,0.0,-91.0,0.0,-83.0,-73.0,-80.0,0.0,-65.0,0.0,-200.0,-200.0,-200.0,-200.0,0.0,-200.0,0.0,83.98568725585938,E
2022-07-19 22:31:22 +0000,-87.0,-73.0,-87.0,-82.0,0.0,0.0,0.0,-91.0,-94.0,-83.0,-73.0,-81.0,-79.0,-65.0,0.0,-200.0,-200.0,-200.0,-200.0,-48.0,-200.0,-89.0,83.98568725585938,E
2022-07-19 22:31:23 +0000,-85.0,-74.0,-88.0,-82.0,0.0,-95.0,-95.0,0.0,-91.0,-82.0,0.0,-83.0,-80.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-48.0,-200.0,-89.0,89.6133041381836,E
2022-07-19 22:31:24 +0000,-86.0,-75.0,-87.0,0.0,0.0,-94.0,-94.0,0.0,-91.0,0.0,-74.0,-81.0,-80.0,0.0,0.0,-200.0,-200.0,-200.0,-200.0,-47.0,-200.0,-91.0,87.69563293457031,E
2022-07-19 22:31:25 +0000,-92.0,-73.0,-90.0,-84.0,-96.0,-94.0,0.0,-92.0,-93.0,-80.0,-71.0,0.0,-82.0,-66.0,0.0,-200.0,-200.0,-200.0,-200.0,-47.0,-200.0,-91.0,84.65631866455078,E
2022-07-19 22:31:26 +0000,0.0,0.0,0.0,-82.0,-95.0,-94.0,0.0,-93.0,-93.0,-84.0,-72.0,-80.0,0.0,-67.0,0.0,-200.0,-200.0,-200.0,-200.0,0.0,-200.0,0.0,82.54962921142578,E
2022-07-19 22:31:27 +0000,-89.0,0.0,-86.0,-81.0,0.0,0.0,0.0,-93.0,0.0,-85.0,-73.0,-81.0,-79.0,-66.0,0.0,-200.0,-200.0,-200.0,-200.0,-47.0,-200.0,-93.0,82.54962921142578,E
2022-07-19 22:31:28 +0000,-88.0,-74.0,-86.0,-81.0,0.0,-94.0,0.0,0.0,-95.0,-85.0,0.0,-83.0,-80.0,-65.0,-95.0,-200.0,-200.0,-200.0,-200.0,-48.0,-200.0,-92.0,82.54962921142578,E
2022-07-19 22:31:29 +0000,-87.0,-74.0,-89.0,0.0,0.0,-95.0,0.0,0.0,-94.0,0.0,-75.0,-83.0,-81.0,-79.0,-95.0,-200.0,-200.0,-200.0,-200.0,-49.0,-200.0,-90.0,95.04263305664062,E
2022-07-19 22:31:30 +0000,-85.0,-74.0,-92.0,-84.0,-92.0,-96.0,0.0,-96.0,-93.0,-83.0,-73.0,0.0,-80.0,-70.0,0.0,-200.0,-200.0,-200.0,-200.0,-49.0,-200.0,-88.0,133.15354919433594,E
2022-07-19 22:31:31 +0000,0.0,-83.0,0.0,-86.0,0.0,-95.0,0.0,-95.0,0.0,-80.0,-72.0,-74.0,-80.0,-73.0,0.0,-200.0,-200.0,-200.0,-200.0,0.0,-200.0,0.0,171.47781372070312,S
2022-07-19 22:31:32 +0000,-86.0,0.0,-93.0,-86.0,0.0,0.0,-92.0,-91.0,-91.0,-80.0,-72.0,-77.0,-78.0,-79.0,0.0,-200.0,-200.0,-200.0,-200.0,-62.0,-200.0,0.0,179.9049835205078,S
2022-07-19 22:31:33 +0000,-88.0,-77.0,-93.0,-85.0,-91.0,0.0,-92.0,0.0,-92.0,-81.0,0.0,-80.0,-82.0,0.0,-94.0,-200.0,-200.0,-200.0,-200.0,-62.0,-200.0,0.0,160.5352325439453,S
2022-07-19 22:31:34 +0000,-88.0,-71.0,-89.0,0.0,-90.0,-92.0,-90.0,-84.0,-90.0,0.0,-70.0,-87.0,-82.0,-63.0,-95.0,-200.0,-200.0,-200.0,-200.0,-54.0,-200.0,-92.0,146.8852996826172,S
2022-07-19 22:31:35 +0000,-87.0,-70.0,-87.0,-83.0,-89.0,-91.0,-90.0,-86.0,-90.0,-87.0,-69.0,0.0,-83.0,-73.0,0.0,-200.0,-200.0,-200.0,-200.0,-56.0,-200.0,-92.0,146.4110870361328,S
2022-07-19 22:31:36 +0000,0.0,-70.0,0.0,-84.0,-89.0,-95.0,0.0,-88.0,0.0,-84.0,-68.0,-77.0,0.0,-76.0,0.0,-200.0,-200.0,-200.0,0.0,0.0,-200.0,0.0,154.46847534179688,S
2022-07-19 22:31:37 +0000,-86.0,0.0,-87.0,-88.0,0.0,0.0,-94.0,-89.0,0.0,-83.0,-68.0,-74.0,-82.0,-76.0,-92.0,-200.0,-200.0,-200.0,0.0,-56.0,-200.0,0.0,159.8666534423828,S
2022-07-19 22:31:38 +0000,-87.0,-69.0,-88.0,0.0,-90.0,-94.0,-88.0,0.0,-89.0,-83.0,0.0,-74.0,-83.0,0.0,-93.0,-200.0,-200.0,-200.0,0.0,-55.0,-200.0,-92.0,151.62156677246094,S
2022-07-19 22:31:39 +0000,-88.0,-70.0,-94.0,0.0,-90.0,-93.0,-88.0,0.0,-88.0,0.0,-67.0,-75.0,-82.0,0.0,-93.0,-200.0,-200.0,-200.0,0.0,-56.0,-200.0,0.0,159.04409790039062,S
2022-07-19 22:31:40 +0000,-91.0,-71.0,-93.0,-86.0,-88.0,-95.0,-89.0,-87.0,-86.0,-83.0,-69.0,0.0,-85.0,-70.0,0.0,-200.0,-200.0,-200.0,0.0,-55.0,-200.0,0.0,159.16201782226562,S
2022-07-19 22:31:41 +0000,0.0,0.0,0.0,-84.0,-88.0,0.0,0.0,-87.0,0.0,-85.0,-71.0,-77.0,0.0,-70.0,0.0,-200.0,-200.0,-200.0,0.0,0.0,-200.0,0.0,154.1579132080078,S
2022-07-19 22:31:42 +0000,-93.0,0.0,-87.0,-83.0,0.0,0.0,-88.0,-89.0,0.0,-84.0,-75.0,-78.0,0.0,-70.0,0.0,-200.0,-200.0,-200.0,0.0,-52.0,-200.0,-94.0,159.07130432128906,S
2022-07-19 22:31:43 +0000,-88.0,-73.0,-89.0,-82.0,-87.0,-92.0,-91.0,0.0,-90.0,-83.0,0.0,-78.0,-81.0,0.0,0.0,-200.0,-200.0,-200.0,0.0,-57.0,-200.0,-94.0,198.8387908935547,S
2022-07-19 22:31:44 +0000,-88.0,-73.0,-90.0,0.0,-86.0,-92.0,-91.0,-89.0,-89.0,0.0,-72.0,-75.0,-82.0,-68.0,-92.0,-200.0,-200.0,-200.0,0.0,-56.0,-200.0,-95.0,241.30258178710938,W
2022-07-19 22:31:45 +0000,-92.0,-71.0,0.0,-82.0,-84.0,-91.0,-89.0,-87.0,-90.0,-84.0,-72.0,0.0,-82.0,-70.0,-92.0,-200.0,-200.0,-200.0,0.0,-56.0,-200.0,-94.0,292.66650390625,W
2022-07-19 22:31:46 +0000,0.0,-67.0,0.0,-80.0,-89.0,0.0,0.0,-84.0,0.0,-76.0,-72.0,-76.0,0.0,-67.0,0.0,0.0,-200.0,-200.0,-95.0,0.0,-200.0,0.0,332.2498474121094,N
2022-07-19 22:31:47 +0000,-93.0,0.0,-86.0,-77.0,0.0,0.0,0.0,-91.0,0.0,-73.0,-73.0,-77.0,-82.0,-65.0,-91.0,0.0,-200.0,0.0,-95.0,-52.0,-200.0,-95.0,338.0711669921875,N
2022-07-19 22:31:48 +0000,-87.0,-70.0,-86.0,-78.0,0.0,-89.0,-83.0,0.0,-89.0,-76.0,0.0,-79.0,-76.0,0.0,-90.0,0.0,-200.0,0.0,0.0,-53.0,-200.0,-92.0,2.0969934463500977,N
2022-07-19 22:31:49 +0000,-85.0,-67.0,-81.0,0.0,-92.0,-89.0,-84.0,0.0,-87.0,0.0,-74.0,-82.0,-74.0,0.0,-93.0,0.0,-200.0,0.0,0.0,-50.0,-200.0,-92.0,6.993664741516113,N
2022-07-19 22:31:50 +0000,-84.0,-65.0,-82.0,-84.0,-86.0,-89.0,-86.0,-86.0,-88.0,-81.0,-73.0,0.0,-76.0,-66.0,0.0,0.0,-200.0,0.0,0.0,-50.0,-200.0,-93.0,334.7460021972656,N
