timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-19 19:29:17 +0000,-89.0,-200.0,-200.0,-200.0,-91.0,-81.0,-200.0,-200.0,-86.0,-200.0,-200.0,-200.0,0.0,-200.0,-75.0,-78.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,161.79664611816406,S
2022-07-19 19:29:18 +0000,-89.0,-200.0,-200.0,-200.0,-87.0,-82.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,0.0,-200.0,0.0,-82.0,-76.0,-57.0,-84.0,-200.0,-200.0,-200.0,159.99169921875,S
2022-07-19 19:29:19 +0000,0.0,-200.0,-94.0,-93.0,-86.0,-83.0,-79.0,-88.0,0.0,-200.0,-200.0,-200.0,0.0,-200.0,0.0,-79.0,-75.0,-55.0,-84.0,-200.0,-92.0,-200.0,171.1625518798828,S
2022-07-19 19:29:20 +0000,0.0,-200.0,-94.0,-91.0,0.0,0.0,-77.0,-89.0,0.0,0.0,-200.0,-200.0,0.0,-200.0,-78.0,0.0,-72.0,-57.0,-85.0,-200.0,-91.0,-88.0,168.2725372314453,S
2022-07-19 19:29:21 +0000,-93.0,-200.0,0.0,-86.0,-88.0,0.0,-77.0,-94.0,-87.0,0.0,-200.0,-200.0,0.0,0.0,-75.0,-81.0,0.0,-56.0,-85.0,-200.0,-92.0,-87.0,185.82656860351562,S
2022-07-19 19:29:22 +0000,-88.0,-200.0,0.0,0.0,-90.0,-93.0,-81.0,0.0,-86.0,0.0,-200.0,-200.0,0.0,-94.0,-73.0,-81.0,0.0,0.0,0.0,-200.0,-92.0,-89.0,185.8743896484375,S
2022-07-19 19:29:23 +0000,-88.0,-200.0,0.0,0.0,-92.0,-88.0,0.0,0.0,-85.0,0.0,-200.0,-200.0,0.0,-92.0,0.0,-78.0,-71.0,-59.0,0.0,-200.0,0.0,0.0,184.6041259765625,S
2022-07-19 19:29:24 +0000,0.0,-200.0,0.0,-92.0,-91.0,-88.0,-81.0,-94.0,0.0,0.0,-200.0,-200.0,0.0,0.0,-87.0,0.0,-71.0,-57.0,-88.0,-200.0,0.0,-89.0,185.64443969726562,S
2022-07-19 19:29:25 +0000,0.0,-200.0,0.0,-89.0,0.0,0.0,-81.0,-93.0,-84.0,-94.0,-200.0,-200.0,0.0,0.0,-85.0,0.0,-74.0,-57.0,-86.0,-200.0,-93.0,-89.0,185.64443969726562,S
2022-07-19 19:29:26 +0000,-94.0,-200.0,0.0,-89.0,-94.0,0.0,-81.0,-93.0,-83.0,-93.0,-200.0,-200.0,0.0,-97.0,-85.0,-75.0,0.0,-56.0,-86.0,-200.0,-93.0,-90.0,186.66307067871094,S
2022-07-19 19:29:27 +0000,-91.0,-200.0,0.0,0.0,-86.0,-87.0,-81.0,0.0,-83.0,-92.0,-200.0,-200.0,0.0,-96.0,-84.0,-75.0,0.0,0.0,0.0,-200.0,-93.0,-92.0,158.68394470214844,S
2022-07-19 19:29:28 +0000,-87.0,-200.0,0.0,-90.0,-87.0,-83.0,0.0,-87.0,-84.0,0.0,-200.0,-200.0,0.0,0.0,0.0,-78.0,-77.0,-65.0,-79.0,-200.0,0.0,0.0,158.7721405029297,S
2022-07-19 19:29:29 +0000,0.0,-200.0,-95.0,-91.0,-92.0,-84.0,-86.0,-86.0,0.0,0.0,-200.0,-200.0,0.0,0.0,-76.0,-81.0,-73.0,-56.0,-82.0,-200.0,-89.0,-93.0,166.64242553710938,S
2022-07-19 19:29:30 +0000,0.0,-200.0,-92.0,-89.0,0.0,0.0,-83.0,-86.0,0.0,-95.0,-200.0,-200.0,0.0,0.0,-82.0,0.0,-72.0,-52.0,-83.0,-200.0,-88.0,-89.0,172.5466766357422,S
2022-07-19 19:29:31 +0000,-96.0,-200.0,-90.0,-87.0,-90.0,0.0,-81.0,-85.0,-89.0,-95.0,-200.0,-200.0,0.0,0.0,-79.0,-77.0,0.0,-51.0,-83.0,-200.0,-90.0,-87.0,173.62954711914062,S
2022-07-19 19:29:32 +0000,-89.0,-200.0,0.0,0.0,-89.0,-84.0,-81.0,0.0,-85.0,0.0,-200.0,-200.0,0.0,-96.0,-78.0,-78.0,0.0,0.0,0.0,-200.0,-91.0,-88.0,178.2509002685547,S
2022-07-19 19:29:33 +0000,-89.0,-200.0,0.0,-90.0,-87.0,-81.0,0.0,-86.0,-84.0,0.0,-200.0,-200.0,0.0,-95.0,0.0,-80.0,-71.0,-57.0,-89.0,-200.0,0.0,0.0,146.53897094726562,S
2022-07-19 19:29:34 +0000,0.0,-200.0,-91.0,-89.0,-85.0,-79.0,-82.0,-86.0,0.0,-91.0,-200.0,-200.0,0.0,0.0,0.0,0.0,-72.0,-57.0,-88.0,-200.0,-89.0,-93.0,141.94090270996094,S
2022-07-19 19:29:35 +0000,-94.0,-200.0,-92.0,-91.0,0.0,0.0,-79.0,-86.0,0.0,-91.0,-200.0,-200.0,0.0,0.0,-77.0,0.0,-75.0,-55.0,-84.0,-200.0,-92.0,-90.0,139.521484375,S
2022-07-19 19:29:36 +0000,-91.0,-200.0,-93.0,-92.0,0.0,-79.0,-79.0,-89.0,-90.0,0.0,-200.0,-200.0,-200.0,0.0,-79.0,-75.0,-76.0,-58.0,-87.0,-200.0,-93.0,-89.0,146.70944213867188,S
2022-07-19 19:29:37 +0000,-92.0,0.0,0.0,0.0,-84.0,-82.0,-79.0,0.0,-87.0,0.0,-200.0,-200.0,-200.0,-95.0,-82.0,-78.0,0.0,0.0,0.0,-200.0,-93.0,-84.0,178.01705932617188,S
2022-07-19 19:29:38 +0000,0.0,0.0,0.0,-90.0,-84.0,-82.0,0.0,0.0,-85.0,0.0,-200.0,-200.0,-200.0,-93.0,0.0,-82.0,-67.0,-54.0,-88.0,-200.0,0.0,0.0,181.39564514160156,S
2022-07-19 19:29:39 +0000,0.0,0.0,0.0,-90.0,-88.0,-81.0,-80.0,-86.0,0.0,0.0,-200.0,-200.0,-200.0,-95.0,0.0,-86.0,-69.0,-54.0,-84.0,-200.0,0.0,0.0,170.9809112548828,S
2022-07-19 19:29:40 +0000,0.0,0.0,-96.0,-90.0,0.0,0.0,-78.0,-84.0,-87.0,-95.0,-200.0,-200.0,-200.0,0.0,-74.0,0.0,-73.0,-53.0,-83.0,-200.0,-88.0,-89.0,193.900146484375,S
2022-07-19 19:29:41 +0000,-88.0,0.0,-94.0,-89.0,-91.0,0.0,-79.0,-82.0,-84.0,-93.0,-200.0,-200.0,-200.0,0.0,-74.0,-76.0,0.0,-54.0,-94.0,-200.0,-89.0,-89.0,219.58401489257812,S
2022-07-19 19:29:42 +0000,-90.0,0.0,0.0,0.0,-91.0,-86.0,-80.0,0.0,-85.0,-92.0,-200.0,-200.0,0.0,0.0,-77.0,-76.0,0.0,0.0,0.0,-200.0,-92.0,-91.0,225.0126495361328,W
2022-07-19 19:29:43 +0000,-88.0,0.0,0.0,-86.0,-90.0,-81.0,0.0,-91.0,-83.0,0.0,-200.0,-200.0,0.0,0.0,0.0,-80.0,-68.0,-51.0,-77.0,-200.0,0.0,0.0,173.8916473388672,S
2022-07-19 19:29:44 +0000,0.0,0.0,0.0,-85.0,-90.0,-82.0,-85.0,-87.0,0.0,-91.0,-200.0,-200.0,0.0,0.0,-79.0,0.0,-69.0,-54.0,-79.0,-200.0,-94.0,-95.0,166.8970489501953,S
2022-07-19 19:29:45 +0000,0.0,0.0,-92.0,-87.0,0.0,0.0,-85.0,-89.0,-79.0,-92.0,-200.0,-200.0,0.0,0.0,-76.0,0.0,-69.0,-54.0,-82.0,-200.0,-90.0,-90.0,187.54959106445312,S
2022-07-19 19:29:46 +0000,-93.0,0.0,0.0,-88.0,-86.0,-84.0,-78.0,-89.0,-86.0,-93.0,-200.0,-200.0,0.0,0.0,-78.0,-84.0,0.0,-53.0,-88.0,-200.0,-90.0,-87.0,186.8422088623047,S
2022-07-19 19:29:47 +0000,-94.0,0.0,0.0,0.0,-88.0,-89.0,-78.0,0.0,-86.0,0.0,-200.0,-200.0,0.0,0.0,-80.0,-81.0,0.0,0.0,0.0,-200.0,-93.0,-89.0,204.24020385742188,S
2022-07-19 19:29:48 +0000,0.0,0.0,0.0,-92.0,-92.0,-85.0,0.0,-83.0,-82.0,0.0,-200.0,-200.0,0.0,0.0,0.0,-79.0,-68.0,-58.0,-84.0,-200.0,0.0,0.0,236.43701171875,W
2022-07-19 19:29:49 +0000,0.0,0.0,-92.0,-91.0,-87.0,-82.0,-76.0,-88.0,0.0,0.0,-200.0,-200.0,0.0,0.0,-80.0,-76.0,-66.0,-61.0,-83.0,-200.0,-94.0,-91.0,328.66864013671875,N
2022-07-19 19:29:50 +0000,0.0,0.0,-94.0,-92.0,0.0,0.0,-79.0,-85.0,0.0,0.0,-200.0,-200.0,0.0,0.0,-80.0,0.0,-64.0,-55.0,-81.0,-200.0,-90.0,-88.0,61.99635696411133,E
2022-07-19 19:29:51 +0000,0.0,-200.0,0.0,-95.0,-84.0,0.0,-85.0,-86.0,-89.0,0.0,-200.0,-200.0,0.0,0.0,-80.0,-75.0,-73.0,-53.0,-81.0,-200.0,-84.0,-85.0,104.8692626953125,E
2022-07-19 19:29:52 +0000,-91.0,-200.0,0.0,0.0,-87.0,-91.0,-83.0,0.0,-87.0,0.0,-200.0,-200.0,-200.0,0.0,-85.0,-74.0,0.0,0.0,0.0,-200.0,-82.0,-91.0,98.31166076660156,E
2022-07-19 19:29:53 +0000,-90.0,-200.0,0.0,0.0,-89.0,-86.0,0.0,-88.0,-86.0,0.0,-200.0,-200.0,-200.0,0.0,0.0,-74.0,-71.0,-56.0,-83.0,-200.0,0.0,0.0,97.29757690429688,E
