,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E01,-82.64824,-52.0,-81.0,-65.0,-83.85722,-85.0,-79.0,-81.660286,-85.0,-80.0,-67.305608,-69.0,-69.60896,-75.0,-84.0,-200,-200,-200,-88.0,-63.0,-200,-200
1,E01,-85.0,-54.500626,-80.3848,-69.001,-83.85722,-83.77418,-76.620675,-81.660286,-85.0,-74.2602,-67.305608,-69.83897,-76.0,-71.01911,-89.50137,-200,-200,-200,-87.037915,-75.50312,-200,-200
2,E01,-82.499374,-58.500706,-80.3848,-72.177995,-83.85722,-83.77418,-76.620675,-81.660286,-85.0,-74.2602,-65.0,-69.83897,-69.60896,-71.01911,-89.665885,-200,-200,-200,-87.037915,-73.66722,-200,-200
3,E01,-82.64824,-58.500706,-80.3848,-72.177995,-83.85722,-83.77418,-76.620675,-81.660286,-85.39929,-74.2602,-65.0,-69.83897,-69.60896,-71.01911,-89.665885,-200,-200,-200,-87.037915,-67.83173,-200,-200
4,E01,-82.33278,-58.500706,-75.49863,-72.177995,-83.85722,-83.99975,-76.499374,-76.0,-85.39929,-77.9995,-67.668884,-66.499374,-68.99825,-69.99875,-89.665885,-200,-200,-200,-87.037915,-72.24794,-200,-200
5,E01,-83.00075,-55.00083,-79.002,-72.177995,-83.85722,-82.66539,-76.33278,-81.660286,-85.39929,-75.33078,-66.24918,-65.33195,-69.60896,-70.66639,-89.665885,-200,-200,-200,-89.999664,-67.83173,-200,-200
6,E01,-82.64824,-55.25106,-80.3848,-72.67039,-83.85722,-84.00137,-76.49988,-81.660286,-85.39929,-75.74882,-67.305608,-65.24882,-69.60896,-71.01911,-89.665885,-200,-200,-200,-89.248436,-73.0006,-200,-200
7,E01,-82.198204,-58.500706,-80.3848,-71.50075,-83.85722,-83.77418,-76.620675,-81.660286,-84.49912,-74.2602,-67.305608,-69.83897,-70.33328,-71.01911,-89.665885,-200,-200,-200,-87.037915,-72.498215,-200,-200
8,E01,-82.49988,-58.500706,-79.001495,-73.20569,-83.85722,-85.0041,-78.204994,-80.001,-85.39929,-74.79621,-67.001595,-66.803696,-71.00113,-75.00737,-89.665885,-200,-200,-200,-87.037915,-71.85144,-200,-200
9,E01,-82.428,-56.003094,-81.40839,-72.177995,-83.85722,-85.00341,-78.84039,-83.00317,-85.39929,-74.160614,-67.305608,-67.50628,-72.6057,-75.40709,-89.665885,-200,-200,-200,-88.7974,-67.83173,-200,-200
10,E01,-82.64824,-56.83972,-82.34459,-73.67354,-83.85722,-83.77418,-76.620675,-81.660286,-85.20139,-73.99374,-69.01048,-67.721054,-69.60896,-76.00865,-89.665885,-200,-200,-200,-87.037915,-71.4919,-200,-200
11,E01,-82.64824,-56.862766,-80.3848,-73.28912,-83.85722,-83.77418,-76.620675,-81.660286,-85.335106,-74.2602,-67.305608,-69.83897,-73.174,-71.01911,-89.7992,-200,-200,-200,-87.037915,-70.98716,-200,-200
12,E01,-82.752304,-58.500706,-80.3848,-73.25267,-83.85722,-83.77418,-76.620675,-82.501495,-85.57449,-74.2602,-69.00897,-69.83897,-74.01169,-71.01911,-89.665885,-200,-200,-200,-87.037915,-70.58279,-200,-200
13,E01,-82.555405,-58.500706,-80.3848,-72.177995,-83.85722,-83.77418,-79.72604,-81.799095,-85.39929,-73.23798,-68.37739,-68.26059,-74.89285,-76.15119,-89.665885,-200,-200,-200,-87.037915,-67.83173,-200,-200
14,E01,-82.64824,-56.501797,-81.43234,-72.177995,-83.85722,-85.00292,-78.87795,-81.330444,-85.39929,-73.32361,-68.559715,-69.24261,-69.60896,-75.50167,-89.665885,-200,-200,-200,-87.037915,-67.83173,-200,-200
15,E01,-82.64824,-56.557777,-81.37783,-74.68504,-83.85722,-85.7591,-79.565865,-81.660286,-85.62814,-73.696465,-67.305608,-69.116585,-69.60896,-71.01911,-89.665885,-200,-200,-200,-88.161606,-70.80636,-200,-200
16,E01,-83.00617,-56.70405,-80.3848,-76.3397,-83.85722,-83.77418,-76.620675,-81.660286,-85.89466,-74.2602,-67.69159,-69.83897,-75.69146,-71.01911,-89.665885,-200,-200,-200,-87.037915,-71.163155,-200,-200
17,E01,-83.19059,-58.500706,-81.11064,-77.23321,-83.85722,-83.77418,-79.60989,-82.14564,-85.39929,-73.90952,-66.88768,-69.198296,-75.92559,-76.68133,-89.665885,-200,-200,-200,-87.037915,-71.229126,-200,-200
18,E01,-82.64824,-57.471363,-80.69374,-72.177995,-83.85722,-86.0109,-79.27601,-82.12727,-85.39929,-74.08738,-67.918205,-68.8411,-75.19253,-76.61223,-89.665885,-200,-200,-200,-88.71351,-67.83173,-200,-200
19,E01,-82.64824,-57.6865,-81.646996,-77.38353,-83.85722,-86.51689,-79.67793,-81.660286,-86.108185,-74.001656,-67.305608,-68.932465,-69.60896,-77.20305,-89.665885,-200,-200,-200,-87.037915,-70.991776,-200,-200
20,E01,-82.64824,-57.947716,-80.3848,-77.74747,-83.85722,-83.77418,-76.620675,-81.660286,-86.283165,-74.2602,-67.305608,-69.83897,-75.00599,-71.01911,-89.665885,-200,-200,-200,-87.037915,-70.78563,-200,-200
21,E01,-82.64824,-58.500706,-80.3848,-77.83953,-83.85722,-83.77418,-76.620675,-81.88824,-86.344154,-74.2602,-68.161156,-69.83897,-74.69018,-71.01911,-89.665885,-200,-200,-200,-87.037915,-70.66975,-200,-200
22,E01,-83.514694,-58.392574,-81.16654,-72.177995,-83.85722,-87.4865,-79.545654,-82.00099,-85.39929,-74.66306,-67.487785,-68.79042,-75.006966,-76.84545,-89.665885,-200,-200,-200,-88.24527,-67.83173,-200,-200
23,E01,-82.64824,-58.43443,-80.99574,-78.33292,-83.85722,-87.78544,-79.65255,-82.27838,-86.79003,-75.0308,-66.90295,-68.52924,-69.60896,-76.22696,-89.665885,-200,-200,-200,-87.88061,-67.83173,-200,-200
24,E01,-82.64824,-58.536034,-80.70204,-78.57091,-83.85722,-83.77418,-79.60759,-81.660286,-87.09948,-75.4182,-67.305608,-68.3651,-69.60896,-75.91627,-89.99867,-200,-200,-200,-87.48704,-70.62863,-200,-200
25,E01,-83.78945,-58.6259,-80.3848,-72.177995,-83.85722,-83.77418,-76.620675,-81.660286,-87.09263,-74.2602,-66.45495,-69.83897,-74.868675,-71.01911,-89.665885,-200,-200,-200,-87.037915,-70.47544,-200,-200
26,E01,-84.17244,-58.500706,-80.92928,-78.597244,-83.85722,-83.77418,-79.892654,-82.16962,-85.39929,-75.14699,-67.04087,-68.58823,-74.8123,-76.33546,-89.665885,-200,-200,-200,-87.037915,-70.44904,-200,-200
27,E01,-84.36727,-58.472866,-81.12857,-72.177995,-83.85722,-83.77418,-79.776474,-82.15624,-85.39929,-74.90531,-67.38816,-68.787056,-74.946594,-75.98919,-89.665885,-200,-200,-200,-87.349495,-67.83173,-200,-200
28,E01,-82.64824,-58.335583,-81.18206,-78.795555,-83.85722,-83.77418,-79.731224,-82.14476,-86.89192,-74.79954,-67.69971,-68.85439,-69.60896,-75.805695,-89.665885,-200,-200,-200,-87.064514,-70.425224,-200,-200
29,E01,-82.64824,-58.264736,-80.3848,-79.36206,-83.85722,-83.77418,-76.620675,-81.660286,-85.39929,-74.2602,-67.305608,-69.83897,-75.29938,-71.01911,-89.665885,-200,-200,-200,-87.037915,-70.50526,-200,-200
30,E01,-84.603035,-58.500706,-81.34628,-79.60808,-83.85722,-83.77418,-76.620675,-82.20369,-87.021324,-74.2602,-67.39737,-68.64994,-75.22724,-75.64218,-89.665885,-200,-200,-200,-87.037915,-70.52941,-200,-200
31,E01,-84.87294,-58.500706,-81.160515,-72.177995,-83.85722,-88.51186,-79.524086,-82.06067,-85.39929,-75.07539,-67.377174,-68.66773,-75.1091,-75.43999,-89.665885,-200,-200,-200,-87.037915,-67.83173,-200,-200
32,E01,-82.64824,-58.20046,-80.93983,-79.83129,-83.85722,-88.10673,-79.708466,-82.36387,-86.72869,-75.57979,-67.4564,-68.73277,-69.60896,-75.3636,-89.665885,-200,-200,-200,-86.90176,-67.83173,-200,-200
33,E01,-82.64824,-58.141857,-80.688774,-79.88834,-83.85722,-87.68595,-79.7741,-81.660286,-86.57721,-76.03966,-67.305608,-68.98033,-69.60896,-75.7517,-89.665885,-200,-200,-200,-86.76197,-70.12853,-200,-200
34,E01,-84.53068,-58.088192,-80.3848,-79.846596,-83.85722,-83.77418,-76.620675,-81.660286,-85.39929,-74.2602,-67.62295,-69.83897,-74.84944,-71.01911,-89.665885,-200,-200,-200,-87.037915,-69.80528,-200,-200
35,E01,-84.27916,-58.500706,-80.3848,-72.177995,-83.85722,-83.77418,-80.126854,-81.660286,-85.39929,-75.8968,-67.866776,-69.026566,-74.85679,-75.32446,-89.665885,-200,-200,-200,-87.037915,-69.550804,-200,-200
36,E01,-84.158264,-58.174885,-80.89924,-72.177995,-83.85722,-87.44673,-80.35589,-82.34267,-85.39929,-75.67475,-68.223305,-68.89389,-75.19251,-75.262215,-89.665885,-200,-200,-200,-87.037915,-67.83173,-200,-200
37,E01,-82.64824,-57.94804,-80.90398,-79.53613,-83.85722,-83.77418,-80.38509,-81.660286,-86.86485,-75.469826,-67.305608,-68.9833,-69.60896,-75.47705,-89.665885,-200,-200,-200,-86.709465,-69.315155,-200,-200
38,E01,-82.64824,-57.737976,-80.3848,-79.11811,-83.85722,-83.77418,-76.620675,-81.660286,-87.07501,-74.2602,-67.305608,-69.83897,-75.90931,-71.01911,-89.665885,-200,-200,-200,-87.037915,-69.05507,-200,-200
39,E01,-82.64824,-58.500706,-80.3848,-78.6461,-83.85722,-83.77418,-76.620675,-82.49019,-87.217804,-74.2602,-68.34119,-68.81925,-75.913284,-75.4123,-89.99287,-200,-200,-200,-87.037915,-68.81277,-200,-200
40,E01,-82.64824,-57.707584,-80.81764,-72.177995,-83.85722,-87.051,-80.2367,-82.14592,-85.39929,-75.49233,-68.20358,-69.1066,-76.129234,-75.43725,-89.665885,-200,-200,-200,-86.72832,-67.83173,-200,-200
41,E01,-82.64824,-57.63925,-80.7818,-72.177995,-83.85722,-86.87319,-80.14175,-81.660286,-86.92557,-75.636795,-68.03537,-69.18033,-69.60896,-75.50161,-89.665885,-200,-200,-200,-86.80638,-67.83173,-200,-200
42,E01,-82.64824,-57.57542,-80.3848,-78.41357,-89.997665,-83.77418,-80.09473,-81.660286,-86.70222,-74.2602,-67.305608,-69.83897,-69.60896,-71.01911,-89.665885,-200,-200,-200,-86.759384,-68.897934,-200,-200
43,E01,-84.15022,-58.500706,-80.3848,-78.27697,-83.85722,-83.77418,-76.620675,-82.18932,-86.40842,-74.2602,-67.72248,-69.83897,-75.91799,-71.01911,-89.665885,-200,-200,-200,-87.037915,-68.93975,-200,-200
44,E01,-84.33816,-58.500706,-80.3848,-72.177995,-83.85722,-83.77418,-79.81082,-82.2289,-85.39929,-75.29118,-67.429474,-69.211426,-75.80122,-75.32147,-89.665885,-200,-200,-200,-87.037915,-68.979004,-200,-200
45,E01,-82.64824,-57.43976,-80.3848,-72.177995,-83.85722,-86.65817,-79.66243,-82.26514,-85.39929,-75.00727,-67.11742,-69.240616,-75.69215,-75.27001,-89.665885,-200,-200,-200,-87.037915,-67.83173,-200,-200
46,E01,-82.64824,-57.31242,-80.3848,-78.11043,-83.85722,-86.41109,-79.78906,-81.660286,-86.348625,-74.81728,-67.305608,-69.268074,-69.60896,-75.221825,-89.665885,-200,-200,-200,-87.037915,-68.83511,-200,-200
47,E01,-82.64824,-57.26496,-80.3848,-77.84064,-83.85722,-83.77418,-76.620675,-81.660286,-86.41663,-74.2602,-67.305608,-69.83897,-69.60896,-71.01911,-89.665885,-200,-200,-200,-87.037915,-68.664116,-200,-200
48,E01,-84.74526,-58.500706,-80.663704,-78.06865,-83.85722,-83.77418,-76.620675,-82.38915,-85.39929,-74.2602,-66.896194,-69.29396,-75.24852,-75.17659,-89.665885,-200,-200,-200,-87.037915,-68.84887,-200,-200
49,E01,-85.028885,-57.149494,-80.554,-72.177995,-83.85722,-86.33937,-79.98197,-82.37209,-85.39929,-75.15722,-66.68767,-69.35303,-74.83211,-74.98939,-89.665885,-200,-200,-200,-86.939285,-67.83173,-200,-200
