,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R02,-70.0,-67.0,-77.46498,-66.62912,-73.0,-79.775604,-70.0,-70.0,-76.0,-56.0,-79.0,-73.0,-65.0,-72.5461925,-79.0,-89.75294,-200,-200,-86.76235,-69.0,-200,-200
1,R02,-72.4149,-65.99975,-77.46498,-59.0,-74.43536,-79.775604,-78.02896,-77.51483,-72.99925,-57.00025,-80.500374,-79.696655,-63.99975,-75.0,-84.905464,-89.75294,-200,-200,-86.76235,-70.500374,-200,-200
2,R02,-68.99975,-65.66622,-77.46498,-59.500126,-74.43536,-81.0,-78.02896,-77.51483,-79.05598499999999,-57.647728,-80.73048,-79.696655,-64.53973,-72.499374,-84.905464,-88.0,-200,-200,-84.0,-74.58066,-200,-200
3,R02,-68.99983,-71.41341,-71.0,-60.66772,-74.43536,-79.99975,-76.001495,-68.499626,-79.05598499999999,-57.647728,-80.73048,-75.500626,-64.53973,-70.99834,-84.905464,-89.75294,-200,-200,-87.00075,-74.58066,-200,-200
4,R02,-68.499,-71.41341,-72.00025,-66.62912,-74.43536,-79.775604,-78.00266,-70.001,-79.05598499999999,-56.666557,-78.33178,-76.66805,-65.334274,-72.5461925,-84.905464,-89.75294,-200,-200,-86.76235,-71.334274,-200,-200
5,R02,-72.4149,-64.74806,-77.46498,-66.62912,-74.43536,-79.33261,-78.02896,-77.51483,-79.05598499999999,-56.750065,-77.497375,-77.25206,-66.00187,-73.50313,-77.499626,-89.00025,-200,-200,-86.76235,-71.501,-200,-200
6,R02,-72.4149,-64.598,-74.66905,-62.754433,-74.43536,-78.748436,-78.02896,-77.51483,-75.00117,-56.8002,-80.73048,-79.696655,-66.202095,-74.004,-76.99934,-87.665726,-200,-200,-86.76235,-72.202896,-200,-200
7,R02,-68.8001,-71.41341,-73.49975,-63.20489,-74.43536,-79.775604,-76.74981,-69.249435,-79.05598499999999,-57.647728,-80.73048,-79.696655,-64.53973,-72.49647,-84.905464,-89.75294,-200,-200,-87.000496,-74.58066,-200,-200
8,R02,-69.001,-71.41341,-72.7977,-66.62912,-74.43536,-79.775604,-75.9976,-68.7982,-79.05598499999999,-57.647728,-80.73048,-78.40509,-65.49854,-72.5461925,-84.905464,-89.75294,-200,-200,-86.76235,-74.58066,-200,-200
9,R02,-69.14464,-66.50703,-77.46498,-66.62912,-74.43536,-79.775604,-75.49571,-68.49713,-73.99912,-56.666225,-77.7988,-79.34184,-65.13929,-72.5461925,-77.75082,-89.75294,-200,-200,-86.76235,-72.001495,-200,-200
10,R02,-72.4149,-67.5844,-77.46498,-66.62912,-74.43536,-79.775604,-78.02896,-77.51483,-73.7987,-56.282864,-77.83248,-79.696655,-64.869545,-71.418594,-78.0014,-89.75294,-200,-200,-86.76235,-71.713715,-200,-200
11,R02,-69.378586,-68.015076,-73.333855,-62.50087,-74.43536,-81.00549,-78.02896,-77.51483,-79.05598499999999,-57.647728,-80.73048,-80.155396,-64.21001,-71.365814,-84.905464,-89.75294,-200,-200,-86.76235,-74.58066,-200,-200
12,R02,-70.34734,-71.41341,-74.14855,-61.853718,-73.0,-81.50686,-75.56822,-70.00727,-79.05598499999999,-57.647728,-80.73048,-80.64017,-64.53973,-71.32471,-84.905464,-89.75294,-200,-200,-87.50124,-74.58066,-200,-200
13,R02,-71.123474,-68.01338,-75.13855,-66.62912,-73.33361,-79.775604,-76.00094,-70.7629,-79.05598499999999,-58.516834,-77.13765,-80.56824,-63.68161,-72.5461925,-78.33603,-89.75294,-200,-200,-86.76235,-71.119354,-200,-200
