,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.847245,-81.6614175,-87.84031,-89.0,-200,-200,-200,-200,-200,-81.0,-76.42851,-64.0,-60.0,-80.39028,-200,-75.0,-86.943843
1,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.847245,-86.99875,-87.84031,-86.95467,-200,-200,-200,-200,-200,-80.14752,-76.42851,-68.33073999999999,-57.9995,-74.0,-200,-77.0005,-86.943843
2,U01,-89.02229,-200,-200,-89.80803,-79.33278,-83.0,-81.6614175,-87.84031,-86.95467,-200,-200,-200,-200,-200,-78.499374,-84.49788,-68.33073999999999,-60.499859,-72.99975,-200,-77.33395,-86.943843
3,U01,-89.02229,-200,-200,-89.80803,-79.33278,-85.0005,-86.66556,-85.0,-86.95467,-200,-200,-200,-200,-200,-79.33361,-80.995674,-70.001495,-57.666058,-80.39028,-200,-85.2588195,-89.99925
4,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.847245,-86.24844,-84.49988,-86.95467,-200,-200,-200,-200,-200,-79.25006,-76.42851,-67.33211,-57.248814,-80.39028,-200,-78.5025,-89.66589
5,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.847245,-86.80041,-87.84031,-89.66656,-200,-200,-200,-200,-200,-80.14752,-76.42851,-68.33073999999999,-57.198902,-75.001495,-200,-78.2011,-86.943843
6,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.666725,-81.6614175,-87.84031,-89.24919,-200,-200,-200,-200,-200,-80.14752,-79.99501,-68.33073999999999,-60.499859,-77.25506,-200,-79.00458,-86.943843
7,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.75019,-81.6614175,-85.33395,-88.396805,-200,-200,-200,-200,-200,-78.7987,-80.39721,-66.74806,-56.495884,-78.006294,-200,-85.2588195,-86.943843
8,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.1985,-87.8384,-85.75119,-86.95467,-200,-200,-200,-200,-200,-79.16726,-80.83299,-67.4004,-55.993233,-80.39028,-200,-85.2588195,-88.49738
9,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.847245,-86.280014,-87.84031,-88.33037,-200,-200,-200,-200,-200,-79.57456,-76.42851,-68.6728,-55.994087,-80.39028,-200,-79.147705,-88.397606
10,U01,-89.02229,-200,-200,-89.80803,-79.33278,-84.847245,-84.73161,-87.84031,-87.70773,-200,-200,-200,-200,-200,-80.14752,-80.28187,-68.33073999999999,-55.77002,-77.837814,-200,-79.88563,-86.943843
11,U01,-89.02229,-200,-200,-89.80803,-79.33278,-85.00241,-81.6614175,-86.6035,-86.861946,-200,-200,-200,-200,-200,-80.14752,-80.24633,-70.44525,-60.499859,-77.86114,-200,-81.02214,-86.943843
12,U01,-89.02229,-200,-200,-89.80803,-79.33278,-85.289635,-84.424675,-86.66988,-86.95467,-200,-200,-200,-200,-200,-78.74557,-79.88155,-72.28047,-55.286247,-78.00474,-200,-85.2588195,-86.943843
