,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A09,-70.668087,-74.88923,-57.0,-64.0,-60.0,-60.0,-67.0,-71.0,-67.0,-77.302652,-89.15264,-200,-80.88237,-88.0,-73.80463,-77.0,-88.24259,-87.82543,-77.0,-77.0,-88.68569500000001,-82.79129
1,A09,-70.668087,-74.88923,-62.501373,-72.50212,-60.505707,-64.604126,-67.50012,-67.49912,-75.04673199999999,-70.0,-89.15264,-200,-80.88237,-82.80432,-67.0,-80.99976,-88.24259,-87.82543,-75.99975,-76.49988,-88.68569500000001,-82.79129
2,A09,-60.0,-76.0,-63.00133,-69.99933,-60.505707,-64.604126,-70.00217,-67.33261,-69.0005,-70.50012,-89.15264,-200,-70.0,-81.998505,-68.500374,-77.50012,-88.24259,-87.82543,-76.66705,-76.666725,-88.68569500000001,-82.79129
3,A09,-62.500626,-81.50137,-67.57303999999999,-68.21057,-56.999252,-59.499874,-67.814766,-65.5274425,-70.33478,-70.666885,-89.15264,-200,-71.500374,-80.99817,-69.00066,-77.333275,-88.24259,-87.82543,-78.58581699999999,-85.23328,-88.68569500000001,-82.79129
4,A09,-63.00083,-74.88923,-67.57303999999999,-68.24644,-60.335613,-59.66672,-67.814766,-65.5274425,-71.75356,-77.302652,-88.99883,-200,-76.004,-81.24906,-73.80463,-79.25331,-88.24259,-87.82543,-78.58581699999999,-85.23328,-88.68569500000001,-82.79129
5,A09,-70.668087,-74.88923,-64.503624,-67.39461,-62.004623,-60.25106,-71.00337,-69.00237,-75.04673199999999,-77.302652,-89.15264,-200,-80.88237,-82.80432,-73.80463,-80.99976,-88.24259,-87.82543,-77.25131,-78.753685,-88.68569500000001,-89.33161
6,A09,-70.668087,-77.998,-67.57303999999999,-66.99368,-60.505707,-64.604126,-71.20329,-69.2025,-73.20719,-73.50512,-89.15264,-200,-80.88237,-82.80432,-70.252686,-80.99976,-87.0,-87.82543,-76.5991,-85.23328,-88.68569500000001,-86.24332
7,A09,-62.750187,-75.995,-67.57303999999999,-68.21057,-60.599503,-64.604126,-71.00182,-65.5274425,-71.49821,-75.20919,-89.15264,-200,-77.50562,-80.196106,-69.6002,-80.40609,-88.24259,-87.82543,-78.58581699999999,-85.23328,-89.33161,-82.79129
8,A09,-63.402096,-74.88923,-67.57303999999999,-68.21057,-60.3317,-61.805492,-67.814766,-65.5274425,-70.995224,-77.302652,-89.15264,-200,-76.4012,-79.326126,-68.99742,-82.01239,-88.24259,-87.82543,-78.340515,-85.23328,-88.68569500000001,-82.79129
9,A09,-64.00449,-74.88923,-65.004395,-67.569725,-59.70887,-62.340347,-67.814766,-69.83831,-75.04673199999999,-77.302652,-89.5,-200,-80.88237,-79.279236,-73.80463,-80.99976,-88.24259,-89.49476,-78.579124,-79.40489,-88.68569500000001,-82.79129
10,A09,-70.668087,-74.88923,-63.99908,-67.371796,-60.505707,-64.604126,-69.99507,-69.14264,-75.04673199999999,-75.3416,-89.15264,-200,-80.88237,-82.80432,-69.28536,-80.99976,-88.24259,-88.59312,-78.632195,-80.50911,-88.24682,-85.39211
11,A09,-66.879524,-73.58881,-63.711647,-66.76819,-60.505707,-64.604126,-70.50005,-70.133385,-71.12192,-75.436264,-89.15264,-200,-78.17575,-78.991844,-71.014656,-81.1479,-88.24259,-87.489235,-78.58581699999999,-81.58618,-88.68569500000001,-83.98703
12,A09,-66.39035,-72.65308,-67.57303999999999,-68.21057,-59.99776,-62.57898,-67.814766,-65.5274425,-71.108215,-77.302652,-89.15264,-200,-80.88237,-78.99276,-73.80463,-80.4988,-88.24259,-87.82543,-78.58581699999999,-85.23328,-88.68569500000001,-82.79129
