,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.49111,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.483616,-200.0,-200.0,-58.755125500000005,-200,-62.028038,-200.0
1,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-71.0,-62.0,-200.0,-200.0,-58.755125500000005,-200,-57.0,-200.0
2,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.49912,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.483616,-200.0,-200.0,-58.755125500000005,-200,-58.500374,-200.0
3,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.33178,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.500126,-200.0,-200.0,-61.0,-200,-58.667053,-200.0
4,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.49111,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-60.665222,-200.0,-200.0,-63.0005,-200,-58.750435,-200.0
5,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.49111,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-59.24644,-200.0,-200.0,-63.333942,-200,-62.028038,-200.0
6,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.749565,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.483616,-200.0,-200.0,-58.755125500000005,-200,-58.5999,-200.0
7,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.000404,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.483616,-200.0,-200.0,-65.00337,-200,-58.66689,-200.0
8,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.49111,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-59.397606,-200.0,-200.0,-65.20329,-200,-58.283432,-200.0
9,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.49111,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-58.828747,-200.0,-200.0,-65.838974,-200,-62.028038,-200.0
