,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-78.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-79.0,-200.0,-200.0,-200.0,-79.0,-200,-64.10494299999999,-56.4554315
1,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-77.49988,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-77.499626,-200,-67.0,-54.0
2,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-80.50012,-76.99934,-200,-69.0005,-52.499626
3,S05,-200.0,-200,-200.0,-200.0,-200.0,-79.66456,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-77.99975,-200.0,-200.0,-200.0,-200.0,-200,-69.000336,-51.66572
4,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-76.33178,-200.0,-200.0,-200.0,-79.003,-200,-64.10494299999999,-56.4554315
5,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-75.99825,-200.0,-200.0,-200.0,-79.604195,-200,-70.002,-51.499
6,S05,-200.0,-200,-200.0,-200.0,-81.79169999999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-80.84247,-200,-70.60339,-51.398903
7,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-80.67512,-200,-70.16751,-56.4554315
8,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-75.998604,-200.0,-200.0,-200.0,-80.67512,-200,-64.10494299999999,-56.4554315
9,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-76.66856,-200.0,-200.0,-200.0,-80.67512,-200,-64.10494299999999,-56.4554315
10,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-77.14757,-81.206764,-200.0,-200.0,-200.0,-200,-70.43099,-52.336693
11,S05,-200.0,-200,-200.0,-200.0,-81.79169999999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-80.67512,-200,-70.37665,-52.144497
12,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-77.885506,-200.0,-200.0,-200.0,-80.67512,-200,-70.33433,-52.000187
13,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-78.68494,-81.206764,-200.0,-200.0,-200.0,-200,-64.10494299999999,-56.4554315
14,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-79.32541,-81.206764,-200.0,-200.0,-200.0,-200,-71.11178,-52.561996
15,S05,-200.0,-200,-200.0,-200.0,-81.79169999999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-80.67512,-200,-71.5639,-52.91068
16,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-81.206764,-200.0,-200.0,-80.67512,-200,-71.94133,-53.28891
17,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-79.29531,-81.206764,-200.0,-200.0,-200.0,-200,-64.10494299999999,-56.4554315
18,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-78.58954,-81.206764,-200.0,-200.0,-200.0,-200,-64.10494299999999,-56.4554315
19,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-78.464226,-81.206764,-200.0,-200.0,-200.0,-200,-71.39412,-53.094166
20,S05,-200.0,-200,-200.0,-200.0,-81.79169999999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-81.206764,-200.0,-200.0,-200.0,-200,-70.70363,-53.165577
21,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-78.50361,-200.0,-200.0,-200.0,-80.67512,-200,-71.068565,-54.035442
22,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-78.4,-81.206764,-200.0,-200.0,-200.0,-200,-64.10494299999999,-56.4554315
23,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-78.37404,-81.206764,-200.0,-200.0,-200.0,-200,-71.19392,-54.790943
24,S05,-200.0,-200,-200.0,-200.0,-81.79169999999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-81.99458,-200.0,-200.0,-200.0,-200,-71.12063,-55.713104
25,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-81.69087,-200.0,-200.0,-80.67512,-200,-70.76393,-56.16041
26,S05,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-78.35108,-81.206764,-200.0,-200.0,-200.0,-200,-64.10494299999999,-56.4554315
