,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R04,-200.0,-66.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.20744,-200.0,-200.0,-52.469593,-200.0,-200,-200,-200,-200,-61.0,-200,-200.0
1,R04,-200.0,-71.00125,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.0,-200.0,-200.0,-51.0,-200.0,-200,-200,-200,-200,-61.0,-200,-200.0
2,R04,-200.0,-68.66556,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.0,-200.0,-200.0,-49.99975,-200.0,-200,-200,-200,-200,-67.0458,-200,-200.0
3,R04,-200.0,-67.439413,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.0,-200.0,-200.0,-50.667053,-200.0,-200,-200,-200,-200,-67.0458,-200,-200.0
4,R04,-200.0,-67.74757,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.20744,-200.0,-200.0,-52.469593,-200.0,-200,-200,-200,-200,-60.66639,-200,-200.0
5,R04,-200.0,-66.995804,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.20744,-200.0,-200.0,-52.469593,-200.0,-200,-200,-200,-200,-60.249065,-200,-200.0
6,R04,-200.0,-67.16393,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.75131,-200.0,-200.0,-51.25131,-200.0,-200,-200,-200,-200,-59.998505,-200,-200.0
7,R04,-200.0,-67.439413,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.0018,-200.0,-200.0,-51.602097,-200.0,-200,-200,-200,-200,-67.0458,-200,-200.0
8,R04,-200.0,-67.439413,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.16893,-200.0,-200.0,-51.166428,-200.0,-200,-200,-200,-200,-60.166183,-200,-200.0
9,R04,-200.0,-66.70901,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.20744,-200.0,-200.0,-52.469593,-200.0,-200,-200,-200,-200,-60.28607,-200,-200.0
10,R04,-200.0,-67.25006,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.86356,-200.0,-200.0,-50.567364,-200.0,-200,-200,-200,-200,-60.12391,-200,-200.0
11,R04,-200.0,-67.671425,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.25904,-200.0,-200.0,-50.621914,-200.0,-200,-200,-200,-200,-67.0458,-200,-200.0
12,R04,-200.0,-67.439413,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.229935,-200.0,-200.0,-50.552032,-200.0,-200,-200,-200,-200,-67.0458,-200,-200.0
13,R04,-200.0,-68.00901,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.20744,-200.0,-200.0,-52.469593,-200.0,-200,-200,-200,-200,-60.447086,-200,-200.0
14,R04,-200.0,-68.19316,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.61229,-200.0,-200.0,-52.469593,-200.0,-200,-200,-200,-200,-60.90884,-200,-200.0
