,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.82479000000001,-72.0,-68.0,-86.0,-200,-200.0,-200.0
1,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-83.49888,-82.0,-69.30993,-62.724031499999995,-200.0,-200,-200.0,-200.0
2,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-82.99883,-82.0,-69.30993,-62.724031499999995,-200.0,-200,-200.0,-200.0
3,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.82479000000001,-69.30993,-62.724031499999995,-83.56022250000001,-200,-200.0,-200.0
4,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.82479000000001,-69.30993,-62.99875,-83.56022250000001,-200,-200.0,-200.0
5,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.82479000000001,-72.50012,-62.999165,-83.56022250000001,-200,-200.0,-200.0
6,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.82479000000001,-69.30993,-62.724031499999995,-83.56022250000001,-200,-200.0,-200.0
7,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.82479000000001,-69.30993,-62.724031499999995,-83.56022250000001,-200,-200.0,-200.0
8,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.82479000000001,-75.00217,-62.4985,-83.9995,-200,-200.0,-200.0
9,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-83.3985,-79.82479000000001,-76.50425,-61.596104,-200.0,-200,-200.0,-200.0
10,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-82.66206,-79.82479000000001,-69.30993,-62.724031499999995,-200.0,-200,-200.0,-200.0
11,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-82.56687,-200.0,-69.30993,-62.724031499999995,-83.56022250000001,-200,-200.0,-200.0
12,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-84.84035,-200.0,-77.6067,-62.668304,-83.24806,-200,-200.0,-200.0
13,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.738846,-79.82479000000001,-76.8354,-62.14086,-200.0,-200,-200.0,-200.0
14,U01,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.43109,-79.82479000000001,-69.30993,-62.24919,-200.0,-200,-200.0,-200.0
