,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E01,-200.0,-68.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-65.280754,-200.0,-65.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
1,E01,-200.0,-67.49988,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-68.97487,-69.0,-200.0,-200.0,-200,-200,-200.0,-69.50012,-200,-200.0
2,E01,-200.0,-61.8544715,-200.0,-64.49988,-200.0,-200.0,-200.0,-200.0,-200.0,-63.66639,-200.0,-70.0,-68.97487,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
3,E01,-200.0,-63.997,-200.0,-68.33645,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.499626,-65.0,-70.74875,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
4,E01,-200.0,-62.996002,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.50125,-65.280754,-68.33295,-64.66639,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
5,E01,-200.0,-62.996803,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.604294,-71.49588,-200.0,-64.74994,-200.0,-200.0,-200.0,-200,-200,-200.0,-70.25118,-200,-200.0
6,E01,-200.0,-61.8544715,-200.0,-69.801994,-200.0,-200.0,-200.0,-200.0,-200.0,-65.837975,-200.0,-66.997375,-68.97487,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
7,E01,-200.0,-61.8544715,-200.0,-69.332855,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.2045,-64.3989,-68.992714,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
8,E01,-200.0,-63.499626,-200.0,-69.57256,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-69.83997,-63.997257,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
9,E01,-200.0,-63.57157,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.861275,-65.280754,-200.0,-63.710083,-68.82651,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
10,E01,-200.0,-63.62559,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.62659,-200.0,-71.157036,-68.97487,-68.56389,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
11,E01,-200.0,-61.8544715,-200.0,-69.89272,-200.0,-200.0,-200.0,-200.0,-200.0,-65.55618,-200.0,-200.0,-64.62927,-67.98843,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
12,E01,-200.0,-63.78003,-200.0,-70.51212,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.43987,-64.89566,-70.74875,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
13,E01,-200.0,-64.71511,-200.0,-70.834724,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-200.0,-65.7176,-70.74875,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
14,E01,-200.0,-65.203926,-200.0,-200.0,-200.0,-200.0,-73.38624,-200.0,-200.0,-65.90546,-200.0,-200.0,-68.97487,-67.87736,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
15,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.09919,-200.0,-68.78674,-68.97487,-67.58554,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
16,E01,-200.0,-64.76117,-200.0,-70.08306,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.25151,-65.83621,-67.53138,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
17,E01,-200.0,-64.385826,-200.0,-69.44584,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-67.80471,-65.93523,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
18,E01,-200.0,-64.798485,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.175835,-65.280754,-200.0,-66.3345,-67.82649,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
19,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.24081,-200.0,-200.0,-68.97487,-68.076675,-200.0,-200.0,-200,-200,-200.0,-73.10495,-200,-200.0
20,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.29661,-200.0,-67.50477,-66.82443,-68.29155,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
21,E01,-200.0,-64.81237,-200.0,-69.59085,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-67.17365,-67.112144,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
22,E01,-200.0,-64.69475,-200.0,-69.16311,-200.0,-200.0,-200.0,-200.0,-200.0,-66.62069,-65.280754,-200.0,-67.104866,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
23,E01,-200.0,-64.6521,-200.0,-200.0,-200.0,-200.0,-72.72714,-200.0,-200.0,-66.90491,-200.0,-200.0,-68.97487,-68.82269,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
24,E01,-200.0,-61.8544715,-200.0,-69.09171,-200.0,-200.0,-200.0,-200.0,-200.0,-67.033516,-200.0,-67.02388,-68.97487,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
25,E01,-200.0,-64.78893,-200.0,-68.736694,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.08723,-66.914276,-70.74875,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
26,E01,-200.0,-64.91168,-200.0,-68.75131,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-67.08187,-67.09411,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
27,E01,-200.0,-64.86332,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.79845,-65.280754,-200.0,-67.03337,-69.51633,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
28,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.53206,-200.0,-66.90227,-68.97487,-69.71935,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
29,E01,-200.0,-61.8544715,-200.0,-69.029724,-200.0,-200.0,-200.0,-200.0,-200.0,-66.29166,-200.0,-66.79666,-68.97487,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
30,E01,-200.0,-64.61615,-200.0,-69.12986,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-66.70136,-67.190735,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
31,E01,-200.0,-64.586075,-200.0,-69.31879,-200.0,-200.0,-200.0,-200.0,-200.0,-66.63259,-65.280754,-200.0,-67.33351,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
32,E01,-200.0,-64.51153,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.894615,-200.0,-200.0,-68.97487,-69.48472,-200.0,-200.0,-200,-200,-200.0,-72.5209,-200,-200.0
33,E01,-200.0,-61.8544715,-200.0,-69.3508,-200.0,-200.0,-200.0,-200.0,-200.0,-66.71157,-200.0,-66.61489,-68.97487,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
34,E01,-200.0,-64.62437,-200.0,-69.42558,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.53606,-67.70777,-69.68028,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
35,E01,-200.0,-64.64083,-200.0,-69.58227,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-66.46386,-68.2385,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
36,E01,-200.0,-64.74099,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.95138,-65.280754,-200.0,-68.590454,-69.55431,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
37,E01,-200.0,-64.9164,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.34803,-200.0,-66.397484,-68.97487,-69.48383,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
38,E01,-200.0,-61.8544715,-200.0,-69.77978,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.38006,-68.78375,-69.418785,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
39,E01,-200.0,-64.99978,-200.0,-69.948654,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.40638,-69.09011,-70.74875,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
40,E01,-200.0,-65.428116,-200.0,-70.06747,-200.0,-200.0,-200.0,-200.0,-200.0,-67.16344,-65.280754,-200.0,-69.12759,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
41,E01,-200.0,-65.86718,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.03315,-200.0,-200.0,-68.97487,-69.528366,-200.0,-200.0,-200,-200,-200.0,-71.94298,-200,-200.0
42,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.95179,-200.0,-66.307274,-68.97487,-69.50661,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
43,E01,-200.0,-66.31633,-200.0,-70.39423,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.17493,-69.082466,-69.52635,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
44,E01,-200.0,-66.34106,-200.0,-70.63312,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-66.12917,-69.46864,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
45,E01,-200.0,-66.25826,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.22624,-65.280754,-200.0,-69.64057,-69.54479,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
46,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.55914,-200.0,-66.08633,-68.97487,-69.63795,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
47,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.87162,-200.0,-66.15717,-69.690895,-69.68837,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
48,E01,-200.0,-66.59556,-200.0,-70.17699,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-66.115326,-69.629745,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
49,E01,-200.0,-66.507484,-200.0,-69.967384,-200.0,-200.0,-200.0,-200.0,-200.0,-67.87627,-65.280754,-200.0,-69.64284,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
50,E01,-200.0,-66.42402,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.845276,-200.0,-200.0,-68.97487,-69.952774,-200.0,-200.0,-200,-200,-200.0,-71.18639,-200,-200.0
51,E01,-200.0,-61.8544715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.712135,-200.0,-66.04051,-68.97487,-70.09591,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
52,E01,-200.0,-66.63893,-200.0,-70.35927,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.969864,-69.55133,-70.30033,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
53,E01,-200.0,-66.71476,-200.0,-70.50831,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.280754,-65.90302,-69.49869,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
54,E01,-200.0,-66.94487,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.586174,-65.280754,-200.0,-69.41552,-70.42587,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
55,E01,-200.0,-67.13312,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.63323,-200.0,-65.972824,-68.97487,-200.0,-200.0,-200.0,-200,-200,-200.0,-70.50326,-200,-200.0
