,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-81.801053,-87.49763999999999,-200.0,-200,-200,-200,-200,-200,-200.0,-67.542055,-56.0,-73.0,-82.0,-200,-84.81362,-200.0
1,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-87.49763999999999,-200.0,-200,-200,-200,-200,-200,-84.41474,-77.0,-58.7116755,-66.9793,-79.499374,-200,-85.0,-200.0
2,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-81.801053,-200.0,-200.0,-200,-200,-200,-200,-200,-84.41474,-80.00075,-58.7116755,-66.9793,-77.58576,-200,-84.81362,-200.0
3,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-81.801053,-200.0,-200.0,-200,-200,-200,-200,-200,-84.41474,-78.999664,-60.501125,-73.0,-77.33111,-200,-84.81362,-200.0
4,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-87.33161,-87.49763999999999,-200.0,-200,-200,-200,-200,-200,-84.41474,-67.542055,-61.001167,-75.33527,-77.248184,-200,-200.0,-200.0
5,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-87.49763999999999,-200.0,-200,-200,-200,-200,-200,-84.41474,-78.49887,-58.7116755,-77.00437,-77.1984,-200,-84.81362,-200.0
6,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-81.801053,-200.0,-200.0,-200,-200,-200,-200,-200,-84.41474,-76.994606,-58.7116755,-66.9793,-77.58576,-200,-84.81362,-200.0
7,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-81.801053,-200.0,-200.0,-200,-200,-200,-200,-200,-84.41474,-76.82808,-59.748688,-76.201096,-76.662895,-200,-84.81362,-200.0
8,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-81.801053,-87.49763999999999,-200.0,-200,-200,-200,-200,-200,-84.41474,-76.709015,-59.197304,-75.66514,-76.280014,-200,-200.0,-200.0
9,S09,-200.0,-200,-200,-200.0,-200.0,-200.0,-87.9987,-87.49763999999999,-200.0,-200,-200,-200,-200,-200,-84.41474,-67.542055,-58.82941,-75.71329,-76.118614,-200,-200.0,-200.0
