,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,A08,-57.0,-79.0,-76.0,-68.0,-69.44240500000001,-81.0,-71.92909499999999,-72.55146,-72.532563,-71.358734,-86.44375,-86.74993,-79.0,-80.6002,-75.0,-85.0,-88.81748,-88.752422,-81.767665,-83.91617,-200,-85.0,1
1,A08,-57.0,-85.501625,-66.454845,-68.0,-63.0,-78.9995,-68.0,-71.0,-77.0,-82.0,-86.44375,-86.74993,-81.500626,-80.6002,-75.50012,-85.0,-88.81748,-85.0,-84.0,-86.0,-200,-200.0,1
2,A08,-58.95195,-87.669556,-66.454845,-65.69823,-63.0,-71.42349,-69.00025,-71.50012,-73.99925,-82.0,-87.0,-86.74993,-77.9278795,-79.0,-79.562665,-83.99917,-86.0,-85.0,-86.0005,-82.99925,-200,-85.0,1
3,A08,-58.95195,-78.55602999999999,-74.499626,-66.99917,-62.66639,-71.42349,-69.33378,-72.55146,-72.99867,-71.358734,-85.99975,-85.0,-80.66639,-84.00125,-79.562665,-82.30964750000001,-86.50012,-86.33444,-87.00117,-83.666725,-200,-84.33278,1
4,A08,-59.335278,-78.55602999999999,-74.33295,-65.99763,-69.44240500000001,-75.32994,-71.92909499999999,-72.55146,-72.532563,-71.358734,-86.44375,-86.74993,-80.24906,-80.6002,-78.66939,-83.498505,-88.81748,-88.752422,-81.767665,-83.91617,-200,-84.249435,1
5,A08,-60.503498,-86.50012,-66.454845,-65.7975,-62.74994,-73.995125,-71.75456,-72.000496,-72.532563,-77.996666,-86.44375,-86.74993,-79.396706,-80.6002,-78.75218,-82.19491,-88.81748,-85.499374,-81.767665,-84.000626,-200,-200.0,1
6,A08,-61.004295,-86.600395,-66.454845,-65.69823,-62.800102,-73.7955,-72.80679,-71.74993,-73.75031,-75.994,-87.667885,-86.74993,-77.9278795,-80.6002,-80.00549,-81.65999,-86.666885,-84.7974,-84.24606,-84.2011,-200,-200.0,1
7,A08,-58.95195,-78.55602999999999,-66.454845,-67.84056,-62.833572,-71.42349,-72.83914,-71.198296,-74.2016,-75.99521,-86.99975,-86.74993,-77.9278795,-83.0,-79.562665,-82.30964750000001,-86.249435,-84.32903,-82.59191,-85.84173,-200,-83.9988,1
8,A08,-60.33386,-87.33702,-73.49825,-69.44511,-69.44240500000001,-73.49488,-71.92909499999999,-72.55146,-74.5027,-71.358734,-86.7992,-86.00025,-79.330284,-82.24869,-79.562665,-81.565094,-85.9988,-88.752422,-81.767665,-83.91617,-200,-84.50129,1
9,A08,-59.998287,-86.85721,-73.5989,-69.515076,-69.44240500000001,-73.567505,-72.430916,-71.16509,-72.532563,-71.358734,-86.44375,-86.66739,-79.28279,-80.6002,-79.50229,-82.25039,-88.81748,-88.752422,-81.767665,-83.91617,-200,-200.0,1
