,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,R05,-89.0,-200,-85.0,-82.218975,-74.0790725,-61.0,-80.0,-82.640973,-76.0,-88.750268,-200,-200,-200,-81.0,-64.0,-77.0,-89.9979,-80.463925,-82.984217,-200,-89.38135,-85.0,2
1,R05,-86.43166,-200,-84.50335999999999,-82.218975,-73.0,-64.00075,-78.784465,-82.640973,-73.499374,-88.750268,-200,-200,-200,-81.50012,-58.451008,-75.499626,-89.9979,-80.463925,-82.984217,-200,-89.38135,-200.0,2
2,R05,-86.43166,-200,-87.500626,-77.0,-71.99975,-63.333275,-78.784465,-79.0,-76.05624,-88.750268,-200,-200,-200,-85.003,-58.451008,-75.66656,-89.9979,-76.0,-77.0,-200,-89.38135,-200.0,2
3,R05,-86.43166,-200,-84.99834,-82.50137,-74.0790725,-64.29309,-78.784465,-81.0005,-76.05624,-88.750268,-200,-200,-200,-86.08642,-65.500374,-80.068592,-89.9979,-76.0,-76.49988,-200,-89.38135,-200.0,2
4,R05,-86.9995,-200,-83.74657,-82.218975,-74.0790725,-64.29309,-75.49888,-81.66756,-76.33527,-88.750268,-200,-200,-200,-85.00225,-66.667885,-76.50137,-89.9979,-76.33361,-76.333115,-200,-89.38135,-85.0,2
5,R05,-86.999664,-200,-84.50335999999999,-82.218975,-74.0790725,-63.24981,-78.784465,-82.640973,-78.50524,-88.750268,-200,-200,-200,-85.403,-67.25193,-77.20319,-89.9979,-80.463925,-82.984217,-200,-89.38135,-83.33195,2
6,R05,-87.500626,-200,-84.50335999999999,-82.33411,-73.667885,-62.1967,-78.784465,-83.25343,-76.05624,-88.750268,-200,-200,-200,-86.172676,-58.451008,-78.84347,-89.9979,-77.50225,-82.984217,-200,-89.38135,-200.0,2
7,R05,-86.43166,-200,-82.19261,-81.74956,-74.0790725,-61.49405,-78.001335,-83.002,-76.05624,-88.750268,-200,-200,-200,-86.08642,-65.797195,-80.068592,-89.9979,-77.8027,-76.24969,-200,-89.38135,-83.49925,2
8,R05,-86.43166,-200,-81.8255,-82.201,-74.0790725,-64.29309,-78.001,-82.834236,-77.400894,-88.750268,-200,-200,-200,-86.08642,-64.491714,-78.29084,-89.9979,-76.99858,-75.1966,-200,-89.38135,-84.8033,2
9,R05,-87.6008,-200,-84.50335999999999,-82.218975,-72.74931,-61.566795,-80.40799,-82.640973,-77.33377,-88.750268,-200,-200,-200,-85.7165,-63.55831,-77.62371,-89.9979,-80.463925,-82.984217,-200,-89.38135,-84.836235,2
10,R05,-86.43166,-200,-84.50335999999999,-82.218975,-72.1978,-61.621418,-78.784465,-82.640973,-77.71713,-88.750268,-200,-200,-200,-85.24788,-58.451008,-77.77836,-89.9979,-76.42365,-74.82883,-200,-89.38135,-200.0,2
11,R05,-86.43166,-200,-82.42573,-83.00449,-72.66697,-61.776325,-80.00482,-83.14564,-76.05624,-88.750268,-200,-200,-200,-86.11896,-58.451008,-80.068592,-89.9979,-77.12678,-76.43506,-200,-89.38135,-200.0,2
12,R05,-86.43166,-200,-81.993774,-82.71628,-74.0790725,-64.29309,-79.42899,-83.00118,-76.05624,-88.750268,-200,-200,-200,-86.08642,-63.109642,-80.068592,-89.9979,-77.11253,-78.14548,-200,-89.38135,-84.85978,2
13,R05,-86.43166,-200,-81.43264,-82.218975,-74.0790725,-64.29309,-78.618355,-82.640973,-77.87889,-88.750268,-200,-200,-200,-86.51257,-63.20969,-77.90226,-89.9979,-80.463925,-82.984217,-200,-89.38135,-84.87746,2
14,R05,-86.43166,-200,-84.50335999999999,-82.218975,-72.71485,-61.90043,-78.784465,-82.640973,-78.11723,-88.750268,-200,-200,-200,-86.65015,-63.289845,-78.00379,-89.9979,-80.463925,-82.984217,-200,-89.38135,-200.0,2
