,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-71.0,-86.0,-87.29829,-89.184875,-200,-200,-200,-200,-86.0,-74.29370499999999,-81.24575,-84.40345500000001,-71.0,-200,-51.0,-57.0,0
1,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-88.0,-76.00125,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-85.49988,-80.0,-81.24575,-84.40345500000001,-65.845924,-200,-51.0,-60.000748,2
2,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.49912,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-85.50137,-81.24575,-84.40345500000001,-68.499374,-200,-61.421215000000004,-200.0,2
3,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-80.99817,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-74.29370499999999,-87.99925,-84.40345500000001,-66.99834,-200,-61.421215000000004,-200.0,2
4,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-75.0,-82.50125,-87.29829,-89.184875,-200,-200,-200,-200,-85.333115,-74.29370499999999,-86.665054,-84.40345500000001,-66.49788,-200,-52.668056,-61.668552,2
5,S06,-89.99975,-200,-88.48161,-85.61436,-80.47152,-83.87147,-74.749565,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-85.24969,-82.99883,-81.24575,-84.40345500000001,-65.845924,-200,-53.5025,-63.25418,2
6,S06,-89.99983,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-85.1996,-81.74694,-81.24575,-84.40345500000001,-65.845924,-200,-61.421215000000004,-200.0,2
7,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-81.397705,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-80.79471,-84.74544,-84.40345500000001,-66.7992,-200,-61.421215000000004,-200.0,2
8,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-75.4016,-80.99626,-87.29829,-89.184875,-200,-200,-200,-200,-84.99875,-74.29370499999999,-83.19171,-84.40345500000001,-67.00025,-200,-53.0005,-62.801994,2
9,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-89.998085,-75.66922,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-84.99893,-82.00108,-81.98761,-84.40345500000001,-67.144,-200,-52.665558,-63.504864,2
10,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-75.860565,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-85.12516,-81.282005,-81.24575,-84.40345500000001,-65.845924,-200,-52.569862,-200.0,2
11,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.57842,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-80.74208,-81.55804,-84.40345500000001,-66.621475,-200,-61.421215000000004,-200.0,1
12,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-76.5086,-83.13594,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-74.29370499999999,-80.857216,-84.40345500000001,-65.98981,-200,-53.254555,-63.432274,1
13,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-76.56381,-83.57013,-87.29829,-89.184875,-200,-200,-200,-200,-85.56056,-74.29370499999999,-80.311424,-84.40345500000001,-65.788,-200,-53.675415,-62.873405,0
14,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-77.11515,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-85.909386,-79.9845,-81.24575,-84.40345500000001,-65.845924,-200,-53.404076,-63.337097,0
15,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.80237,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-79.27613,-81.24575,-84.40345500000001,-65.845924,-200,-61.421215000000004,-200.0,0
16,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.72816,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-79.80555,-80.68552,-84.40345500000001,-66.547554,-200,-61.421215000000004,-200.0,0
17,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-77.19699,-82.58112,-87.29829,-89.184875,-200,-200,-200,-200,-85.5478,-74.29370499999999,-81.17707,-84.40345500000001,-67.351776,-200,-53.181717,-63.708588,0
18,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-77.095146,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-85.9266,-79.82209,-81.58741,-84.40345500000001,-68.033554,-200,-52.996094,-63.735542,0
19,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-89.99547,-77.00881,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-86.32655,-79.36311,-81.24575,-84.40345500000001,-65.845924,-200,-52.838734,-63.75804,0
20,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-89.810905,-70.99462,-83.08715,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-78.96891,-81.5411,-84.40345500000001,-67.81058,-200,-61.421215000000004,-200.0,0
21,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.639725,-87.29829,-89.184875,-200,-200,-200,-200,-86.81707,-74.29370499999999,-81.13381,-84.40345500000001,-67.47911,-200,-52.630077,-63.225277,1
22,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-77.15517,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-86.691864,-74.29370499999999,-81.2624,-84.40345500000001,-67.642715,-200,-53.06899,-62.98821,3
23,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-78.04022,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-86.776764,-78.62653,-81.24575,-84.40345500000001,-65.845924,-200,-53.12941,-63.540253,3
24,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.38893,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-78.32627,-81.37517,-84.40345500000001,-65.845924,-200,-61.421215000000004,-200.0,3
25,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.55839,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-78.0607,-81.659065,-84.40345500000001,-67.29634,-200,-61.421215000000004,-200.0,3
26,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-78.491905,-82.217186,-87.29829,-89.184875,-200,-200,-200,-200,-87.158775,-74.29370499999999,-81.85377,-84.40345500000001,-66.9294,-200,-53.121468,-63.76479,3
27,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-79.198326,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-87.73231,-78.05716,-81.24575,-84.40345500000001,-66.60023,-200,-53.114388,-64.14754,3
28,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-79.82783,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-77.998474,-81.24575,-84.40345500000001,-65.845924,-200,-53.108036,-64.721725,3
29,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-82.02969,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-77.78638,-81.861885,-84.40345500000001,-66.72752,-200,-61.421215000000004,-200.0,3
30,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-79.504295,-81.861496,-87.29829,-89.184875,-200,-200,-200,-200,-87.58062,-74.29370499999999,-81.86921,-84.40345500000001,-66.84302,-200,-53.15535,-64.681656,3
31,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-79.15928,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-87.54982,-74.29370499999999,-81.92668,-84.40345500000001,-66.8995,-200,-53.147453,-64.43332,3
32,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-78.89707,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-87.82681,-77.59394,-81.24575,-84.40345500000001,-65.845924,-200,-53.18907,-64.20801,3
33,S06,-88.04828,-200,-88.48161,-85.61436,-80.47152,-83.87147,-70.99462,-79.808152,-87.29829,-89.184875,-200,-200,-200,-200,-82.159065,-77.95548,-82.418434,-84.40345500000001,-65.845924,-200,-61.421215000000004,-200.0,3
