"Date","UUID","Major","Minor","RSSI"
"2022-05-11T00:14:58.830","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:14:59.879","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71"
"2022-05-11T00:15:00.989","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:15:03.202","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:15:04.321","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:15:05.421","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:15:07.635","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-79"
"2022-05-11T00:15:09.849","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71"
"2022-05-11T00:15:10.958","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:15:12.067","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62"
"2022-05-11T00:15:13.175","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:15:14.286","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:15:15.403","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:15:17.619","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:15:18.727","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T00:15:19.835","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T00:15:23.162","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:15:24.266","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:15:25.374","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:15:26.485","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:15:27.599","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-82"
"2022-05-11T00:15:28.710","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-80"
"2022-05-11T00:15:30.918","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:15:32.033","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:15:33.140","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:15:34.249","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:15:35.359","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:15:36.470","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T00:15:38.683","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:15:39.791","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:15:40.899","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:15:42.016","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74"
"2022-05-11T00:15:43.129","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:15:44.239","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:15:45.342","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T00:15:46.455","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:15:47.561","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:15:48.670","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:15:49.782","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:15:52.002","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:15:53.113","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:15:54.223","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:15:55.335","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:15:56.442","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:15:57.549","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:15:58.653","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T00:15:59.761","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:16:00.873","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:16:01.974","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62"
"2022-05-11T00:16:03.083","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62"
"2022-05-11T00:16:04.190","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:16:05.297","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:16:06.414","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:16:07.528","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:16:08.632","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:16:09.737","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:16:11.955","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:16:13.075","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:16:14.178","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T00:16:15.287","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T00:16:16.392","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-79"
"2022-05-11T00:16:17.506","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74"
"2022-05-11T00:16:18.610","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73"
"2022-05-11T00:16:19.718","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75"
"2022-05-11T00:16:20.827","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:16:21.936","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:16:23.047","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62"
"2022-05-11T00:16:24.159","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-62"
"2022-05-11T00:16:25.265","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:16:26.371","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:16:27.478","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T00:16:28.590","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-63"
"2022-05-11T00:16:29.696","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:16:30.809","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:16:31.913","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:16:33.023","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T00:16:34.128","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
"2022-05-11T00:16:35.239","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:16:36.349","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:16:37.459","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71"
"2022-05-11T00:16:38.565","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-64"
"2022-05-11T00:16:39.681","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:16:40.786","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:16:41.891","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:16:43.001","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:16:44.107","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68"
"2022-05-11T00:16:45.218","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:16:46.329","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:16:47.434","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69"
"2022-05-11T00:16:49.647","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T00:16:50.759","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T00:16:51.870","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T00:16:52.976","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75"
"2022-05-11T00:16:54.084","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-67"
"2022-05-11T00:16:55.190","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:16:56.296","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:16:57.407","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-82"
"2022-05-11T00:16:58.512","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T00:16:59.617","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-74"
"2022-05-11T00:17:00.731","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71"
"2022-05-11T00:17:01.836","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-66"
"2022-05-11T00:17:02.946","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-65"
