"Date","UUID","Major","Minor","RSSI"
"2022-05-11T05:16:13.508","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75"
"2022-05-11T05:16:14.598","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:16:15.710","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T05:16:16.815","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:16:17.924","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70"
"2022-05-11T05:16:19.034","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71"
"2022-05-11T05:16:20.143","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73"
"2022-05-11T05:16:21.252","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:16:22.357","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77"
"2022-05-11T05:16:23.468","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T05:16:24.576","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-72"
"2022-05-11T05:16:25.681","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-90"
"2022-05-11T05:16:26.792","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-87"
"2022-05-11T05:16:27.899","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-82"
"2022-05-11T05:16:29.018","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77"
"2022-05-11T05:16:30.115","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T05:16:31.225","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T05:16:32.332","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T05:16:34.547","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-76"
"2022-05-11T05:16:35.656","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-75"
"2022-05-11T05:16:36.766","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-77"
"2022-05-11T05:16:37.873","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T05:16:38.982","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-78"
"2022-05-11T05:16:40.090","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-84"
