"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error"
"2022-05-20T05:01:02.212","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-53","-53.0","0.0"
"2022-05-20T05:01:04.154","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-62.00899","80.83826082010005"
"2022-05-20T05:01:06.355","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-65.68485","53.51141952250004"
"2022-05-20T05:01:07.462","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-67.526405","29.960242224025034"
"2022-05-20T05:01:08.571","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-88","-71.67005","266.6672670024999"
"2022-05-20T05:01:11.883","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.38664","1.9227704895999997"
"2022-05-20T05:01:12.994","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.18344","1.4005302336000107"
"2022-05-20T05:01:14.096","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-70.77172","7.682431758400011"
"2022-05-20T05:01:18.526","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-95","-73.58428","458.6330631183997"
"2022-05-20T05:01:19.651","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-99","-76.268555","516.7185917880247"
"2022-05-20T05:01:21.858","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-75.65951","32.03005344009997"
"2022-05-20T05:01:22.966","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-75.14894","26.51158312359996"
"2022-05-20T05:01:24.074","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-74.714226","22.223926779075967"
"2022-05-20T05:01:27.394","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-74.41875","11.68785156250002"
"2022-05-20T05:01:31.813","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-74.085556","16.691767829135973"
"2022-05-20T05:01:32.917","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69","-73.72019","22.280193636100023"
"2022-05-20T05:01:34.022","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-73.46437","12.001859496900016"
"2022-05-20T05:01:37.337","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-73.301506","5.296929868036016"
"2022-05-20T05:01:38.447","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-73.091034","9.554491189155959"
"2022-05-20T05:01:39.554","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-72.776955","22.81929907202501"
"2022-05-20T05:01:41.763","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-69","-72.5508","12.608180639999967"
"2022-05-20T05:01:42.872","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-72.40215","5.770324622500029"
"2022-05-20T05:01:43.978","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-72.32244","1.7488475536000008"
"2022-05-20T05:01:47.292","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-72.082214","16.664471141795946"
"2022-05-20T05:01:48.400","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-72.02329","1.0471224241000059"
"2022-05-20T05:01:52.828","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-71.808334","14.503407855556016"
"2022-05-20T05:01:53.939","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.71336","2.935602489599981"
"2022-05-20T05:01:57.258","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.62479","2.6399425441000144"
"2022-05-20T05:01:58.366","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.59295","0.3515897025000022"
