"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error","AP RSSI"
"2022-06-15T23:07:29.442","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-57.0","0.0","-49"
"2022-06-15T23:07:30.538","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-57.0","0.0","-48"
"2022-06-15T23:07:31.642","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-57.0","0.0","-49"
"2022-06-15T23:07:33.860","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.748257","0.5598885380490036","-49"
"2022-06-15T23:07:34.972","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.596817","0.35619053148900176","-50"
"2022-06-15T23:07:36.082","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-58","-56.83494","1.3573648035999928","-50"
"2022-06-15T23:07:39.403","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.85913","0.019844356899999888","-49"
"2022-06-15T23:07:40.514","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.74802","0.5595339203999952","-50"
"2022-06-15T23:07:43.839","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.77727","0.04960865289999935","-49"
"2022-06-15T23:07:44.951","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.800793","0.039683428849000495","-50"
"2022-06-15T23:07:46.059","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-58","-56.91731","1.172217636099999","-49"
"2022-06-15T23:07:49.387","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.834553","0.6964787098089994","-51"
"2022-06-15T23:07:50.496","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.76409","0.5838335281000047","-50"
"2022-06-15T23:07:51.604","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.78286","0.04714977960000024","-50"
"2022-06-15T23:07:53.819","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.72383","0.5239298688999994","-48"
"2022-06-15T23:07:54.928","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.67183","0.4513555488999999","-49"
"2022-06-15T23:07:56.034","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.62563","0.39141289690000125","-49"
"2022-06-15T23:07:59.370","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.65037","0.12224113689999837","-49"
"2022-06-15T23:08:00.471","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.60891","0.370771388100002","-50"
"2022-06-15T23:08:01.577","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.571342","0.32643168096400155","-50"
"2022-06-15T23:08:03.791","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.537132","0.2885107854239997","-49"
"2022-06-15T23:08:04.902","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.564106","0.19000357923599787","-49"
"2022-06-15T23:08:06.019","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.588886","0.16901472099599815","-49"
"2022-06-15T23:08:09.334","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.556156","0.3093094963360016","-50"
"2022-06-15T23:08:10.441","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.52588","0.27654977440000084","-49"
"2022-06-15T23:08:11.551","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-56","-56.497784","0.24778891065600286","-50"
"2022-06-15T23:08:14.874","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-58","-56.57667","2.0258682889","-50"
"2022-06-15T23:08:15.986","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.598557","0.16115648224900037","-51"
"2022-06-15T23:08:19.308","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.619015","0.14514957022500197","-54"
"2022-06-15T23:08:20.414","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.638176","0.13091660697599897","-51"
"2022-06-15T23:08:24.841","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-58","-56.705856","1.6748086927360073","-54"
"2022-06-15T23:08:25.949","020012ac-4202-649d-ec11-b6cbc8814ad7","420","0","-57","-56.720314","0.07822425859599894","-51"
