"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T08:00:09.252","-67.0","-80.0","-62.0","-64.0","-200","-64.0","-62.0","-200","-200","-200","-93.0","-200","-70.0","-200","-67.0","-76.0","-83.0","-90.0","-200","-78.0"
"2022-06-28T08:00:10.373","-67.50012","-200","-62.500126","-62.499626","-70.0","-64.0","-60.99975","-200","-61.0","-200","-89.99925","-73.0","-67.499374","-88.0","-67.0","-200","-84.00025","-200","-74.0","-200"
"2022-06-28T08:00:11.482","-64.33078","-200","-200","-200","-67.499374","-200","-200","-70.0","-61.0","-67.0","-200","-75.0005","-200","-84.99925","-200","-200","-85.001","-200","-73.49988","-200"
"2022-06-28T08:00:12.624","-200","-76.99925","-200","-200","-66.33195","-63.66639","-60.66622","-72.500626","-200","-65.499626","-200","-75.66756","-200","-82.99783","-200","-74.99975","-200","-86.99925","-200","-83.50137"
"2022-06-28T08:00:13.748","-200","-77.666725","-63.0005","-63.000168","-200","-62.998627","-60.24894","-72.33361","-200","-200","-87.33061","-200","-68.33361","-200","-200","-74.33261","-200","-86.66589","-200","-83.000496"
"2022-06-28T08:00:14.884","-63.747066","-78.000626","-63.751686","-64.00188","-65.998375","-63.8013","-61.0014","-200","-62.00083","-200","-85.99563","-200","-70.25356","-200","-67.0","-74.24931","-200","-86.49913","-76.33561","-84.252556"
"2022-06-28T08:00:16.008","-62.794807","-200","-64.0021","-66.40869","-65.5975","-200","-200","-71.74919","-62.25106","-67.001","-200","-200","-71.0051","-81.74619","-66.49912","-200","-200","-200","-77.00287","-200"
"2022-06-28T08:00:17.121","-62.159447","-79.80589","-200","-200","-65.999756","-200","-200","-71.59891","-62.2007","-66.75031","-200","-75.75082","-200","-81.596504","-200","-73.5975","-200","-200","-76.8017","-200"
"2022-06-28T08:00:18.249","-200","-80.67554","-62.829742","-200","-200","-62.495132","-60.331448","-72.33578","-200","-200","-200","-75.399605","-71.00424","-81.496635","-200","-72.99518","-200","-87.2014","-200","-82.5971"
"2022-06-28T08:00:19.369","-62.13652","-80.72219","-62.135303","-65.837975","-200","-61.992588","-59.85244","-200","-200","-200","-85.996506","-200","-70.14093","-200","-67.20139","-72.99587","-85.00075","-87.837395","-200","-81.49255"
"2022-06-28T08:00:20.499","-62.497578","-200","-61.992153","-65.14235","-66.14358","-61.236977","-200","-200","-62.669384","-66.1986","-200","-75.66756","-69.49271","-81.56901","-67.335106","-200","-86.00359","-200","-77.67204","-80.70281"
"2022-06-28T08:00:21.610","-63.003498","-200","-200","-200","-66.75593","-200","-200","-71.56858","-62.716923","-67.50478","-200","-77.872116","-200","-81.49726","-200","-200","-86.17042","-87.42942","-77.7192","-200"
"2022-06-28T08:00:22.738","-200","-80.505035","-200","-200","-67.90702","-60.87325","-59.871044","-70.74034","-63.25698","-68.00734","-200","-79.52742","-200","-81.55375","-200","-74.13121","-200","-86.87091","-200","-80.74029"
"2022-06-28T08:00:23.866","-62.698883","-79.99882","-61.993034","-63.989582","-200","-60.581844","-59.885536","-69.982956","-200","-200","-87.00167","-200","-70.22391","-200","-68.58098","-75.015396","-86.43348","-86.323586","-200","-80.881836"
"2022-06-28T08:00:24.994","-62.819225","-79.59326","-62.50084","-64.32785","-67.409355","-60.713013","-59.795727","-200","-63.228104","-68.2586","-86.71386","-80.25472","-70.2012","-200","-68.12945","-200","-86.631004","-85.885086","-77.8807","-80.99524"
"2022-06-28T08:00:26.111","-63.17493","-200","-63.194458","-64.39602","-66.724045","-200","-200","-69.781845","-63.30639","-68.11717","-200","-80.735985","-70.0901","-81.09191","-67.665436","-200","-87.00957","-200","-78.568306","-200"
"2022-06-28T08:00:27.236","-63.31881","-79.26091","-200","-200","-66.23704","-200","-200","-69.52454","-63.370544","-68.30813","-200","-200","-200","-80.52846","-200","-74.811","-200","-85.988205","-79.32202","-200"
"2022-06-28T08:00:28.357","-200","-78.55807","-63.348076","-64.45188","-200","-60.48219","-59.537144","-69.30975","-200","-200","-86.119484","-81.40785","-69.99735","-80.31333","-200","-74.64349","-200","-86.07429","-200","-80.99568"
