"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T09:13:25.091","-60.0","-200","-71.0","-65.0","-64.0","-200","-200","-59.0","-73.0","-64.0","-200","-79.0","-67.0","-85.0","-73.0","-200","-89.0","-200","-83.0","-200"
"2022-06-28T09:13:26.217","-60.0","-76.0","-200","-200","-64.0","-57.0","-200","-59.500126","-73.50012","-64.0","-200","-77.499626","-200","-82.9995","-73.50012","-85.0","-200","-85.0","-80.9995","-85.0"
"2022-06-28T09:13:27.344","-200","-77.500374","-67.49912","-65.0","-63.66639","-56.499874","-76.0","-60.0005","-200","-200","-200","-77.33295","-65.99975","-200","-200","-83.499626","-200","-83.499626","-200","-85.0"
"2022-06-28T09:13:28.476","-59.33278","-78.00066","-66.33178","-63.665558","-200","-59.33561","-74.499626","-200","-200","-68.336945","-200","-200","-66.66705","-200","-73.666885","-85.33461","-89.50012","-83.66656","-79.66522","-87.00166"
"2022-06-28T09:13:29.619","-58.999","-200","-66.24869","-63.999752","-64.000374","-60.754185","-73.99934","-61.753433","-70.998","-69.003876","-200","-79.75394","-67.50175","-84.33411","-74.50162","-200","-88.999664","-200","-79.49863","-89.004745"
"2022-06-28T09:13:30.736","-58.397404","-200","-200","-200","-64.0003","-200","-200","-62.003494","-69.99675","-70.006096","-200","-80.6057","-200","-83.74956","-74.40099","-83.99863","-88.49887","-200","-79.398605","-200"
"2022-06-28T09:13:31.856","-200","-79.00224","-200","-63.398003","-64.335106","-61.204693","-74.500374","-62.33777","-200","-200","-91.0","-80.83914","-200","-84.602196","-200","-83.3971","-200","-86.504875","-200","-89.60559"
"2022-06-28T09:13:32.973","-200","-78.399994","-66.6","-66.51253","-200","-61.337852","-76.00479","-200","-200","-200","-90.49988","-200","-66.7993","-200","-200","-83.33061","-88.398796","-200","-78.99701","-87.8299"
"2022-06-28T09:13:34.109","-58.665726","-200","-66.8344","-67.87667","-63.71179","-61.145493","-76.17142","-200","-69.39561","-69.502785","-90.333115","-81.58119","-66.8329","-200","-73.831566","-200","-88.33202","-200","-78.70987","-200"
"2022-06-28T09:13:35.234","-58.570004","-200","-66.714424","-200","-63.117676","-200","-200","-62.14542","-69.16194","-69.14292","-200","-81.76009","-66.425575","-83.83165","-73.42443","-200","-88.28429","-200","-78.49427","-200"
