"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T10:38:05.801","-200","-81.0","-85.0","-79.0","-200","-93.0","-83.0","-200","-200","-200","-81.0","-56.0","-91.0","-200","-89.0","-200","-200","-200","-200","-85.0"
"2022-06-28T10:38:06.907","-200","-76.49888","-85.50012","-80.500374","-200","-92.49988","-83.0","-200","-200","-83.0","-70.9975","-200","-83.49812","-200","-200","-200","-200","-200","-200","-78.498375"
"2022-06-28T10:38:08.044","-81.0","-75.33161","-87.334946","-77.99817","-200","-200","-83.0","-93.0","-84.0","-80.9995","-66.995","-200","-80.996666","-81.0","-200","-200","-200","-200","-200","-75.66322"
"2022-06-28T10:38:09.161","-81.50012","-200","-200","-200","-200","-200","-200","-93.0","-87.50088","-82.000496","-200","-57.500374","-200","-74.498375","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:38:10.284","-82.33411","-75.499","-200","-200","-200","-200","-200","-200","-200","-200","-64.99276","-58.33428","-200","-72.997665","-200","-200","-200","-200","-200","-75.49712"
"2022-06-28T10:38:11.408","-200","-77.60549","-200","-78.24906","-200","-200","-200","-200","-200","-200","-64.59301","-200","-80.9975","-200","-200","-200","-200","-200","-200","-74.3944"
"2022-06-28T10:38:12.543","-200","-200","-88.00237","-200","-200","-200","-83.50088","-200","-87.00017","-82.50124","-65.665726","-200","-80.7974","-200","-200","-200","-200","-200","-200","-73.99351"
"2022-06-28T10:38:13.664","-81.74956","-200","-200","-200","-200","-200","-200","-200","-88.75319","-82.801895","-200","-58.000126","-79.99418","-76.003494","-91.0005","-200","-200","-200","-200","-200"
"2022-06-28T10:38:14.784","-81.198","-78.50869","-200","-200","-200","-91.33228","-200","-200","-88.4015","-200","-64.99487","-56.997105","-200","-78.40999","-91.66756","-200","-200","-200","-200","-200"
"2022-06-28T10:38:15.909","-200","-77.572845","-88.0019","-78.800896","-200","-90.99863","-200","-200","-200","-200","-64.112885","-56.99759","-79.99502","-200","-92.00125","-200","-200","-200","-200","-73.99444"
"2022-06-28T10:38:17.032","-200","-77.122345","-87.83415","-80.50852","-200","-91.6007","-85.606995","-200","-200","-83.16992","-63.201267","-200","-79.2391","-200","-200","-200","-200","-200","-200","-74.87778"
"2022-06-28T10:38:18.156","-82.33685","-200","-87.71422","-81.29811","-200","-200","-86.50994","-92.33278","-88.334274","-82.57036","-63.282276","-57.14172","-78.987495","-80.685356","-200","-200","-200","-200","-200","-75.11624"
"2022-06-28T10:38:19.273","-84.15761","-200","-200","-200","-200","-200","-200","-92.49988","-87.85486","-81.99408","-200","-56.74558","-200","-81.5933","-92.4022","-200","-200","-200","-200","-200"
"2022-06-28T10:38:20.405","-85.77692","-76.7715","-200","-82.39534","-200","-92.33727","-200","-200","-87.3688","-200","-63.34866","-56.6618","-200","-82.27504","-93.00458","-200","-200","-200","-200","-74.49593"
"2022-06-28T10:38:21.520","-200","-76.896095","-87.62416","-82.01382","-200","-91.85743","-87.15554","-200","-200","-200","-63.148834","-200","-78.78593","-200","-200","-200","-200","-200","-200","-74.91253"
"2022-06-28T10:38:22.659","-85.80199","-200","-87.66639","-81.606735","-200","-91.24495","-200","-200","-87.552086","-81.99474","-62.97943","-200","-79.083206","-82.6936","-200","-200","-200","-200","-200","-75.09013"
"2022-06-28T10:38:23.779","-85.92349","-200","-88.004486","-81.36563","-200","-200","-200","-92.199005","-87.59751","-82.096695","-200","-56.696102","-79.58661","-82.319","-92.42879","-200","-200","-200","-200","-200"
"2022-06-28T10:38:24.894","-85.93057","-76.443245","-200","-200","-200","-91.21742","-200","-200","-87.634735","-81.90276","-62.90744","-57.279167","-200","-82.01202","-92.24863","-200","-200","-200","-200","-200"
"2022-06-28T10:38:26.019","-200","-75.89505","-88.28155","-81.4196","-200","-91.29679","-200","-200","-200","-200","-63.051624","-57.595737","-79.146194","-200","-200","-200","-200","-200","-200","-74.68886"
"2022-06-28T10:38:27.134","-200","-75.509155","-88.42776","-81.465355","-200","-200","-200","-200","-88.09122","-81.82596","-63.113174","-200","-78.76794","-200","-200","-200","-200","-200","-200","-74.197205"
"2022-06-28T10:38:28.265","-85.8514","-200","-88.47287","-81.72516","-200","-200","-88.01856","-91.99825","-88.08402","-81.839676","-200","-57.70644","-78.37051","-81.330345","-92.44542","-200","-200","-200","-200","-73.770195"
"2022-06-28T10:38:29.377","-85.62662","-200","-200","-200","-200","-200","-200","-91.998505","-87.78384","-81.55745","-200","-57.581013","-200","-80.67363","-92.50166","-200","-200","-200","-200","-200"
"2022-06-28T10:38:30.499","-85.433556","-76.05975","-200","-81.813","-200","-200","-88.35358","-92.50306","-200","-200","-62.73792","-57.472076","-200","-79.889084","-92.45526","-96.0","-200","-200","-200","-73.72021"
"2022-06-28T10:38:31.618","-200","-76.262344","-88.65862","-81.69534","-200","-91.63931","-88.52055","-200","-200","-200","-62.694916","-200","-78.735855","-200","-200","-95.49988","-200","-200","-200","-73.55323"
"2022-06-28T10:38:32.752","-200","-76.44002","-88.819954","-81.59128","-200","-200","-89.11986","-200","-87.1786","-81.863556","-62.600822","-200","-78.56792","-79.69002","-200","-200","-200","-200","-200","-73.754105"
"2022-06-28T10:38:33.866","-85.7482","-200","-200","-200","-200","-200","-200","-92.33417","-86.71271","-81.67771","-200","-57.50634","-78.41827","-79.839935","-92.75685","-200","-200","-200","-200","-200"
"2022-06-28T10:38:34.986","-85.959236","-75.983315","-200","-200","-200","-91.75508","-200","-91.8946","-86.9145","-200","-62.728085","-57.35249","-200","-79.91115","-200","-200","-200","-200","-200","-74.32291"
"2022-06-28T10:38:36.101","-200","-75.63461","-88.76674","-200","-200","-91.93206","-88.854416","-200","-200","-200","-62.79273","-200","-77.78438","-200","-200","-200","-200","-200","-200","-74.093605"
"2022-06-28T10:38:37.227","-200","-75.37732","-88.5969","-81.556816","-200","-91.79005","-88.55056","-200","-86.97776","-81.88165","-62.900482","-200","-77.37146","-200","-200","-200","-200","-200","-200","-73.78391"
"2022-06-28T10:38:38.348","-85.96174","-200","-200","-82.02554","-200","-200","-88.28958","-200","-87.03451","-82.005104","-200","-57.56506","-77.45422","-79.50838","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:38:39.463","-86.19708","-200","-200","-200","-200","-200","-200","-92.08933","-87.19181","-82.171364","-200","-58.199875","-200","-79.59119","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:38:40.582","-200","-75.25121","-88.736946","-82.34245","-200","-200","-200","-200","-200","-200","-62.95216","-58.348404","-200","-79.400696","-200","-200","-200","-200","-200","-73.94091"
"2022-06-28T10:38:41.696","-200","-75.03516","-88.52949","-82.32505","-200","-91.6667","-88.61414","-200","-200","-81.684875","-62.772945","-200","-77.529686","-200","-200","-200","-200","-200","-200","-73.94369"
"2022-06-28T10:38:42.819","-86.29717","-74.83817","-88.60749","-82.01628","-200","-200","-200","-200","-87.38535","-81.4976","-62.65139","-58.279873","-77.081795","-79.22786","-92.14535","-200","-200","-200","-200","-74.082275"
"2022-06-28T10:38:43.933","-86.3875","-200","-200","-200","-200","-200","-200","-200","-87.56181","-81.131584","-200","-58.217392","-76.62463","-79.36319","-91.62015","-200","-200","-200","-200","-200"
"2022-06-28T10:38:45.048","-86.418625","-74.93978","-200","-200","-200","-200","-200","-200","-200","-200","-62.7511","-58.207176","-200","-79.25212","-91.78413","-200","-200","-200","-200","-73.94716"
"2022-06-28T10:38:46.173","-200","-74.76113","-88.9832","-82.10951","-200","-91.753235","-88.509384","-200","-200","-200","-62.555428","-200","-76.991776","-200","-200","-200","-200","-200","-200","-74.204124"
"2022-06-28T10:38:47.296","-200","-74.68393","-89.13047","-81.96851","-200","-200","-88.47812","-200","-200","-81.4544","-62.533203","-200","-77.119484","-200","-200","-200","-200","-200","-200","-74.2369"
