"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T07:09:36.671","-74.0","-200","-68.0","-67.0","-200","-84.0","-200","-200","-76.0","-53.0","-200","-77.0","-62.0","-64.0","-200","-200","-200","-200","-200","-200"
"2022-06-28T07:09:37.781","-73.49988","-67.0","-200","-200","-200","-200","-200","-77.0","-76.0","-53.0","-200","-78.500374","-200","-62.499626","-200","-90.0","-200","-200","-94.0","-200"
"2022-06-28T07:09:38.910","-200","-67.0","-200","-200","-200","-82.99975","-77.0","-78.500374","-200","-53.33361","-88.0","-79.667885","-62.500126","-200","-79.0","-91.500374","-200","-95.0","-200","-77.0"
"2022-06-28T07:09:40.049","-72.66589","-67.0","-71.50088","-67.0","-200","-85.335106","-83.501625","-79.667885","-200","-200","-85.9995","-200","-65.00217","-200","-82.50088","-90.33261","-200","-95.0","-90.49912","-70.998505"
"2022-06-28T07:09:41.190","-73.50088","-200","-73.66906","-64.66473","-200","-82.997246","-81.33261","-200","-77.66805","-53.25006","-86.666885","-82.25543","-66.00337","-200","-84.00183","-200","-94.0","-200","-88.99817","-70.66539"
"2022-06-28T07:09:42.300","-200","-200","-74.00238","-200","-200","-200","-200","-78.248436","-77.25031","-53.199898","-200","-83.20719","-200","-64.33461","-200","-200","-94.0","-200","-88.49775","-200"
"2022-06-28T07:09:43.426","-200","-68.502625","-200","-200","-200","-200","-80.24757","-77.3962","-77.601295","-53.166428","-200","-84.51194","-200","-65.00212","-200","-92.25281","-200","-95.66722","-200","-69.74744"
"2022-06-28T07:09:44.555","-72.19681","-70.40779","-73.8013","-65.5","-200","-82.5966","-78.79371","-76.66015","-200","-200","-84.74681","-200","-66.60449","-200","-84.50225","-92.202095","-200","-200","-200","-70.1993"
"2022-06-28T07:09:45.683","-71.326706","-71.84638","-73.83457","-66.001495","-200","-82.329285","-77.82367","-200","-77.33319","-200","-83.594","-84.86968","-67.00557","-200","-84.2009","-200","-200","-200","-200","-70.50079"
"2022-06-28T07:09:46.796","-70.7046","-200","-74.14593","-66.336105","-200","-200","-200","-200","-76.99772","-53.57385","-200","-85.1383","-67.43612","-66.40589","-83.99983","-200","-200","-200","-200","-200"
"2022-06-28T07:09:47.915","-200","-72.01225","-200","-200","-200","-200","-200","-76.277664","-76.87192","-53.50149","-200","-85.23512","-200","-67.50994","-200","-200","-200","-200","-200","-200"
"2022-06-28T07:09:49.045","-200","-72.136795","-200","-200","-200","-81.99437","-77.70524","-75.99047","-200","-200","-83.66198","-200","-67.63331","-67.43662","-84.28742","-200","-200","-95.750565","-200","-69.99744"
"2022-06-28T07:09:50.169","-71.62448","-72.23379","-74.37971","-65.42508","-200","-81.616806","-77.61632","-200","-200","-200","-83.71058","-200","-67.78688","-200","-84.629456","-200","-94.0","-96.0012","-88.3979","-69.619484"
"2022-06-28T07:09:51.306","-72.34087","-200","-74.67414","-64.74103","-200","-81.32276","-77.4347","-200","-77.111046","-53.44514","-83.74707","-85.414116","-68.01134","-67.38157","-84.78346","-200","-94.0","-200","-88.16386","-69.32514"
"2022-06-28T07:09:52.418","-72.8134","-200","-200","-200","-200","-200","-200","-75.65444","-76.99837","-53.704254","-200","-85.5608","-200","-68.01289","-200","-91.8334","-94.2006","-200","-87.99651","-200"
"2022-06-28T07:09:53.552","-200","-72.818596","-200","-200","-200","-81.29002","-200","-75.48665","-76.99852","-53.916595","-200","-85.59817","-200","-68.518684","-200","-91.569786","-200","-200","-200","-69.59643"
"2022-06-28T07:09:54.671","-72.2757","-73.39033","-74.50435","-65.10722","-200","-81.2632","-76.7821","-75.25665","-200","-200","-83.21366","-200","-68.10278","-200","-84.50117","-91.49794","-200","-200","-200","-69.72625"
"2022-06-28T07:09:55.805","-71.82684","-73.8676","-74.365204","-65.400604","-200","-81.32589","-76.24729","-200","-200","-54.093853","-82.786316","-200","-68.09404","-200","-84.26983","-200","-200","-200","-88.37523","-69.83462"
"2022-06-28T07:09:56.935","-71.91933","-200","-73.90873","-66.10349","-200","-81.379036","-200","-75.06465","-76.82848","-53.928787","-200","-85.472176","-68.16546","-67.91576","-200","-200","-200","-200","-88.78253","-200"
"2022-06-28T07:09:58.044","-200","-73.326195","-200","-200","-200","-200","-200","-74.98072","-76.76317","-53.787014","-200","-85.36397","-200","-67.327354","-200","-92.00382","-200","-96.16843","-89.210266","-70.478325"
"2022-06-28T07:09:59.165","-200","-72.8612","-73.44292","-66.690254","-200","-81.05717","-200","-74.90864","-200","-200","-82.62109","-200","-67.63878","-200","-83.821465","-92.206276","-200","-96.287994","-200","-70.95769"
"2022-06-28T07:10:00.298","-72.072266","-72.45734","-73.04285","-66.084","-200","-80.84652","-76.22625","-200","-200","-200","-200","-200","-67.18134","-200","-83.44137","-92.372185","-200","-96.37777","-89.00583","-71.37402"
"2022-06-28T07:10:01.417","-72.549614","-200","-73.315506","-65.63681","-200","-80.726685","-200","-200","-200","-53.732784","-82.73841","-85.5456","-67.36427","-67.301544","-83.702934","-200","-94.33444","-200","-88.835175","-71.09015"
"2022-06-28T07:10:02.533","-72.96824","-200","-200","-200","-200","-200","-200","-74.84603","-76.85408","-53.685226","-200","-85.70489","-200","-67.27938","-200","-92.68084","-94.286354","-200","-88.76933","-200"
"2022-06-28T07:10:03.658","-200","-72.362755","-200","-200","-200","-200","-76.28725","-74.79112","-76.93304","-53.643166","-82.83787","-85.84577","-67.52607","-67.26013","-200","-92.942505","-200","-96.447685","-200","-70.83907"
"2022-06-28T07:10:04.811","-73.03157","-72.03356","-73.03543","-66.144165","-200","-80.497925","-76.19263","-74.74256","-200","-200","-82.77628","-200","-67.67025","-200","-83.37888","-93.093735","-200","-96.5037","-89.0803","-71.19812"
"2022-06-28T07:10:05.940","-73.08801","-200","-72.72633","-66.5891","-200","-80.41063","-76.17935","-200","-76.87248","-53.547405","-82.72279","-85.79648","-67.29995","-66.85385","-83.094696","-200","-200","-200","-89.41929","-71.52021"
"2022-06-28T07:10:07.054","-73.13864","-200","-72.50917","-66.982635","-200","-200","-200","-74.69929","-76.75754","-53.461502","-200","-85.75226","-200","-66.494514","-200","-200","-200","-200","-89.716576","-200"
"2022-06-28T07:10:08.173","-200","-71.74021","-200","-200","-200","-200","-76.16771","-74.49392","-76.71339","-53.330933","-200","-85.71236","-200","-66.05775","-200","-93.22508","-200","-200","-200","-200"
"2022-06-28T07:10:09.303","-200","-71.42154","-72.702965","-200","-200","-80.2768","-76.15742","-74.46772","-200","-200","-82.80569","-200","-200","-200","-200","-93.275375","-200","-200","-200","-71.28044"
"2022-06-28T07:10:10.429","-73.39651","-71.505264","-72.9309","-66.5757","-200","-80.209076","-76.20652","-200","-76.84033","-200","-200","-200","-67.44317","-200","-83.395805","-93.44263","-94.250244","-96.457115","-89.54982","-71.0629"
"2022-06-28T07:10:11.546","-73.68129","-200","-73.08688","-66.15513","-200","-200","-200","-200","-76.95489","-53.314114","-82.879","-200","-67.57311","-66.110054","-83.66413","-200","-94.22212","-200","-89.40122","-200"
"2022-06-28T07:10:12.667","-73.89212","-71.88617","-200","-200","-200","-200","-200","-74.39313","-77.05882","-53.445232","-200","-85.7778","-200","-66.15726","-200","-93.53339","-94.19959","-200","-89.32343","-200"
"2022-06-28T07:10:13.785","-200","-72.233444","-200","-200","-200","-80.249275","-75.91748","-74.32512","-77.00713","-53.565304","-82.65294","-200","-67.64277","-66.50503","-200","-200","-200","-200","-200","-71.10864"
"2022-06-28T07:10:14.909","-73.56819","-72.55147","-73.08264","-66.30603","-200","-80.28593","-75.65664","-74.26284","-200","-200","-82.45014","-200","-67.70656","-200","-83.57175","-200","-200","-200","-200","-71.10354"
"2022-06-28T07:10:16.036","-73.270355","-200","-73.07876","-66.39212","-200","-80.366486","-75.419975","-200","-76.9598","-53.675705","-82.267136","-85.83746","-67.76521","-200","-83.48837","-200","-200","-200","-200","-71.09885"
"2022-06-28T07:10:17.147","-73.03932","-200","-200","-66.51943","-200","-200","-200","-74.25092","-76.87093","-53.60225","-200","-85.7041","-200","-66.23629","-200","-200","-200","-200","-89.41236","-200"
"2022-06-28T07:10:18.269","-200","-72.299736","-200","-200","-200","-200","-75.399475","-74.23992","-76.832756","-53.53423","-200","-85.62683","-200","-65.99019","-200","-93.67032","-200","-96.5033","-200","-71.35753"
"2022-06-28T07:10:19.393","-73.08011","-72.02358","-72.89381","-66.82401","-200","-80.25918","-75.3807","-74.22974","-200","-200","-82.202736","-200","-67.46865","-200","-200","-93.74085","-200","-96.54246","-200","-71.59707"
"2022-06-28T07:10:20.513","-73.118","-71.81031","-72.72312","-67.104065","-200","-80.16015","-75.40878","-200","-200","-200","-82.19284","-200","-67.19403","-200","-83.20944","-93.85567","-200","-96.57609","-200","-71.81959"
"2022-06-28T07:10:21.637","-72.87318","-200","-72.73488","-67.18717","-200","-80.025986","-200","-200","-76.83986","-53.63578","-82.18378","-85.68703","-67.30959","-66.30805","-200","-200","-200","-200","-200","-200"
"2022-06-28T07:10:22.744","-200","-200","-200","-200","-200","-200","-200","-74.17909","-76.7229","-53.73039","-200","-85.74277","-200","-66.6014","-200","-200","-200","-200","-200","-200"
"2022-06-28T07:10:23.868","-200","-72.106415","-72.7458","-200","-200","-80.14847","-75.25935","-74.13191","-200","-53.818764","-200","-200","-67.377235","-66.87305","-83.101585","-200","-200","-200","-200","-71.78679"
"2022-06-28T07:10:24.984","-72.91705","-71.90208","-72.555885","-67.433945","-200","-80.02248","-75.248344","-74.08784","-200","-200","-82.175446","-200","-67.47936","-200","-82.86182","-200","-200","-200","-200","-71.79509"
"2022-06-28T07:10:26.118","-72.958145","-200","-72.41742","-67.66318","-200","-79.904785","-75.279305","-200","-76.65395","-53.749756","-82.167755","-85.71217","-67.23352","-66.631165","-82.64136","-200","-200","-200","-89.594696","-71.916695"
"2022-06-28T07:10:27.225","-72.99671","-200","-72.24981","-67.87674","-200","-200","-200","-74.0845","-76.62849","-53.684982","-200","-85.68368","-200","-66.40582","-200","-200","-200","-200","-89.80975","-200"
"2022-06-28T07:10:28.343","-200","-71.7112","-200","-200","-200","-200","-75.26813","-74.081375","-76.566696","-53.62405","-200","-85.61812","-200","-200","-200","-94.00916","-200","-96.53639","-200","-72.14189"
"2022-06-28T07:10:29.468","-200","-71.68421","-72.42566","-67.57003","-200","-79.9084","-75.33556","-74.07843","-200","-200","-82.245544","-200","-67.33594","-200","-82.4379","-94.14973","-200","-200","-200","-71.95595"
"2022-06-28T07:10:30.603","-73.213806","-71.6959","-72.59108","-67.28281","-77.0","-79.91179","-75.36077","-200","-76.65678","-200","-82.3178","-200","-67.432274","-200","-82.63158","-94.27898","-94.18113","-200","-89.72469","-71.78068"
"2022-06-28T07:10:31.718","-73.41844","-200","-72.71164","-67.0132","-77.50012","-79.95114","-200","-74.07565","-76.741516","-53.60198","-200","-85.63261","-67.52309","-66.42896","-82.811485","-200","-94.2508","-200","-89.60114","-200"
"2022-06-28T07:10:32.834","-200","-200","-200","-200","-200","-200","-200","-74.10766","-76.82139","-53.581135","-200","-85.64621","-200","-66.45063","-200","-94.398254","-94.30986","-96.43668","-89.53095","-200"
"2022-06-28T07:10:33.957","-200","-71.96004","-200","-200","-200","-80.05897","-75.19934","-74.070076","-200","-53.66321","-82.185036","-85.69517","-67.57423","-66.693085","-82.779015","-94.33889","-200","-200","-200","-71.75365"
"2022-06-28T07:10:35.068","-73.196205","-72.209015","-72.75625","-67.12121","-200","-80.126175","-75.047485","-74.034454","-200","-200","-82.06101","-200","-67.622604","-200","-82.70974","-200","-200","-200","-200","-71.72807"
"2022-06-28T07:10:36.198","-72.985954","-200","-72.76452","-67.22302","-200","-80.18976","-74.939705","-200","-76.792946","-53.740993","-81.94487","-200","-67.66845","-66.92116","-82.64487","-200","-200","-200","-200","-71.70384"
"2022-06-28T07:10:37.308","-72.786705","-200","-200","-200","-200","-200","-200","-200","-76.76604","-53.814823","-200","-85.70595","-200","-66.92394","-200","-200","-200","-200","-200","-200"
"2022-06-28T07:10:38.428","-200","-72.201775","-200","-200","-200","-200","-74.97642","-74.033325","-76.8404","-53.788654","-200","-200","-200","-66.926575","-200","-94.4073","-200","-96.40988","-200","-71.55011"
"2022-06-28T07:10:39.555","-72.98977","-72.22886","-200","-66.97293","-200","-80.18344","-75.01115","-74.03226","-200","-200","-82.02095","-200","-67.74465","-200","-82.80609","-94.47104","-200","-96.444275","-200","-71.4361"
"2022-06-28T07:10:40.686","-73.18279","-72.254524","-72.872215","-66.73632","-200","-80.14477","-75.04406","-200","-76.91098","-200","-82.092514","-200","-67.817085","-200","-82.957756","-200","-94.36059","-200","-89.508415","-71.295975"
"2022-06-28T07:10:41.802","-72.9875","-200","-73.00712","-66.51209","-200","-80.14012","-200","-73.99965","-76.88172","-53.8585","-200","-85.750755","-67.88603","-67.13266","-83.100716","-200","-94.47355","-200","-89.44629","-200"
"2022-06-28T07:10:42.916","-200","-72.47498","-200","-200","-200","-200","-74.94457","-73.968575","-76.82229","-53.92508","-200","-85.75922","-200","-67.327965","-200","-94.4527","-200","-200","-200","-200"
"2022-06-28T07:10:44.054","-200","-72.68454","-200","-66.5934","-200","-200","-74.850006","-73.93892","-200","-53.988617","-81.98315","-200","-67.92066","-67.513336","-83.06261","-200","-200","-200","-200","-71.31786"
"2022-06-28T07:10:45.168","-72.80136","-72.88402","-73.00689","-66.67069","-200","-80.26204","-74.7284","-200","-200","-200","-81.87986","-200","-67.95371","-200","-82.992615","-200","-200","-200","-200","-71.33875"
