"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T10:32:05.860","-200","-71.0","-88.0","-82.0","-200","-90.0","-200","-200","-200","-200","-63.0","-63.0","-200","-200","-84.0","-200","-200","-200","-200","-76.0"
"2022-06-28T10:32:06.972","-200","-76.50137","-200","-86.001","-200","-200","-200","-200","-200","-200","-60.9995","-200","-82.0","-200","-200","-200","-200","-200","-200","-77.500374"
"2022-06-28T10:32:08.116","-87.0","-81.00466","-89.500374","-86.334274","-200","-200","-93.0","-200","-88.0","-84.0","-59.665222","-60.9995","-85.00075","-66.0","-200","-200","-200","-200","-200","-76.99983"
"2022-06-28T10:32:09.227","-84.9995","-200","-200","-200","-200","-200","-200","-200","-200","-90.001495","-200","-65.003","-86.00133","-68.0005","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:32:10.363","-83.66522","-200","-200","-200","-200","-200","-200","-200","-200","-200","-59.74906","-67.005745","-200","-68.000336","-87.50088","-200","-200","-200","-200","-75.24681"
"2022-06-28T10:32:11.473","-200","-82.00524","-200","-200","-200","-200","-200","-200","-200","-200","-59.3982","-200","-85.24969","-200","-200","-200","-200","-200","-200","-74.194305"
"2022-06-28T10:32:12.606","-83.9995","-82.40539","-200","-86.751434","-200","-200","-200","-200","-88.50012","-200","-59.1641","-200","-84.999","-68.00025","-200","-200","-200","-200","-200","-73.157196"
"2022-06-28T10:32:13.730","-82.9966","-200","-200","-87.20249","-200","-200","-200","-200","-85.33078","-87.99933","-200","-65.800995","-84.32945","-69.604996","-86.66656","-200","-200","-200","-200","-200"
"2022-06-28T10:32:14.840","-83.33202","-200","-200","-200","-200","-200","-200","-92.0","-85.498375","-200","-200","-64.66231","-200","-69.33627","-87.751816","-200","-200","-200","-200","-200"
"2022-06-28T10:32:15.967","-200","-80.83065","-200","-87.50345","-200","-200","-200","-200","-200","-200","-59.140507","-63.41681","-84.28208","-69.00036","-200","-95.0","-200","-200","-200","-72.84702"
"2022-06-28T10:32:17.076","-200","-79.70473","-89.66705","-87.574844","-200","-88.99975","-200","-200","-200","-200","-59.12279","-200","-84.62479","-200","-200","-200","-200","-200","-200","-73.622856"
"2022-06-28T10:32:18.204","-83.71564","-79.61587","-91.503494","-87.25018","-200","-200","-200","-90.99975","-200","-88.75081","-200","-63.112072","-85.00404","-71.26995","-89.205795","-200","-200","-200","-200","-200"
"2022-06-28T10:32:19.320","-83.87759","-200","-200","-200","-200","-200","-200","-90.99983","-87.2038","-88.8008","-200","-62.76238","-200","-72.13855","-90.51077","-200","-200","-200","-200","-200"
"2022-06-28T10:32:20.444","-84.56554","-79.209564","-200","-86.88497","-200","-90.334274","-200","-200","-200","-200","-59.670826","-62.48222","-200","-72.834435","-91.15625","-200","-200","-200","-200","-74.227066"
"2022-06-28T10:32:21.555","-200","-79.39115","-200","-86.998055","-200","-91.50275","-200","-200","-200","-200","-59.704212","-200","-85.61215","-200","-200","-200","-200","-200","-200","-74.102615"
"2022-06-28T10:32:22.680","-200","-79.539955","-200","-86.90574","-200","-200","-200","-200","-87.16968","-88.49929","-59.73157","-200","-200","-72.664764","-200","-200","-200","-200","-200","-74.00063"
"2022-06-28T10:32:23.811","-84.50818","-200","-91.4025","-86.99884","-200","-200","-200","-200","-87.14528","-87.85236","-200","-62.715096","-85.83301","-72.523125","-90.75828","-200","-200","-200","-200","-200"
"2022-06-28T10:32:24.924","-84.553665","-80.344826","-200","-200","-200","-200","-200","-200","-87.00087","-86.98834","-61.541107","-63.07966","-200","-73.19139","-90.335976","-200","-200","-200","-200","-200"
"2022-06-28T10:32:26.044","-200","-79.7658","-200","-86.9201","-200","-91.60249","-90.9995","-200","-200","-200","-61.340782","-63.23105","-85.421814","-200","-200","-200","-200","-200","-200","-73.74534"
"2022-06-28T10:32:27.161","-200","-79.56251","-200","-87.14648","-200","-91.669044","-91.666885","-200","-200","-86.76492","-61.609745","-200","-85.46739","-200","-200","-200","-200","-200","-200","-73.76541"
"2022-06-28T10:32:28.285","-84.59164","-200","-200","-87.205284","-200","-200","-200","-200","-86.32658","-86.484505","-62.050056","-63.06706","-85.50654","-73.17732","-90.70758","-200","-200","-200","-200","-74.00317"
"2022-06-28T10:32:29.394","-85.09683","-200","-200","-200","-200","-200","-200","-200","-85.68494","-85.97723","-200","-62.92463","-200","-73.0273","-91.01211","-200","-200","-200","-200","-200"
"2022-06-28T10:32:30.511","-200","-79.31704","-200","-86.86746","-200","-92.004196","-92.25118","-200","-200","-200","-62.371304","-62.605022","-200","-73.285126","-200","-200","-200","-200","-200","-74.76089"
"2022-06-28T10:32:31.630","-200","-79.29646","-90.83282","-86.4459","-200","-92.00367","-92.8026","-200","-200","-200","-62.287125","-200","-85.05821","-200","-200","-200","-200","-200","-200","-75.036"
"2022-06-28T10:32:32.764","-200","-79.40103","-90.56929","-86.36163","-200","-92.22799","-93.17051","-200","-85.89906","-85.298515","-62.561783","-200","-84.85973","-73.63593","-200","-200","-200","-200","-200","-75.4021"
"2022-06-28T10:32:33.877","-85.089714","-200","-89.74096","-200","-200","-200","-200","-200","-86.24797","-84.88081","-200","-62.567883","-200","-73.424034","-91.26632","-200","-200","-200","-200","-200"
"2022-06-28T10:32:34.995","-85.359146","-79.37766","-200","-200","-200","-200","-200","-200","-86.14959","-200","-62.69714","-62.35995","-200","-73.28947","-200","-200","-200","-200","-200","-75.14555"
"2022-06-28T10:32:36.126","-200","-79.30118","-200","-86.28604","-200","-200","-93.00221","-200","-200","-200","-62.92538","-62.284454","-84.13172","-200","-200","-200","-200","-200","-200","-75.081955"
"2022-06-28T10:32:37.241","-200","-79.2852","-89.6577","-86.16478","-200","-200","-200","-200","-200","-200","-62.929173","-200","-83.83265","-200","-200","-200","-200","-200","-200","-75.28979"
"2022-06-28T10:32:38.369","-85.33584","-200","-89.99667","-85.95312","-200","-200","-200","-90.749435","-86.065094","-85.110085","-200","-62.110233","-200","-73.008896","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:32:39.477","-85.37661","-200","-200","-200","-200","-200","-200","-200","-85.99171","-84.96469","-200","-61.799694","-200","-73.008446","-91.24532","-200","-200","-200","-200","-200"
"2022-06-28T10:32:40.595","-85.529495","-79.270706","-200","-85.906586","-200","-200","-200","-200","-85.927345","-200","-62.98145","-61.565384","-200","-72.9104","-200","-93.99975","-200","-200","-200","-74.86848"
"2022-06-28T10:32:41.717","-200","-79.403946","-89.442024","-85.863976","-200","-91.59635","-93.12802","-200","-200","-85.35638","-63.452316","-200","-83.73091","-200","-200","-200","-200","-200","-200","-74.63081"
"2022-06-28T10:32:42.838","-200","-79.52596","-89.319336","-85.8248","-200","-200","-200","-200","-200","-85.27312","-63.70388","-61.82081","-83.37388","-72.491615","-200","-200","-200","-200","-200","-74.46017"
"2022-06-28T10:32:43.946","-200","-200","-200","-200","-200","-200","-200","-200","-200","-85.43204","-200","-62.28239","-83.45652","-72.51467","-91.3008","-200","-200","-200","-200","-200"
"2022-06-28T10:32:45.071","-85.66665","-200","-200","-200","-200","-200","-200","-200","-86.177345","-85.68563","-63.892204","-62.489193","-200","-72.8428","-91.142265","-200","-200","-200","-200","-74.66603"
"2022-06-28T10:32:46.184","-200","-79.27538","-200","-86.00782","-200","-200","-200","-200","-200","-200","-63.939236","-62.935413","-82.99488","-200","-200","-200","-200","-200","-200","-74.549164"
"2022-06-28T10:32:47.308","-200","-79.04413","-200","-86.21976","-200","-200","-200","-200","-85.9339","-85.96753","-64.06529","-200","-82.57213","-200","-200","-200","-200","-200","-200","-74.4834"
"2022-06-28T10:32:48.426","-85.5252","-200","-200","-86.499","-200","-200","-200","-200","-85.71551","-86.27412","-200","-62.97926","-82.13808","-72.72211","-200","-200","-200","-200","-200","-74.38112"
"2022-06-28T10:32:49.530","-85.447685","-200","-200","-200","-200","-200","-200","-200","-85.518425","-200","-200","-63.140156","-200","-72.527626","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:32:50.649","-200","-79.5517","-89.53066","-86.479034","-200","-91.63369","-200","-200","-200","-200","-64.462845","-62.862125","-200","-72.30643","-200","-200","-200","-200","-200","-74.36587"
"2022-06-28T10:32:51.771","-200","-79.52898","-89.638664","-86.77189","-200","-200","-93.226006","-200","-200","-200","-64.60058","-200","-82.307365","-200","-200","-200","-200","-200","-200","-74.19586"
"2022-06-28T10:32:52.900","-85.81637","-79.54783","-89.73247","-87.0082","-200","-200","-93.304504","-200","-85.79701","-86.1631","-64.7675","-62.677643","-82.506584","-72.0998","-200","-200","-200","-200","-200","-74.0746"
"2022-06-28T10:32:54.017","-86.15399","-200","-89.81473","-200","-200","-200","-200","-91.8027","-86.197464","-86.014435","-200","-62.5415","-82.8152","-71.944244","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:32:55.140","-86.01097","-79.3318","-200","-200","-200","-200","-200","-92.00316","-86.14118","-200","-200","-62.702732","-200","-71.90929","-91.06813","-200","-200","-200","-200","-200"
"2022-06-28T10:32:56.254","-200","-79.20538","-89.76472","-87.0079","-200","-200","-200","-200","-200","-200","-64.961205","-62.85471","-82.702545","-200","-200","-200","-200","-200","-200","-73.96078"
"2022-06-28T10:32:57.372","-85.835144","-79.049706","-89.83671","-86.899124","-200","-200","-200","-200","-86.22547","-85.92309","-65.14342","-200","-82.40262","-200","-200","-200","-200","-200","-200","-73.99836"
"2022-06-28T10:32:58.491","-85.79969","-200","-89.79026","-86.72586","-200","-200","-200","-200","-86.040245","-86.14564","-200","-62.721245","-82.425285","-71.73175","-90.57287","-200","-200","-200","-200","-200"
"2022-06-28T10:32:59.620","-85.68439","-200","-200","-200","-200","-200","-200","-92.290276","-85.91118","-86.266815","-200","-62.561043","-200","-71.493675","-90.13153","-200","-200","-200","-200","-200"
"2022-06-28T10:33:00.747","-85.53695","-79.047905","-200","-86.56223","-200","-90.81405","-200","-200","-200","-200","-65.13834","-62.509083","-200","-71.33809","-89.84665","-200","-200","-200","-200","-73.85696"
"2022-06-28T10:33:01.872","-200","-79.01084","-89.64225","-86.54315","-200","-90.19804","-200","-200","-200","-200","-65.23743","-200","-82.3355","-200","-200","-200","-200","-200","-200","-73.72341"
"2022-06-28T10:33:03.005","-85.86649","-200","-89.86372","-86.49178","-200","-89.81596","-92.99886","-200","-86.32668","-86.214645","-65.43296","-62.590492","-82.431854","-71.22482","-89.53652","-200","-200","-200","-200","-73.56313"
"2022-06-28T10:33:04.106","-86.06127","-200","-200","-200","-200","-200","-200","-92.50586","-86.39365","-85.96596","-200","-62.57153","-82.310486","-71.28391","-89.153496","-200","-200","-200","-200","-200"
"2022-06-28T10:33:05.237","-86.355156","-78.87197","-200","-200","-200","-200","-200","-92.67375","-86.53407","-200","-200","-62.458717","-200","-71.143906","-88.80428","-200","-200","-200","-200","-73.64425"
"2022-06-28T10:33:06.345","-200","-78.80845","-200","-86.44303","-200","-200","-92.91388","-200","-200","-200","-65.51841","-200","-82.265114","-200","-200","-200","-200","-200","-200","-73.81928"
"2022-06-28T10:33:07.466","-200","-78.88139","-89.87038","-86.30034","-200","-89.690834","-92.60533","-200","-86.286156","-85.967285","-65.436104","-200","-82.15432","-200","-200","-200","-200","-200","-200","-73.82509"
"2022-06-28T10:33:08.587","-86.414635","-200","-89.87647","-200","-200","-200","-200","-92.70684","-86.57172","-86.08235","-200","-62.226837","-82.149185","-71.299866","-88.95448","-200","-200","-200","-200","-200"
"2022-06-28T10:33:09.695","-86.3646","-200","-200","-200","-200","-200","-200","-200","-86.62337","-86.15334","-200","-62.036163","-200","-71.258804","-89.13793","-200","-200","-200","-200","-200"
"2022-06-28T10:33:10.810","-200","-78.95063","-89.88207","-200","-200","-200","-200","-200","-200","-200","-65.26151","-61.884163","-200","-71.21967","-89.17572","-200","-200","-200","-200","-73.89378"
"2022-06-28T10:33:11.924","-200","-79.04856","-90.01875","-86.22768","-200","-200","-92.56084","-200","-200","-200","-65.41119","-200","-82.046265","-200","-200","-200","-200","-200","-200","-74.11471"
"2022-06-28T10:33:13.047","-86.55972","-79.04703","-200","-86.37604","-200","-200","-92.728905","-92.82645","-86.70742","-86.00315","-65.24296","-61.85784","-82.04478","-71.36605","-89.25317","-200","-200","-200","-200","-74.23368"
"2022-06-28T10:33:14.157","-86.47286","-200","-200","-200","-200","-200","-200","-92.84121","-86.752174","-86.3567","-200","-61.86202","-200","-71.355","-89.28393","-200","-200","-200","-200","-200"
"2022-06-28T10:33:15.281","-200","-78.92121","-200","-200","-200","-200","-200","-200","-86.76058","-200","-65.143654","-61.83701","-200","-71.37421","-89.312584","-200","-200","-200","-200","-74.01535"
"2022-06-28T10:33:16.398","-200","-78.83176","-89.890594","-86.15018","-200","-200","-200","-200","-200","-200","-65.048775","-200","-82.13812","-200","-200","-200","-200","-200","-200","-74.07443"
"2022-06-28T10:33:17.518","-200","-78.71611","-89.81273","-86.20601","-200","-200","-92.6816","-200","-86.70198","-86.20585","-65.047325","-200","-82.10274","-71.33383","-200","-200","-200","-200","-200","-74.30728"
"2022-06-28T10:33:18.622","-200","-200","-200","-200","-200","-200","-200","-200","-86.7444","-86.131","-200","-61.813015","-82.19145","-71.32415","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:33:19.748","-200","-78.635254","-200","-200","-200","-89.5811","-200","-200","-86.75261","-86.29307","-200","-61.648273","-200","-71.286194","-89.45617","-200","-200","-200","-200","-200"
"2022-06-28T10:33:20.867","-200","-78.64597","-89.74019","-86.0808","-200","-89.48405","-92.51699","-200","-200","-200","-64.92842","-61.546005","-200","-71.27808","-89.59063","-200","-200","-200","-200","-74.38541"
"2022-06-28T10:33:21.978","-200","-78.88834","-89.672424","-85.93153","-200","-88.98961","-92.42858","-200","-200","-200","-64.872475","-200","-82.12531","-200","-200","-200","-200","-200","-200","-74.40302"
"2022-06-28T10:33:23.105","-86.35726","-200","-89.72279","-86.16562","-200","-200","-92.34927","-92.93256","-86.79201","-86.57763","-200","-61.558598","-82.21089","-71.410446","-89.79088","-200","-200","-200","-200","-74.675"
"2022-06-28T10:33:24.225","-86.21486","-200","-200","-200","-200","-200","-200","-93.15803","-86.82956","-86.84812","-200","-61.598186","-82.32221","-71.454544","-89.8346","-200","-200","-200","-200","-200"
"2022-06-28T10:33:25.338","-86.14372","-78.80554","-200","-86.1322","-200","-89.10122","-200","-93.42275","-86.83478","-200","-64.9908","-61.663525","-200","-71.66177","-89.98192","-200","-200","-200","-200","-74.57199"
"2022-06-28T10:33:26.453","-200","-78.66936","-89.733055","-86.35517","-200","-89.36107","-92.2777","-200","-200","-200","-64.99106","-200","-82.54497","-200","-200","-200","-200","-200","-200","-74.4729"
"2022-06-28T10:33:27.581","-86.01284","-78.59453","-89.67038","-86.26112","-200","-89.54601","-92.26359","-200","-86.7794","-86.88451","-64.99131","-200","-82.50068","-71.64377","-200","-200","-200","-200","-200","-74.542305"
"2022-06-28T10:33:28.688","-86.04353","-200","-89.68204","-86.11518","-200","-200","-92.29954","-200","-86.60736","-86.79483","-200","-61.645638","-82.51483","-71.68033","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:33:29.800","-86.01158","-200","-200","-200","-200","-200","-200","-200","-86.41324","-86.80111","-200","-61.60166","-200","-71.63542","-89.94792","-200","-200","-200","-200","-200"
"2022-06-28T10:33:30.916","-200","-78.43934","-200","-86.029625","-200","-200","-92.19146","-200","-200","-200","-64.88059","-61.82423","-82.528435","-71.75109","-89.91576","-200","-200","-200","-200","-74.39153"
"2022-06-28T10:33:32.026","-200","-78.4822","-200","-86.00162","-200","-89.519356","-92.18278","-200","-200","-200","-64.9388","-200","-82.347336","-200","-200","-200","-200","-200","-200","-74.27315"
"2022-06-28T10:33:33.155","-86.04141","-78.496284","-89.72767","-86.05549","-200","-200","-92.13093","-200","-86.198166","-86.89766","-64.94046","-61.69739","-82.50259","-71.705055","-200","-200","-200","-200","-200","-74.2124"
"2022-06-28T10:33:34.256","-86.010414","-200","-200","-200","-200","-200","-200","-200","-86.020485","-86.99001","-200","-61.574825","-200","-71.738846","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:33:35.374","-86.03949","-78.34812","-200","-200","-200","-89.63595","-200","-200","-85.90655","-200","-64.94206","-61.559937","-200","-72.13417","-89.95184","-200","-200","-200","-200","-74.33928"
"2022-06-28T10:33:36.487","-200","-78.2052","-200","-86.10745","-200","-89.78849","-92.21027","-200","-200","-200","-64.916885","-200","-82.46171","-200","-200","-200","-200","-200","-200","-74.461815"
"2022-06-28T10:33:37.610","-85.922295","-78.06725","-200","-86.18411","-200","-89.8416","-92.16043","-200","-85.909164","-200","-64.91909","-200","-82.4223","-200","-200","-200","-200","-200","-200","-74.50195"
"2022-06-28T10:33:38.724","-85.80985","-200","-200","-86.25815","-200","-200","-92.154015","-93.525116","-85.88394","-200","-200","-61.57126","-82.41102","-72.38796","-90.084145","-200","-200","-200","-200","-200"
"2022-06-28T10:33:39.838","-85.95694","-200","-200","-200","-200","-200","-200","-200","-85.859665","-200","-64.84234","-61.428886","-200","-72.48026","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:33:40.958","-200","-78.0129","-200","-200","-200","-200","-200","-200","-200","-200","-64.76817","-61.29103","-200","-200","-200","-200","-200","-200","-200","-74.41124"
"2022-06-28T10:33:42.064","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-64.64466","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:33:43.192","-86.098305","-77.82992","-89.83871","-86.40797","-200","-200","-92.18696","-200","-85.83628","-87.16658","-200","-61.334164","-82.32062","-72.79817","-200","-200","-200","-200","-200","-74.32349"
"2022-06-28T10:33:44.299","-200","-200","-200","-200","-200","-200","-200","-93.67704","-85.89461","-87.36484","-200","-61.42615","-200","-73.03042","-90.08144","-200","-200","-200","-200","-200"
"2022-06-28T10:33:45.420","-86.28976","-77.86023","-200","-200","-200","-200","-200","-200","-85.95087","-200","-64.782425","-61.415516","-200","-73.104935","-90.205215","-200","-200","-200","-200","-74.64743"
"2022-06-28T10:33:46.539","-200","-77.81238","-89.84408","-86.501015","-200","-200","-200","-200","-200","-200","-65.22241","-200","-200","-200","-200","-200","-200","-200","-200","-75.18964"
"2022-06-28T10:33:47.657","-86.33673","-77.89384","-89.88186","-86.436676","-200","-200","-200","-200","-85.92567","-87.15372","-65.496086","-200","-82.49623","-73.10232","-200","-200","-200","-200","-200","-75.412"
"2022-06-28T10:33:48.771","-200","-200","-200","-86.45107","-200","-200","-200","-200","-85.82246","-86.979324","-200","-61.4052","-82.45719","-73.07496","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:33:49.900","-86.30037","-77.97271","-200","-200","-200","-200","-200","-200","-85.7749","-86.78368","-200","-61.469284","-200","-73.0978","-90.19884","-200","-200","-200","-200","-200"
"2022-06-28T10:33:51.011","-200","-78.12483","-200","-86.41422","-200","-200","-200","-200","-200","-200","-65.38261","-61.531483","-200","-73.218285","-200","-200","-200","-200","-200","-75.70278"
"2022-06-28T10:33:52.125","-200","-78.07151","-89.82142","-86.60568","-200","-89.636055","-92.217804","-200","-85.80664","-86.67873","-65.37301","-200","-82.44535","-200","-200","-200","-200","-200","-200","-75.56047"
"2022-06-28T10:33:53.243","-86.31923","-200","-200","-86.61558","-200","-200","-92.24676","-200","-85.86307","-86.550224","-65.3637","-61.51848","-82.27955","-73.212944","-90.22337","-200","-200","-200","-200","-200"
"2022-06-28T10:33:54.357","-86.337425","-200","-200","-200","-200","-200","-200","-200","-85.86657","-86.48085","-200","-61.50585","-200","-73.207756","-90.24681","-200","-200","-200","-200","-200"
"2022-06-28T10:33:55.492","-86.35499","-77.92","-200","-86.700035","-200","-89.44512","-200","-200","-85.920746","-200","-65.354675","-61.493584","-200","-73.20272","-90.26923","-200","-200","-200","-200","-75.447266"
"2022-06-28T10:33:56.593","-200","-78.24468","-89.763885","-86.73231","-200","-200","-92.273994","-200","-200","-200","-65.24712","-200","-82.14463","-200","-200","-200","-200","-200","-200","-75.43622"
"2022-06-28T10:33:57.712","-86.37195","-78.584404","-89.67796","-86.73892","-200","-200","-92.228935","-200","-85.87227","-200","-65.16731","-200","-200","-73.22198","-200","-200","-200","-200","-200","-75.45007"
"2022-06-28T10:33:58.821","-86.44052","-200","-89.62658","-200","-200","-200","-200","-200","-85.85038","-86.46789","-200","-61.77153","-81.9886","-73.2407","-200","-200","-200","-200","-200","-200"
"2022-06-28T10:33:59.939","-200","-78.471725","-200","-200","-200","-200","-200","-200","-85.85411","-86.348495","-65.11429","-61.7289","-200","-73.23493","-90.32008","-200","-200","-200","-200","-200"
"2022-06-28T10:34:01.050","-200","-78.36233","-200","-86.84365","-200","-89.38729","-92.29026","-200","-200","-200","-65.03844","-61.687454","-81.98889","-200","-200","-200","-200","-200","-200","-75.39014"
