"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020"
"2022-06-28T03:12:07.644","-200","-200","-200","-200","-200","-200","-93.0","-94.0","-92.0","-200","-200","-200","-200","-200","-85.0","-73.0","-200","-61.0","-200","-200"
"2022-06-28T03:12:08.748","-90.0","-200","-92.0","-91.0","-200","-200","-86.498375","-90.49912","-200","-200","-200","-200","-200","-200","-200","-200","-200","-63.0005","-200","-200"
"2022-06-28T03:12:09.858","-200","-200","-200","-89.499626","-200","-88.0","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-73.0","-200"
"2022-06-28T03:12:11.007","-200","-200","-93.500374","-200","-200","-88.0","-200","-200","-90.499626","-200","-200","-200","-200","-200","-82.9995","-73.0","-71.0","-200","-76.00075","-200"
"2022-06-28T03:12:12.126","-200","-200","-200","-200","-200","-200","-85.9985","-88.66456","-200","-200","-200","-200","-200","-200","-81.66522","-76.66972","-71.0","-60.665054","-200","-200"
"2022-06-28T03:12:13.249","-91.500374","-200","-200","-200","-200","-200","-85.99887","-87.74682","-200","-200","-200","-200","-200","-200","-80.99775","-79.75768","-200","-59.74719","-200","-200"
"2022-06-28T03:12:14.365","-200","-200","-200","-200","-200","-86.66556","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-58.995506","-78.33578","-200"
"2022-06-28T03:12:15.493","-200","-200","-92.66622","-91.001","-200","-86.99975","-200","-200","-89.665726","-200","-200","-200","-200","-200","-79.7946","-77.8003","-67.9975","-200","-77.24994","-200"
"2022-06-28T03:12:16.607","-200","-200","-200","-200","-200","-200","-85.7985","-87.39641","-89.74944","-200","-200","-200","-200","-200","-78.991844","-76.4943","-68.499","-58.82883","-200","-200"
"2022-06-28T03:12:17.726","-200","-200","-200","-200","-200","-200","-84.82766","-86.49289","-200","-200","-200","-200","-200","-200","-78.56167","-75.560524","-200","-58.42209","-200","-200"
"2022-06-28T03:12:18.858","-200","-200","-93.00025","-200","-200","-88.60459","-84.13352","-86.27824","-200","-200","-200","-200","-200","-200","-200","-74.85939","-200","-58.99932","-78.804596","-200"
"2022-06-28T03:12:19.970","-200","-200","-200","-89.748566","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-67.395905","-200","-79.3396","-200"
"2022-06-28T03:12:21.091","-200","-200","-200","-89.397804","-200","-89.00565","-200","-200","-200","-200","-200","-200","-200","-200","-200","-74.313354","-200","-200","-200","-200"
"2022-06-28T03:12:22.216","-200","-200","-200","-200","-200","-200","-200","-86.62143","-200","-200","-200","-200","-200","-200","-78.99521","-73.57164","-200","-200","-200","-200"
"2022-06-28T03:12:23.337","-89.33178","-200","-200","-200","-200","-200","-83.36014","-200","-200","-200","-200","-200","-200","-200","-79.33285","-200","-200","-59.3365","-200","-200"
"2022-06-28T03:12:24.454","-200","-200","-200","-88.99634","-200","-88.57349","-82.757835","-200","-200","-200","-200","-200","-200","-200","-200","-200","-69.84106","-59.60663","-79.72212","-200"
"2022-06-28T03:12:25.565","-200","-200","-200","-200","-200","-200","-200","-200","-90.000305","-200","-200","-200","-200","-200","-79.80619","-200","-70.43905","-200","-80.00934","-200"
"2022-06-28T03:12:26.683","-200","-200","-200","-200","-200","-200","-200","-87.00107","-90.50254","-200","-200","-200","-200","-200","-79.54664","-74.07372","-71.140236","-59.27304","-200","-200"
"2022-06-28T03:12:27.805","-200","-200","-200","-200","-200","-200","-200","-200","-90.574066","-200","-200","-200","-200","-200","-200","-73.81221","-200","-59.24981","-200","-200"
"2022-06-28T03:12:28.918","-200","-200","-200","-89.572","-200","-88.75336","-200","-87.30522","-200","-200","-200","-200","-200","-200","-200","-200","-200","-59.151283","-80.233025","-200"
"2022-06-28T03:12:30.040","-88.99825","-200","-200","-200","-200","-89.005806","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-70.33791","-200","-80.10797","-200"
"2022-06-28T03:12:31.164","-200","-200","-200","-200","-200","-89.20805","-82.478134","-200","-200","-200","-200","-200","-200","-200","-79.92554","-73.905846","-69.289444","-59.434174","-79.54303","-200"
"2022-06-28T03:12:32.289","-200","-200","-200","-200","-200","-200","-82.248924","-200","-90.2495","-200","-200","-200","-200","-200","-80.24674","-73.839264","-70.37259","-59.748775","-200","-200"
"2022-06-28T03:12:33.404","-88.798004","-200","-200","-89.75206","-200","-89.373795","-82.14266","-200","-200","-200","-200","-200","-200","-200","-80.59612","-73.85034","-200","-59.959778","-79.241585","-200"
"2022-06-28T03:12:34.523","-88.32954","-200","-200","-200","-89.0","-88.831505","-200","-87.461975","-200","-200","-200","-200","-200","-200","-200","-200","-69.83041","-200","-79.774376","-200"
"2022-06-28T03:12:35.645","-200","-200","-200","-89.55519","-200","-89.160126","-200","-200","-90.10909","-200","-200","-200","-200","-200","-80.89957","-73.60046","-69.37077","-200","-79.42345","-200"
"2022-06-28T03:12:36.754","-200","-200","-200","-200","-200","-200","-82.36792","-88.1884","-200","-200","-200","-200","-200","-200","-81.29548","-73.809135","-70.29906","-60.023632","-200","-200"
"2022-06-28T03:12:37.871","-200","-200","-200","-200","-200","-200","-82.12037","-87.85821","-200","-200","-200","-200","-200","-200","-82.01396","-73.76198","-200","-60.255367","-200","-200"
"2022-06-28T03:12:38.982","-200","-200","-200","-89.29604","-200","-200","-200","-87.648125","-200","-200","-200","-200","-200","-200","-200","-200","-200","-60.463253","-78.91194","-200"
"2022-06-28T03:12:40.093","-200","-200","-200","-89.36115","-200","-89.14835","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-70.07174","-200","-79.11236","-200"
"2022-06-28T03:12:41.216","-200","-200","-200","-89.84091","-200","-200","-200","-200","-90.09803","-200","-200","-200","-200","-200","-82.65421","-74.052765","-69.93729","-60.491726","-79.16685","-200"
"2022-06-28T03:12:42.322","-88.71351","-200","-200","-200","-200","-200","-81.698654","-88.15469","-200","-200","-200","-200","-200","-200","-83.22856","-74.42127","-200","-60.51756","-200","-200"
"2022-06-28T03:12:43.473","-89.254","-200","-200","-200","-90.00025","-89.20704","-81.32881","-88.53405","-200","-200","-200","-200","-200","-200","-83.64079","-74.60315","-200","-60.54111","-79.15713","-200"
"2022-06-28T03:12:44.571","-200","-200","-200","-90.16879","-200","-89.1287","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-78.87083","-200"
"2022-06-28T03:12:45.685","-200","-200","-200","-200","-200","-89.1208","-200","-200","-89.99647","-200","-200","-200","-200","-200","-83.70987","-200","-200","-200","-78.61246","-200"
"2022-06-28T03:12:46.803","-200","-200","-200","-200","-200","-200","-200","-88.378494","-89.82661","-200","-200","-200","-200","-200","-83.72403","-74.52489","-69.57282","-60.56268","-200","-200"
"2022-06-28T03:12:47.919","-89.78729","-200","-200","-200","-200","-200","-81.0017","-88.70611","-200","-200","-200","-200","-200","-200","-83.737","-74.50022","-200","-60.537163","-200","-200"
"2022-06-28T03:12:49.041","-200","-200","-200","-200","-92.33544","-89.34687","-80.71021","-88.88897","-200","-200","-200","-200","-200","-200","-200","-200","-69.59772","-60.513615","-78.58133","-200"
"2022-06-28T03:12:50.147","-200","-200","-200","-200","-200","-89.771736","-200","-200","-89.84028","-200","-200","-200","-200","-200","-200","-200","-69.62005","-200","-78.455315","-200"
"2022-06-28T03:12:51.260","-200","-200","-200","-200","-200","-200","-80.61527","-200","-89.92552","-200","-200","-200","-200","-200","-83.61289","-74.8403","-69.374985","-200","-200","-200"
"2022-06-28T03:12:52.385","-200","-200","-200","-200","-200","-200","-81.00699","-88.682686","-89.723946","-200","-200","-200","-200","-200","-83.76137","-74.67196","-69.45757","-60.49181","-200","-200"
"2022-06-28T03:12:53.492","-200","-200","-200","-200","-200","-89.465576","-200","-88.64799","-200","-200","-200","-200","-200","-200","-200","-74.64343","-200","-60.471554","-200","-200"
"2022-06-28T03:12:54.624","-89.910286","-200","-200","-200","-200","-89.238625","-200","-88.71399","-200","-200","-200","-200","-200","-200","-200","-200","-69.38642","-200","-78.24592","-200"
"2022-06-28T03:12:55.740","-200","-200","-200","-200","-200","-89.47106","-200","-200","-89.417366","-200","-200","-200","-200","-200","-83.7715","-74.57575","-69.509254","-200","-78.00804","-200"
"2022-06-28T03:12:56.868","-200","-200","-200","-200","-200","-200","-80.90499","-200","-89.20759","-200","-200","-200","-200","-200","-200","-74.512695","-70.347725","-60.332634","-200","-200"
"2022-06-28T03:12:57.991","-200","-200","-200","-200","-200","-200","-200","-88.63343","-200","-200","-200","-200","-200","-200","-83.78091","-74.375916","-200","-60.35862","-200","-200"
"2022-06-28T03:12:59.098","-200","-200","-200","-200","-200","-89.30792","-200","-88.423325","-200","-200","-200","-200","-200","-200","-200","-200","-200","-60.382954","-77.832344","-200"
"2022-06-28T03:13:00.225","-200","-200","-92.599","-200","-200","-88.88585","-200","-200","-89.31205","-200","-200","-200","-200","-200","-200","-200","-70.20097","-200","-77.754555","-200"
"2022-06-28T03:13:01.344","-200","-200","-92.331276","-200","-200","-88.54017","-80.95845","-200","-89.35024","-200","-200","-200","-200","-200","-83.70964","-74.28577","-70.192444","-60.29474","-77.641106","-200"
"2022-06-28T03:13:02.465","-200","-200","-200","-200","-200","-200","-81.0074","-88.31709","-89.43775","-200","-200","-200","-200","-200","-83.56519","-74.275185","-70.10215","-60.13943","-200","-200"
"2022-06-28T03:13:03.591","-200","-200","-200","-90.00938","-200","-200","-81.007065","-88.04891","-200","-200","-200","-200","-200","-200","-200","-74.22907","-200","-60.0284","-77.735504","-200"
