"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T11:01:42.764","-200","-200","-72.0","-200","-200","-200","-71.0","-69.0","-200","-77.0","-88.0","-200","-200","-200","-91.0","-76.0","-92.0","-200","-79.0","-200","-200","-80.0","1.946486","2.8909986","9.163807","0.01844813","-0.007493281","-0.0064955335","-74.21","-26.900002","-46.89"
"2022-06-30T11:01:43.892","-64.0","-200","-200","-200","-60.0","-76.0","-70.49988","-200","-70.0","-76.49988","-88.0","-200","-84.0","-200","-85.99875","-200","-91.49988","-200","-79.0","-200","-200","-80.50012","1.899799","2.96881","8.991425","-0.023701575","0.05114978","0.02526946","-71.18","-26.04","-45.35"
"2022-06-30T11:01:45.024","-66.0005","-82.0","-200","-65.0","-60.0","-77.500374","-69.66589","-72.50088","-70.50012","-76.333115","-88.0","-200","-84.50012","-82.0","-200","-200","-91.333115","-200","-200","-200","-93.0","-200","2.2337902","2.7688942","9.137471","0.11863003","0.09818641","0.06253224","-72.21","-24.5","-45.16"
"2022-06-30T11:01:46.167","-66.33395","-82.0","-70.99975","-65.0","-60.0","-78.00066","-200","-69.998505","-70.333275","-200","-200","-200","-83.999664","-82.50012","-200","-80.50112","-200","-83.0","-200","-200","-92.49988","-81.33411","2.3570917","2.8000188","9.898827","0.04288274","0.21913773","0.059477914","-73.75","-26.18","-41.74"
"2022-06-30T11:01:47.285","-200","-200","-70.66622","-66.66805","-200","-200","-71.502625","-68.7467","-200","-77.001","-88.50088","-200","-200","-83.33411","-82.663055","-83.67005","-200","-82.49988","-76.99834","-200","-200","-82.25218","1.9692309","3.0885203","9.096769","0.011728611","0.3657454","-0.012604185","-75.1","-26.54","-41.11"
"2022-06-30T11:01:48.407","-68.253815","-200","-200","-200","-200","-75.24569","-71.4018","-200","-71.75243","-77.402","-88.8016","-200","-200","-200","-80.49351","-200","-200","-200","-75.997","-200","-200","-83.40519","2.6767175","3.0119057","9.072827","-0.035308015","-0.038036544","0.009386963","-74.64","-25.809998","-40.01"
"2022-06-30T11:01:49.535","-68.604095","-200","-200","-67.75293","-59.74956","-73.190414","-71.1671","-67.79451","-72.00269","-78.171844","-88.834816","-200","-83.74931","-83.751305","-79.59211","-200","-200","-200","-200","-200","-91.999504","-200","2.8538885","3.0131028","8.793902","-0.059131756","-0.028873567","-0.032151874","-75.33","-26.27","-39.7"
"2022-06-30T11:01:50.653","-70.51211","-80.66556","-69.9985","-69.00609","-59.3986","-71.8191","-200","-66.656906","-71.33253","-200","-200","-200","-85.805595","-85.60659","-200","-200","-200","-85.002","-200","-200","-92.5005","-200","7.9391727","0.9995792","5.685032","0.7203323","0.2142508","2.6807005","-71.7","-12.450001","-55.25"
"2022-06-30T11:01:51.771","-200","-80.74931","-69.9988","-70.00964","-59.499294","-200","-200","-66.85002","-200","-78.4347","-89.577484","-200","-200","-86.34218","-81.16727","-81.74918","-200","-200","-75.596405","-200","-200","-84.007065","3.6774938","2.134431","9.623494","-0.117163956","-0.0704124","0.20608558","-61.15","-0.83000183","-54.26"
"2022-06-30T11:01:52.889","-200","-200","-71.50587","-200","-200","-200","-71.43064","-200","-200","-78.37989","-90.5134","-200","-200","-200","-80.4243","-80.7965","-200","-85.001495","-76.16627","-200","-200","-85.443886","3.8271315","2.15957","9.227253","-0.4079358","-0.22129612","0.01488475","-64.32","1.4599991","-53.41"
"2022-06-30T11:01:54.008","-71.73253","-200","-200","-200","-59.57129","-71.55754","-70.99807","-200","-72.86634","-79.12377","-200","-200","-87.512436","-200","-200","-200","-200","-200","-76.28615","-200","-200","-84.88355","4.343082","2.8754363","8.246828","0.16200146","0.025493443","-0.0651386","-66.24","-1.2400017","-52.18"
"2022-06-30T11:01:55.133","-73.02716","-200","-200","-70.15204","-59.247074","-71.99161","-71.56012","-66.868935","-73.38756","-200","-200","-200","-88.30146","-200","-200","-200","-92.75231","-84.3994","-200","-200","-92.1995","-200","3.8726213","2.7581203","8.599973","0.005619958","-0.010547607","-0.03154101","-66.26","-1.8199997","-51.57"
"2022-06-30T11:01:56.262","-73.92304","-200","-72.00827","-70.51114","-58.99458","-74.80171","-200","-66.77129","-200","-200","-200","-200","-88.26345","-86.43676","-200","-80.16086","-200","-83.997665","-75.99789","-200","-91.99867","-85.009","3.9133227","2.8646624","8.568848","-0.03469715","-0.05269731","-0.021767164","-64.58","-1.7400017","-51.59"
"2022-06-30T11:01:57.384","-200","-200","-71.75504","-70.7908","-200","-200","-72.51751","-66.59165","-200","-79.719734","-90.56808","-200","-200","-86.50778","-79.61426","-79.706375","-200","-200","-75.77339","-200","-91.99886","-85.00809","4.047398","2.681506","8.623915","-0.019425515","-0.032538757","0.01488475","-66.41","-1.5400009","-51.25"
"2022-06-30T11:01:58.496","-74.13369","-200","-200","-200","-200","-74.01047","-72.65463","-200","-74.35531","-80.20812","-200","-200","-200","-200","-79.20814","-200","-91.9996","-200","-75.79637","-200","-200","-84.63737","4.1802764","2.542642","8.643068","0.045937065","-0.05758423","0.008165233","-66.54","-0.5400009","-51.23"
"2022-06-30T11:01:59.624","-74.12132","-200","-200","-71.014854","-59.603645","-73.17706","-72.68401","-66.72192","-74.82637","-81.21139","-90.51046","-200","-88.00912","-200","-78.88277","-200","-90.995094","-200","-200","-200","-91.620735","-200","3.3997664","2.5605986","8.972271","-0.049357913","-0.13333152","-0.28382835","-65.74","1.0900002","-51.68"
"2022-06-30T11:02:00.746","-73.515434","-80.1978","-70.996","-71.568436","-59.547813","-72.22611","-200","-66.57542","-75.397385","-200","-200","-200","-87.5011","-85.88889","-200","-79.49122","-90.42066","-84.141785","-200","-200","-91.326256","-200","4.805163","1.3467385","9.461885","-0.5117829","-0.40883175","-1.754181","-79.2","-26.870003","-44.02"
"2022-06-30T11:02:01.870","-200","-79.82983","-71.19925","-71.17975","-59.756447","-200","-200","-66.37238","-200","-81.43123","-200","-200","-200","-86.30584","-78.9861","-80.78442","-200","-200","-75.81521","-200","-91.090324","-84.15774","4.361038","2.1164744","8.005013","0.12107349","0.15255341","0.08391252","-83.8","-28.580002","-36.05"
"2022-06-30T11:02:02.985","-73.2383","-200","-70.62586","-200","-200","-200","-72.393585","-200","-200","-81.54654","-200","-200","-200","-200","-78.4768","-79.79208","-90.49371","-200","-76.341415","-200","-200","-84.46064","4.9296613","1.7345991","8.282741","0.051434852","0.048706323","0.22441153","-91.19","-25.669998","-28.75"
"2022-06-30T11:02:04.113","-73.07378","-200","-200","-200","-59.46031","-73.23313","-72.438156","-200","-75.53374","-81.64669","-91.0182","-200","-87.54724","-200","-78.202705","-200","-90.2135","-200","-200","-200","-91.08197","-84.64729","5.0421886","1.8363527","8.22528","0.13390166","-0.031317025","-0.059640806","-90.43","-25.489998","-29.23"
"2022-06-30T11:02:05.239","-72.930885","-79.27916","-70.65769","-70.85024","-59.058964","-72.99548","-72.339066","-66.124504","-76.201164","-200","-200","-200","-87.160355","-86.55503","-200","-79.9963","-90.80036","-84.25","-200","-200","-91.33024","-200","4.9188876","2.31639","8.101978","-0.055466563","-0.00077376235","-0.044369176","-92.36","-25.870003","-29.37"
"2022-06-30T11:02:06.379","-200","-78.865685","-70.36934","-70.56724","-58.71038","-72.651276","-200","-65.84031","-76.7744","-200","-200","-200","-86.75354","-87.18845","-200","-80.16678","-200","-200","-76.39333","-200","-91.54071","-84.67159","4.97156","2.3211784","7.9691005","0.0013439022","0.026104309","-0.021767164","-91.74","-27.29","-27.84"
"2022-06-30T11:02:07.490","-200","-200","-70.12168","-200","-200","-200","-72.31706","-65.59107","-200","-81.799416","-200","-200","-200","-86.85826","-77.89379","-79.91713","-200","-200","-76.217415","-200","-90.83944","-85.212105","4.8745947","2.4732103","8.095993","-0.049357913","-0.05758423","0.009386963","-90.7","-28.669998","-29.27"
"2022-06-30T11:02:08.609","-72.67577","-200","-200","-200","-200","-72.08981","-72.358986","-200","-76.78994","-81.81173","-91.2719","-200","-86.25713","-200","-77.763306","-200","-90.818825","-200","-200","-200","-200","-200","5.1846437","2.0350714","8.104373","-0.063407816","-0.0985122","-0.07307985","-91.31","-29.279999","-29.12"
"2022-06-30T11:02:09.733","-72.57291","-78.880775","-200","-70.45925","-58.20998","-71.59322","-72.279785","-65.4934","-77.32277","-81.647865","-200","-200","-85.75709","-200","-200","-200","-90.91932","-200","-200","-200","-90.29927","-200","5.884948","2.2816741","7.7428484","0.003787363","0.12872967","0.0045000413","-92.73","-24.3","-29.8"
"2022-06-30T11:02:10.863","-72.24812","-78.89287","-69.906586","-70.624146","-58.135704","-71.208984","-200","-65.23153","-77.79404","-200","-200","-200","-86.03245","-87.23619","-200","-79.55571","-90.84685","-200","-200","-200","-90.47455","-200","5.544971","0.24540567","9.020155","1.093571","0.68278444","1.6458949","-96.53","-18.29","-28.1"
"2022-06-30T11:02:11.988","-200","-78.347824","-69.97755","-70.58583","-57.89468","-200","-200","-65.329704","-200","-81.88947","-90.93513","-200","-200","-87.49553","-77.06477","-79.37961","-200","-200","-75.72011","-200","-200","-84.89216","4.596867","1.2785037","8.026561","-0.5221676","-0.06735807","-0.12805772","-33.01","12.5","-56.58"
"2022-06-30T11:02:13.101","-200","-200","-69.97893","-200","-200","-200","-72.31977","-200","-78.21399","-81.63012","-91.1604","-200","-200","-200","-76.69249","-79.03047","-90.27008","-200","-75.34888","-200","-200","-85.248116","4.2341456","2.0697873","8.190564","-0.14404203","0.15805121","-0.20502673","-45.24","9.379997","-44.02"
"2022-06-30T11:02:14.236","-72.733986","-200","-200","-200","-57.567436","-70.80878","-72.514984","-200","-78.47968","-81.49645","-200","-200","-86.70569","-200","-76.30246","-200","-89.70024","-200","-200","-200","-200","-85.56744","4.8243165","2.1021092","8.342596","-0.17763962","-0.017877989","-0.2655024","-41.27","6.590004","-51.75"
