"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T09:14:45.386","-81.0","-200","-200","-200","-200","-200","-80.0","-97.0","-200","-76.0","-67.0","-88.0","-200","-200","-200","-200","-200","-200","-84.0","-65.0","-1.4401124","2.3918076","9.722853","0.043636143","-0.09839003","-0.096028015","-0.80000305","-33.9","-42.9"
"2022-06-30T09:14:46.493","-83.0005","-51.0","-200","-200","-200","-94.0","-84.50112","-200","-92.0","-73.9995","-65.99975","-81.998505","-73.0","-200","-200","-200","-200","-200","-200","-70.50137","-1.0319009","2.565387","9.498995","0.017979804","-0.033638313","0.0053756144","-0.40000153","-34.5","-42.6"
"2022-06-30T09:14:47.614","-84.00117","-51.0","-91.0","-71.0","-200","-94.0","-200","-90.998505","-200","-72.99883","-200","-200","-74.500374","-76.0","-200","-200","-200","-200","-200","-71.66856","-1.520318","2.9496565","9.309854","-0.03150028","-0.061127245","-0.059376102","0.9999924","-35.3","-42.0"
"2022-06-30T09:14:48.734","-200","-51.0","-91.0","-75.001","-200","-200","-200","-91.99984","-200","-200","-200","-77.995674","-200","-74.499626","-200","-200","-200","-200","-87.00075","-200","-1.6998832","2.6994624","9.214086","-0.005843941","-0.053796865","-0.009285151","1.7000046","-35.7","-41.9"
"2022-06-30T09:14:49.875","-85.002625","-200","-89.99917","-76.668724","-200","-200","-87.67005","-91.74944","-200","-71.74694","-69.002335","-76.74457","-200","-200","-200","-200","-200","-200","-88.00133","-200","-1.2054806","2.2876596","9.557653","-0.057156622","-0.036081776","0.05363397","1.2999954","-34.9","-42.4"
"2022-06-30T09:14:50.998","-85.0021","-200","-200","-200","-200","-92.33195","-88.504","-200","-93.500374","-70.99531","-70.50437","-76.19401","-74.33344","-200","-200","-200","-200","-200","-88.752304","-69.998505","-1.353921","2.4720132","9.415198","0.010038556","-0.006149376","-0.024556782","1.0999985","-34.6","-42.6"
"2022-06-30T09:14:52.137","-84.83432","-51.751312","-88.99763","-76.751686","-200","-91.24707","-200","-200","-94.667885","-70.82867","-71.00499","-200","-74.24994","-72.998505","-200","-200","-200","-200","-200","-68.99581","-1.3946224","2.4480712","9.38168","0.007595095","-0.039746962","-0.014172073","1.2999954","-34.6","-42.5"
"2022-06-30T09:14:53.260","-200","-51.6006","-87.19271","-75.9991","-200","-90.59571","-200","-90.39551","-91.99625","-200","-200","-200","-73.39741","-72.24757","-91.0","-200","-200","-200","-200","-68.3268","-1.3108255","2.4372973","9.48463","0.017368939","-0.028140524","-0.052656583","1.9999924","-34.7","-42.6"
"2022-06-30T09:14:54.378","-200","-51.667473","-86.15587","-74.492386","-200","-200","-85.795105","-87.985275","-200","-72.00357","-69.66472","-75.15695","-200","-73.6021","-200","-200","-200","-200","-88.601395","-200","-1.2150574","2.1691468","9.673772","0.034473166","0.06898705","0.01759292","2.7000046","-34.4","-42.4"
"2022-06-30T09:14:55.505","-85.145706","-200","-85.414536","-200","-200","-200","-84.15511","-200","-200","-72.38139","-69.71293","-75.565735","-200","-200","-89.99975","-200","-200","-200","-88.5007","-67.84846","-1.127669","2.7509377","9.339781","0.044857875","0.062267534","-0.043493606","4.2000046","-34.6","-41.9"
"2022-06-30T09:14:56.631","-85.127335","-51.85907","-200","-74.70916","-74.0","-89.65882","-84.13281","-200","-200","-72.450905","-68.23604","-75.24222","-73.4983","-73.66872","-200","-200","-200","-200","-200","-67.363205","-2.3391352","2.5246856","9.258378","0.017368939","-0.20895663","-0.3843564","13.200005","-35.6","-39.4"
"2022-06-30T09:14:57.754","-83.989365","-52.633385","-85.74054","-74.24147","-78.001","-89.132744","-200","-86.261986","-90.191605","-200","-200","-200","-73.42665","-73.42878","-200","-98.0","-200","-200","-200","-68.33369","-2.2481554","1.5011644","9.498995","0.050966527","-0.01958841","-0.17666224","21.099998","-27.7","-41.2"
"2022-06-30T09:14:58.881","-200","-53.01168","-85.54496","-73.54014","-200","-200","-200","-84.84195","-200","-200","-200","-74.42844","-75.642494","-74.383446","-90.33344","-95.9995","-200","-200","-200","-200","-2.0913353","1.9991584","9.329007","-0.0052330755","0.010343986","0.015760325","22.999992","-27.100002","-40.2"
"2022-06-30T09:15:00.004","-83.483345","-200","-85.18543","-200","-200","-200","-83.6117","-83.62368","-200","-72.81085","-67.64768","-73.77647","-200","-200","-89.9995","-200","-200","-200","-200","-200","-2.2409728","2.0841527","9.40203","-0.04860451","0.012787446","0.075625114","22.799995","-27.899998","-39.9"
"2022-06-30T09:15:01.123","-83.16116","-54.32895","-200","-200","-75.66539","-200","-83.0935","-200","-89.82467","-72.643364","-67.58199","-73.70465","-75.79503","-200","-200","-200","-200","-200","-200","-68.806946","-2.291251","2.0242975","9.3421755","0.02103413","0.008511391","-0.01966986","22.999992","-27.899998","-40.2"
"2022-06-30T09:15:02.262","-82.80713","-55.315945","-85.353264","-73.48536","-74.497","-89.49428","-200","-200","-89.70609","-72.58862","-67.25069","-200","-75.71439","-74.565094","-200","-200","-200","-200","-200","-68.73231","-2.397793","1.9428947","9.481039","-0.010730863","0.023172155","-0.011728613","23.499992","-27.899998","-39.8"
"2022-06-30T09:15:03.379","-200","-55.96971","-85.57845","-73.71795","-200","-200","-200","-82.34339","-200","-200","-200","-200","-75.555824","-74.710625","-89.3978","-200","-200","-200","-200","-68.58492","-2.4744074","1.9776106","9.305065","-0.00034615397","0.0024027375","-0.011117747","23.999992","-27.399998","-39.9"
"2022-06-30T09:15:04.496","-200","-200","-85.84819","-200","-200","-200","-200","-81.29421","-200","-72.93639","-66.97411","-73.38946","-200","-74.73739","-88.99634","-95.33244","-200","-200","-87.99736","-200","-2.433706","1.9093759","9.355343","-0.02661336","-0.051353402","0.040805798","24.599998","-26.899998","-39.6"
"2022-06-30T09:15:05.613","-82.34933","-200","-200","-200","-200","-200","-83.388275","-200","-88.86051","-72.79406","-68.2375","-73.20109","-75.08313","-200","-200","-200","-200","-200","-88.62815","-68.775314","-3.1842883","2.268506","9.301474","0.05035566","-0.10816387","0.031031955","23.799995","-27.5","-39.8"
"2022-06-30T09:15:06.743","-82.76467","-56.050934","-200","-74.16735","-200","-88.652176","-82.79741","-200","-88.65145","-72.53264","-68.36705","-200","-75.62842","-74.58957","-200","-200","-200","-200","-200","-69.08584","-3.083732","3.4727895","8.525752","0.14015286","0.09586512","-0.7417126","26.999992","-28.7","-36.0"
