"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-07-01T00:26:22.270","-200","-200","-82.0","-70.0","-76.0","-200","-200","-62.0","-83.0","-89.0","-200","-200","-200","-200","-200","-69.0","-84.0","-200","-64.0","-200","-79.0","-200","-1.6112977","1.6136919","9.039309","-0.054443367","-0.0048105638","-0.031154128","-2.1975","16.5975","-22.102499"
"2022-07-01T00:26:23.389","-200","-200","-80.499626","-200","-74.99975","-200","-77.0","-200","-81.99975","-90.00025","-200","-200","-82.0","-200","-79.0","-67.99975","-200","-90.0","-200","-200","-79.0","-200","-2.088941","1.9668367","9.630676","0.008475755","-0.02069306","-0.15821409","-0.9","15.9","-21.6975"
"2022-07-01T00:26:24.514","-75.0","-82.0","-79.332115","-200","-73.33178","-82.0","-81.001","-62.0","-200","-200","-200","-200","-82.0","-200","-79.0","-200","-82.499626","-90.0","-200","-200","-79.33361","-200","-1.4137762","1.9177556","9.861717","0.04512767","-0.100716405","-0.017104227","-3.8999999","14.6025","-22.5"
"2022-07-01T00:26:25.649","-80.00125","-83.00025","-200","-200","-200","-79.9995","-81.667885","-63.00083","-200","-200","-200","-200","-82.0","-200","-82.0025","-69.667885","-84.001","-91.00083","-70.501625","-200","-79.25006","-200","-0.9540894","2.2349873","9.3421755","0.0017562376","-0.20822869","-0.028710667","-5.1974998","13.5975","-22.199999"
"2022-07-01T00:26:26.761","-82.0025","-84.33461","-200","-73.00075","-200","-78.99883","-200","-62.49975","-200","-87.998505","-200","-200","-200","-200","-200","-71.253685","-84.25118","-200","-72.002335","-200","-200","-200","-0.5303157","1.8710686","9.574412","-0.06116288","-0.06956228","-0.07452556","-6.6974998","15.3975","-21.9"
"2022-07-01T00:26:27.883","-200","-200","-78.998505","-73.000496","-73.24869","-200","-79.998","-62.399498","-82.66705","-86.99713","-200","-200","-83.25219","-91.0","-82.00188","-72.205795","-200","-200","-72.25219","-200","-78.7987","-91.0","-0.6572084","1.8076223","9.745598","-0.033673946","-0.05795584","0.0012217305","-6.8025","15.5025","-21.9975"
"2022-07-01T00:26:29.006","-80.74969","-200","-78.9988","-73.000374","-73.1988","-78.99912","-79.797806","-200","-200","-200","-200","-200","-83.2016","-90.49988","-82.2021","-200","-200","-200","-200","-200","-78.832405","-91.0","-0.94092125","1.7369933","9.667787","-0.028176159","0.015958855","0.03726278","-6.5025","15.997499","-21.9975"
"2022-07-01T00:26:30.128","-78.99451","-85.00212","-78.999","-200","-73.16551","-78.3975","-79.66423","-62.66747","-200","-200","-200","-200","-83.16785","-200","-81.66598","-200","-84.4014","-91.75194","-73.8064","-200","-79.43164","-91.0","-1.1623849","1.3850456","9.759963","0.026801713","0.023289237","-0.00061086525","-5.1","17.0025","-21.6975"
"2022-07-01T00:26:31.236","-78.15828","-86.20529","-200","-73.2009","-200","-78.498375","-200","-61.852577","-83.25131","-86.39591","-200","-200","-200","-200","-81.28265","-73.51077","-84.501625","-91.6011","-72.16452","-200","-200","-200","-2.954445","1.1384429","9.730036","0.48006374","-0.27359128","-1.0800097","-1.5","16.297499","-20.797499"
"2022-07-01T00:26:32.371","-200","-200","-78.567795","-72.66497","-73.141716","-200","-200","-62.50162","-83.6021","-85.49248","-200","-200","-200","-200","-200","-74.731384","-200","-200","-71.13438","-200","-78.62067","-88.996506","-2.2254105","1.0666169","8.858546","0.5283221","-0.0463494","-1.2253957","-7.7025","16.102499","-22.8"
"2022-07-01T00:26:33.481","-200","-200","-77.865746","-71.562874","-72.745575","-200","-78.13089","-200","-83.83614","-84.12761","-93.0","-200","-82.28101","-200","-80.23829","-74.51307","-200","-91.83531","-200","-200","-79.22512","-88.59601","-1.9835961","1.3551182","9.309854","0.016417004","0.01656972","0.045814894","-11.497499","14.3025","-23.1"
"2022-07-01T00:26:34.605","-77.99174","-85.16634","-200","-200","-200","-77.85158","-76.85348","-62.220524","-200","-200","-200","-200","-81.48904","-91.000336","-80.099144","-200","-85.00464","-91.57143","-200","-200","-78.99945","-89.50079","-2.0111294","1.2904748","9.816227","-0.028176159","0.02939789","0.03726278","-12.202499","14.099999","-22.8975"
"2022-07-01T00:26:35.717","-77.86669","-84.279724","-200","-200","-200","-77.49202","-75.85864","-61.99532","-84.14727","-200","-200","-200","-80.87225","-200","-79.98767","-74.34305","-85.382324","-91.37328","-70.99134","-200","-78.999504","-200","-1.602918","1.3335704","9.496601","0.00908662","-0.017638734","0.008552114","-12.697499","14.197499","-22.5975"
"2022-07-01T00:26:36.832","-77.99403","-200","-200","-70.73535","-200","-77.09963","-200","-61.718273","-84.1287","-83.85934","-200","-200","-200","-200","-200","-74.20684","-85.67646","-200","-71.66651","-200","-200","-200","-1.8136078","1.5454572","9.634268","0.009697486","0.0067958757","0.06291912","-12.5025","14.099999","-22.7025"
"2022-07-01T00:26:37.961","-200","-200","-77.319","-70.203255","-72.21233","-200","-75.77156","-200","-200","-84.43697","-200","-200","-80.78379","-89.49763","-79.98881","-74.095215","-200","-200","-72.10601","-200","-78.7443","-90.00392","-1.7286136","1.3682863","9.594764","-0.0012980887","0.02695443","0.022602014","-13.2","13.8975","-22.297499"
"2022-07-01T00:26:39.080","-77.48754","-82.60527","-76.67813","-69.87838","-71.78512","-76.17675","-76.25515","-200","-200","-200","-200","-200","-80.618805","-89.197205","-79.90468","-200","-200","-200","-200","-200","-78.527954","-90.12952","-1.8914193","1.2210429","9.616311","-0.010461068","0.0019089539","-0.015882496","-12.3975","14.3025","-22.7025"
"2022-07-01T00:26:40.200","-77.07248","-200","-76.060455","-200","-200","-75.88293","-76.658844","-61.40192","-200","-200","-200","-200","-80.48108","-88.82933","-79.67569","-200","-86.11495","-200","-72.09621","-200","-78.26864","-200","-2.0973208","1.3850456","9.610326","-0.0055741454","0.019624045","0.04153884","-11.197499","13.8975","-22.7025"
"2022-07-01T00:26:41.323","-76.72599","-82.20016","-200","-69.889626","-200","-75.21224","-200","-60.976063","-83.77714","-84.696915","-200","-200","-200","-200","-200","-73.83187","-85.919334","-200","-72.00294","-200","-200","-200","-2.6683378","1.1994951","9.813833","0.22777638","-0.18012889","-0.63163465","-9.202499","12.9","-23.9025"
"2022-07-01T00:26:42.435","-200","-200","-76.140396","-69.643776","-71.7125","-200","-200","-200","-83.90116","-84.26248","-200","-200","-200","-88.5663","-200","-74.86997","-200","-200","-71.84504","-200","-78.31903","-90.452065","-2.6192567","1.3024458","8.834604","0.067118816","-0.12820534","-0.3371976","-10.5","0.0","-24.502499"
