"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-06-30T05:07:04.984","-82.0","-75.0","-200","-200","-85.0","-200","-200","-200","-200","-200","-200","-82.0","-51.0","-200","-93.0","-200","-200","-200","-200","-200","-1.816002","2.992752","9.255983","-0.0024434598","-0.020321451","-0.03754785","24.299995","-14.900002","-30.1"
"2022-06-30T05:07:06.066","-200","-200","-200","-200","-200","-200","-200","-200","-200","-57.0","-200","-200","-200","-200","-200","-200","-200","-200","-200","-74.0","-1.7238252","2.906561","9.224859","-0.032986723","0.00044796802","-0.031439196","24.099998","-14.800003","-30.0"
"2022-06-30T05:07:07.198","-200","-77.500626","-200","-70.0","-200","-79.0","-200","-200","-200","-56.499874","-70.0","-200","-51.500126","-76.0","-91.99975","-200","-200","-200","-200","-74.0","-2.1332338","2.825158","8.708909","-0.1881465","0.18676187","0.16587028","24.599998","-13.699997","-30.3"
"2022-06-30T05:07:08.320","-75.998505","-200","-200","-70.0","-200","-83.50112","-200","-81.0","-200","-200","-200","-81.49988","-200","-74.499626","-200","-200","-200","-200","-200","-200","-0.89064306","1.8590976","9.800665","0.011606441","0.054814976","-0.23485732","20.299995","-12.800003","-31.9"
"2022-06-30T05:07:09.433","-200","-200","-90.0","-200","-200","-200","-200","-82.00025","-200","-200","-200","-80.66589","-200","-200","-200","-200","-200","-200","-200","-200","-0.8882488","2.2014685","9.556456","0.006719519","0.074362665","-0.4285016","18.900002","-8.0","-34.4"
"2022-06-30T05:07:10.556","-200","-74.331116","-200","-200","-200","-200","-200","-200","-200","-58.334778","-74.001","-200","-50.99967","-200","-200","-200","-200","-200","-200","-74.0","-0.090979666","1.8830396","9.721656","0.03909538","-0.11134037","-0.104743026","18.200005","-6.9000015","-35.4"
"2022-06-30T05:07:11.676","-200","-72.996","-200","-200","-200","-81.665886","-200","-200","-200","-59.252686","-74.334274","-200","-50.999752","-200","-200","-200","-200","-200","-200","-75.75306","-0.021547815","2.4492683","9.249998","0.056199603","-0.005049819","0.010710506","16.299995","-8.400002","-35.7"
"2022-06-30T05:07:12.804","-76.99984","-72.395004","-85.999","-66.33028","-200","-80.497375","-90.0","-83.66822","-200","-59.603195","-200","-200","-200","-73.332115","-200","-200","-200","-200","-200","-200","-0.4237737","2.4396915","9.490616","-0.13988814","0.078638725","0.21412864","16.799995","-8.800003","-35.7"
"2022-06-30T05:07:13.920","-77.500755","-200","-84.66489","-66.498","-200","-200","-84.49863","-81.497375","-200","-200","-200","-200","-200","-72.74807","-200","-200","-200","-200","-87.0","-200","-2.7497406","2.1260512","11.168951","0.37690386","0.0028914288","-0.4547688","24.538002","-0.9599991","-32.613"
"2022-06-30T05:07:15.047","-77.60091","-71.99401","-84.74881","-200","-200","-200","-83.33144","-80.39461","-200","-60.00449","-74.00012","-80.49913","-52.403996","-200","-90.66539","-200","-200","-200","-200","-74.7996","-1.3215994","1.6591818","9.147048","0.0842994","-0.08324057","-0.09496918","18.599998","12.300003","-37.1"
