"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-07-01T08:13:29.160","-200","-200","-200","-200","-200","-83.0","-200","-200","-88.0","-200","-200","-200","-200","-200","-200","-73.0","-200","-200","-80.0","-200","-79.0","-200","-1.6891093","3.264494","9.196129","-0.025503624","-0.010155635","0.016264288","0.39749998","-24.6","-8.6025"
"2022-07-01T08:13:30.257","-200","-200","-200","-200","-200","-82.49988","-200","-83.0","-88.0","-200","-200","-200","-200","-200","-93.0","-73.0","-56.0","-200","-79.49988","-200","-200","-200","-1.6651673","2.870648","8.814254","-0.0096211275","0.10957395","-0.0026725354","0.2025","-24.6","-8.7"
"2022-07-01T08:13:31.383","-200","-200","-200","-200","-200","-82.666725","-79.0","-84.00025","-200","-200","-200","-200","-200","-200","-94.00025","-71.99917","-54.499626","-63.0","-200","-200","-200","-92.0","-2.3762453","4.203021","8.702923","-0.06704246","0.20120373","0.25938866","0.9","-24.502499","-8.7975"
"2022-07-01T08:13:32.511","-200","-200","-200","-91.0","-200","-200","-77.499626","-83.33295","-87.33278","-95.0","-200","-200","-200","-200","-90.997665","-200","-55.000168","-61.499626","-200","-200","-84.50137","-88.49912","-0.6895301","2.1799207","9.394848","-0.111635625","0.16760615","0.3571271","-3.2024999","-20.602499","-11.4"
"2022-07-01T08:13:33.617","-200","-200","-200","-200","-200","-200","-76.665726","-200","-88.00075","-200","-200","-200","-200","-200","-200","-73.75243","-200","-61.332947","-77.665054","-200","-82.33244","-89.33344","-2.384625","3.0430303","9.069236","0.02275473","0.18287778","0.15187638","-3.6","-18.3975","-12.599999"
"2022-07-01T08:13:34.746","-90.0","-200","-200","-89.499626","-200","-84.00237","-200","-200","-87.398796","-200","-200","-200","-200","-200","-88.24344","-72.5985","-56.001873","-200","-76.99763","-200","-200","-200","-1.2246342","3.0466216","9.713276","-0.29611692","-0.012599096","0.022372939","-3.8025","-19.4025","-11.9025"
"2022-07-01T08:13:35.865","-91.00025","-200","-200","-200","-200","-85.00489","-76.74944","-84.00088","-200","-200","-200","-200","-200","-200","-88.1946","-70.48914","-57.806892","-60.498253","-79.2047","-200","-200","-200","-2.3582888","2.7736826","9.198523","-0.0071776668","-0.05169447","-0.19265163","-5.1974998","-19.8975","-12.697499"
"2022-07-01T08:13:36.982","-200","-200","-200","-87.998505","-200","-200","-78.805695","-84.6025","-200","-95.0","-200","-200","-200","-200","-87.4923","-200","-57.169506","-60.197704","-200","-200","-81.748314","-89.24994","-1.7848774","1.6950948","9.604341","-0.12629639","-0.0077121737","0.05963572","-6.6974998","-14.3025","-15.0975"
"2022-07-01T08:13:38.101","-91.66739","-200","-200","-88.24931","-200","-200","-78.503365","-200","-87.666885","-200","-200","-200","-200","-200","-200","-200","-200","-59.662315","-77.830986","-200","-80.99641","-88.19681","-1.5286977","1.1575965","9.618706","-0.08475755","-0.10667235","0.45791987","-8.1975","-6.5025","-16.8975"
"2022-07-01T08:13:39.219","-90.999374","-200","-92.0","-88.8011","-200","-84.501785","-200","-200","-88.00235","-200","-200","-200","-200","-200","-200","-68.11827","-200","-200","-78.14285","-200","-81.16444","-200","-1.2545617","3.1387985","8.857349","0.22495113","0.031994067","-0.145615","-11.0025","0.5025","-16.8975"
"2022-07-01T08:13:40.334","-89.996506","-200","-200","-200","-200","-85.43613","-200","-86.00849","-88.380325","-200","-200","-200","-200","-200","-85.8399","-66.59026","-57.86405","-200","-77.620476","-200","-200","-88.49872","-1.2868834","2.1871033","8.974665","0.08017606","-0.33391422","-0.15050192","-8.6025","-0.9","-16.199999"
"2022-07-01T08:13:41.460","-200","-200","-200","-200","-200","-86.894226","-80.01261","-86.72619","-200","-200","-200","-200","-200","-200","-86.23836","-66.41157","-59.142105","-59.71087","-200","-200","-200","-88.71458","-2.4516625","1.2761095","9.77792","-0.09941832","0.12789991","0.25389087","-9.9","-3.6975","-15.5025"
"2022-07-01T08:13:42.575","-200","-200","-200","-88.66698","-200","-200","-80.51539","-87.64335","-88.787056","-200","-200","-200","-200","-200","-86.099205","-200","-59.68797","-60.1256","-76.87656","-200","-81.57214","-87.74184","-2.7724855","1.7058687","9.2308445","0.010537425","0.084528476","-0.020387627","-6.0","0.29999998","-17.1"
"2022-07-01T08:13:43.688","-90.49938","-200","-93.00025","-89.002426","-200","-200","-81.131676","-200","-89.01149","-200","-200","-200","-200","-200","-200","-67.384026","-200","-200","-76.280556","-200","-81.75218","-87.09665","-2.882619","1.5897499","9.483433","0.030695979","-0.029703323","-0.08086329","-5.4975","0.9975","-17.4"
"2022-07-01T08:13:44.818","-91.43407","-200","-93.00017","-88.87603","-200","-87.01848","-200","-88.245255","-89.10292","-200","-200","-200","-200","-200","-86.291985","-66.60857","-59.719616","-200","-76.25461","-200","-200","-200","-1.4568717","1.970428","9.338584","0.1656972","-0.02115121","0.05352707","-10.8","-0.59999996","-16.5"
"2022-07-01T08:13:45.925","-200","-200","-200","-200","-200","-87.42228","-81.42258","-88.42322","-200","-200","-200","-200","-200","-200","-200","-66.0463","-59.46807","-60.448586","-76.06278","-200","-200","-87.086845","-1.9153614","2.3678656","9.478644","-0.032223143","0.0313832","0.029703323","-11.7","-1.8","-15.9"
"2022-07-01T08:13:47.041","-200","-200","-200","-200","-200","-200","-81.66097","-88.56906","-200","-200","-200","-200","-200","-200","-86.63495","-200","-59.173004","-60.910187","-200","-200","-81.5553","-86.89383","-1.3204023","2.5617957","9.433155","-0.00290161","0.064369924","-0.07658723","-12.9","-2.3025","-15.599999"
"2022-07-01T08:13:48.160","-200","-200","-200","-200","-200","-200","-81.43458","-200","-89.00909","-200","-200","-200","-200","-200","-200","-200","-200","-60.826","-75.663666","-200","-81.29614","-87.07302","-1.2018893","3.323152","8.839393","-0.098807454","-0.27404943","-0.6862307","-9.9675","-11.9025","-12.412499"
"2022-07-01T08:13:49.271","-92.13588","-200","-93.00012","-89.45179","-200","-88.21565","-200","-200","-88.929535","-200","-200","-200","-200","-200","-200","-67.46167","-200","-200","-75.46788","-200","-80.89878","-200","-0.8475474","3.8055837","9.307459","0.0032070426","-0.2777146","-0.028328875","-2.1","-19.8975","-10.8975"
"2022-07-01T08:13:50.396","-92.345345","-200","-93.2007","-200","-200","-88.452545","-200","-88.2654","-88.78771","-200","-200","-200","-200","-200","-86.32568","-68.162766","-59.2382","-60.840805","-75.29784","-200","-200","-86.988434","-1.3730747","3.916914","8.875306","-0.07498371","-0.015042556","0.027870728","-3.3","-21.9","-9.8025"
"2022-07-01T08:13:51.520","-200","-200","-200","-200","-200","-88.338036","-81.952156","-88.16565","-200","-200","-200","-200","-200","-200","-86.221176","-68.84059","-59.4412","-60.853355","-200","-200","-81.41788","-86.91578","-1.8543092","3.715801","8.9279785","-0.048716504","0.047876563","0.08712465","-2.3025","-20.3025","-11.0025"
"2022-07-01T08:13:52.638","-200","-200","-200","-89.91307","-200","-200","-82.47019","-88.15347","-88.526726","-200","-200","-200","-200","-200","-86.27842","-200","-59.686417","-60.864136","-75.148705","-200","-81.227264","-87.05939","-1.8435353","3.539827","9.045294","0.00992656","-0.009544769","-0.059483003","-2.1","-19.199999","-11.7"
"2022-07-01T08:13:53.756","-200","-200","-200","-200","-200","-200","-81.81766","-200","-88.55744","-200","-200","-200","-200","-200","-200","-68.78604","-200","-61.011303","-74.709885","-200","-81.06355","-86.925735","-1.7980455","3.5075054","9.132683","0.007483099","0.014278975","0.05047274","-1.5","-19.297499","-11.7975"
"2022-07-01T08:13:54.872","-200","-200","-200","-200","-200","-88.38669","-200","-200","-200","-200","-200","-200","-200","-200","-200","-68.73779","-59.901466","-200","-74.37712","-200","-200","-200","-1.7657237","3.4249055","8.9998045","-0.018784106","0.0332158","0.029703323","-1.5975","-18.9","-11.9025"
"2022-07-01T08:13:55.989","-200","-200","-200","-200","-200","-88.42895","-81.1156","-200","-200","-200","-200","-200","-200","-200","-200","-68.811356","-60.21444","-61.07547","-200","-200","-200","-86.99168","-1.9405005","3.359065","9.01776","-0.0047342055","-0.022372939","0.0107665","-1.2975","-18.0975","-12.3975"
"2022-07-01T08:13:57.108","-200","-200","-200","-90.0136","-200","-200","-81.292656","-200","-88.95292","-200","-200","-200","-200","-200","-200","-200","-60.085384","-60.88668","-200","-200","-80.85246","-86.992165","-1.4556746","3.25372","9.172187","0.025198191","-0.06574437","-0.13278683","-0.8025","-18.3","-12.5025"
