"Date","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","accer_x","accer_y","accer_z","gyro_x","gyro_y","gyro_z","magn_x","magn_y","magn_z"
"2022-07-01T08:22:37.317","-200","-200","-200","-200","-200","-200","-92.0","-200","-89.0","-94.0","-200","-200","-200","-200","-81.0","-200","-64.0","-60.0","-200","-200","-75.0","-93.0","-2.0362685","1.5239093","9.751583","0.0050396384","-0.0022143866","-0.038713586","-20.1975","-12.0","-31.8975"
"2022-07-01T08:22:38.416","-200","-200","-94.0","-92.0","-200","-200","-86.99875","-200","-90.00025","-200","-200","-200","-200","-200","-200","-93.0","-200","-57.9995","-74.0","-200","-77.0005","-200","-2.9233203","1.5143325","10.0987425","-0.17821993","0.05826127","-0.0332158","-16.8975","-10.702499","-32.7"
"2022-07-01T08:22:39.539","-91.0","-200","-200","-200","-200","-83.0","-200","-200","-200","-200","-200","-200","-200","-200","-78.499374","-84.49788","-200","-200","-72.99975","-200","-77.33395","-200","-4.1276035","1.5777789","8.512584","0.20051652","0.1175152","0.20441078","-13.1025","-8.1975","-33.6"
"2022-07-01T08:22:40.664","-200","-200","-200","-200","-200","-85.0005","-86.66556","-85.0","-200","-200","-200","-200","-200","-200","-79.33361","-80.995674","-70.001495","-57.666058","-200","-200","-200","-89.99925","-4.4915223","2.5881321","8.724471","-0.02977968","0.024663685","-0.07964156","-11.9025","-8.0025","-33.802498"
"2022-07-01T08:22:41.769","-200","-200","-200","-200","-200","-200","-86.24844","-84.49988","-200","-200","-200","-200","-200","-200","-79.25006","-200","-67.33211","-57.248814","-200","-200","-78.5025","-89.66589","-3.4835634","1.2449849","8.910022","0.18402316","-0.11217013","-0.21219932","-13.5","-9.3975","-33.2025"
"2022-07-01T08:22:42.898","-200","-200","-200","-200","-200","-200","-86.80041","-200","-89.66656","-200","-200","-200","-200","-200","-200","-200","-200","-57.198902","-75.001495","-200","-78.2011","-200","-2.2661119","0.9828198","10.010158","0.066737026","-0.030925052","0.022372939","-15.9","-13.1025","-32.1"
"2022-07-01T08:22:44.024","-91.50012","-200","-200","-91.49988","-200","-84.666725","-200","-200","-89.24919","-200","-200","-200","-200","-200","-200","-79.99501","-200","-200","-77.25506","-200","-79.00458","-200","-2.3427265","1.2425907","9.5492735","-0.047494773","-0.02115121","0.10789407","-15.5025","-16.297499","-31.102499"
"2022-07-01T08:22:45.130","-91.333275","-200","-200","-200","-200","-84.75019","-200","-85.33395","-88.396805","-200","-200","-200","-200","-200","-78.7987","-80.39721","-66.74806","-56.495884","-78.006294","-200","-200","-200","-2.6300306","1.3263878","9.534908","-0.038331795","0.016722437","0.022983804","-15.697499","-15.697499","-30.9975"
"2022-07-01T08:22:46.262","-200","-200","-200","-200","-200","-84.1985","-87.8384","-85.75119","-200","-200","-200","-200","-200","-200","-79.16726","-80.83299","-67.4004","-55.993233","-200","-200","-200","-88.49738","-2.3750482","1.5993267","9.369708","-0.064599","0.010613783","0.06757697","-15.299999","-15.9","-30.9"
"2022-07-01T08:22:47.382","-200","-200","-200","-90.66589","-200","-200","-86.280014","-200","-88.33037","-200","-200","-200","-200","-200","-79.57456","-200","-68.6728","-55.994087","-200","-200","-79.147705","-88.397606","-2.3642743","1.5394717","9.66659","0.059406646","0.022220224","-0.32765284","-14.3025","-15.8025","-31.297499"
"2022-07-01T08:22:48.485","-200","-200","-200","-91.50088","-200","-200","-84.73161","-200","-87.70773","-200","-200","-200","-200","-200","-200","-80.28187","-200","-55.77002","-77.837814","-200","-79.88563","-200","-3.0142999","2.1918917","8.961497","0.23105977","-0.016875152","-0.94462675","-4.2975","-26.4825","-23.519999"
"2022-07-01T08:22:49.612","-200","-200","-92.499626","-200","-200","-85.00241","-200","-86.6035","-86.861946","-200","-200","-200","-200","-200","-200","-80.24633","-70.44525","-200","-77.86114","-200","-81.02214","-200","-2.492364","1.2162545","9.716867","-0.07315111","0.02649628","0.07185303","3.6","-27.3975","-19.4025"
"2022-07-01T08:22:50.742","-200","-200","-200","-200","-200","-85.289635","-84.424675","-86.66988","-200","-200","-200","-200","-200","-200","-78.74557","-79.88155","-72.28047","-55.286247","-78.00474","-200","-200","-200","-2.505532","1.22224","9.88925","0.0025961774","0.14805846","0.3027601","3.2024999","-27.0","-20.1975"
"2022-07-01T08:22:51.856","-200","-200","-200","-200","-200","-85.505295","-84.28018","-85.99843","-200","-200","-200","-200","-200","-200","-78.998886","-200","-73.03552","-55.352264","-200","-200","-81.62841","-87.82875","-2.7210102","1.42455","9.543288","0.046578474","-0.14698945","-0.07780896","-0.29999998","-27.0","-20.3025"
"2022-07-01T08:22:52.978","-89.49675","-200","-200","-91.1998","-200","-200","-84.16177","-200","-86.652725","-200","-200","-200","-200","-200","-200","-200","-200","-55.06705","-78.11657","-200","-82.402725","-85.984184","-2.6874914","2.111686","9.174581","-0.0047342055","0.09002627","0.03153592","-0.39749998","-27.8025","-18.6"
"2022-07-01T08:22:54.091","-88.5947","-200","-91.332115","-90.664055","-200","-86.34745","-200","-200","-86.48511","-200","-200","-200","-200","-200","-200","-79.38647","-200","-200","-78.30759","-200","-82.878944","-200","-2.861071","1.7202339","9.54209","0.0013744468","-0.04008803","0.13232869","-1.2975","-27.9975","-18.5025"
"2022-07-01T08:22:55.219","-88.829994","-200","-91.74982","-200","-200","-86.413635","-200","-86.75517","-86.44024","-200","-200","-200","-200","-200","-78.69474","-78.88826","-72.82908","-55.1406","-78.55662","-200","-200","-85.860085","-2.9317","1.5717934","9.2787285","0.028863383","-0.04314236","0.018096883","-2.1","-26.1975","-20.699999"
"2022-07-01T08:22:56.328","-88.99822","-200","-200","-200","-200","-86.28288","-83.46736","-87.11978","-200","-93.49988","-200","-200","-200","-200","-78.26051","-78.642525","-72.84489","-55.71829","-200","-200","-83.12499","-85.31397","-2.1021092","1.9177556","9.640253","0.57864213","0.0753655","1.8549687","-6.795","-24.24","-24.675"
"2022-07-01T08:22:57.450","-200","-200","-200","-90.13722","-200","-200","-82.87868","-86.90479","-86.06246","-92.33228","-200","-200","-200","-200","-78.15327","-200","-73.36857","-55.875507","-78.59434","-200","-83.40981","-85.48497","-0.46088383","1.4185646","10.849325","0.113162786","0.46998444","0.50006956","-21.24","-13.9425","-25.845"
"2022-07-01T08:22:58.566","-88.74626","-200","-91.198204","-90.24601","-200","-200","-83.25511","-200","-85.7422","-200","-200","-200","-200","-200","-200","-78.82838","-200","-55.818687","-78.78399","-200","-200","-85.53261","0.7194576","2.2756886","9.591172","0.0032070426","-0.09201158","0.1109484","-26.4975","-14.497499","-24.2025"
"2022-07-01T08:22:59.684","-88.10058","-200","-200","-200","-200","-86.68422","-200","-86.821106","-85.61414","-200","-200","-200","-200","-200","-77.58935","-78.9145","-72.23583","-200","-79.02038","-200","-200","-200","1.0127473","2.6874914","9.325416","-0.0041233404","0.011224649","-0.001450805","-28.5","-16.5975","-22.297499"
"2022-07-01T08:23:00.809","-87.887535","-200","-90.66273","-200","-200","-86.709114","-83.513145","-86.66617","-200","-200","-200","-200","-200","-200","-77.32552","-79.1271","-71.26296","-55.645664","-200","-200","-200","-200","0.7565677","2.56419","9.4774475","0.016035212","-0.003436117","0.0022143866","-27.6975","-16.8","-23.1"
"2022-07-01T08:23:01.929","-200","-200","-200","-90.330734","-200","-86.14247","-83.02554","-87.086655","-85.50292","-200","-200","-200","-200","-200","-77.5098","-200","-70.418","-55.491478","-200","-200","-83.7261","-85.74254","0.48362875","2.385822","9.417592","-0.0041233404","0.00022907447","0.04802928","-26.797499","-16.5","-23.4975"
"2022-07-01T08:23:03.043","-87.43547","-200","-200","-90.50003","-200","-200","-82.410126","-200","-85.27558","-92.74994","-200","-200","-200","-200","-200","-200","-200","-55.353165","-79.087875","-200","-84.13327","-85.84167","0.35314476","2.1511903","9.674969","-0.0071776668","-0.0046578473","0.0071013086","-26.4","-15.0975","-24.6"
"2022-07-01T08:23:04.159","-87.14318","-200","-90.855","-90.73126","-200","-85.44362","-200","-200","-85.135895","-200","-200","-200","-200","-200","-200","-78.599655","-200","-200","-79.211975","-200","-84.4934","-200","0.35673606","2.1021092","9.749189","0.008093964","0.02893974","0.032757647","-26.4975","-14.7","-24.6"
