,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A07,-200.0,-200.0,-200.0,-200.0,-70.10952,-200.0,-57.40707999999999,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.0,-200.0,-200.0,-61.0,-200,-200.0,-200.0
1,A07,-200.0,-200.0,-200.0,-200.0,-70.10952,-200.0,-56.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.00025,-200.0,-200.0,-61.0,-200,-200.0,-200.0
2,A07,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-56.500126,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.689267,-70.49988,-200.0,-61.0,-200,-200.0,-200.0
3,A07,-200.0,-200.0,-200.0,-200.0,-67.99925,-200.0,-56.66689,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.689267,-200.0,-200.0,-70.38101800000001,-200,-200.0,-200.0
4,A07,-200.0,-200.0,-200.0,-200.0,-67.999504,-200.0,-57.40707999999999,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.66905,-200.0,-200.0,-63.253937,-200,-200.0,-200.0
5,A07,-200.0,-200.0,-200.0,-200.0,-70.10952,-200.0,-55.74856,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.76068,-200.0,-200.0,-64.60719,-200,-200.0,-200.0
6,A07,-200.0,-200.0,-200.0,-200.0,-70.10952,-200.0,-55.1972,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.689267,-200.0,-200.0,-67.016975,-200,-200.0,-200.0
7,A07,-200.0,-200.0,-200.0,-200.0,-68.5005,-200.0,-54.829327,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.689267,-200.0,-200.0,-70.38101800000001,-200,-200.0,-200.0
8,A07,-200.0,-200.0,-200.0,-200.0,-69.4031,-200.0,-57.40707999999999,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.608086,-200.0,-200.0,-67.15832,-200,-200.0,-200.0
9,A07,-200.0,-200.0,-200.0,-200.0,-70.10952,-200.0,-57.40707999999999,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.00398,-200.0,-200.0,-67.13835,-200,-200.0,-200.0
10,A07,-200.0,-200.0,-200.0,-200.0,-70.10952,-200.0,-54.278732,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-69.57206,-200.0,-200.0,-66.785706,-200,-200.0,-200.0
