,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E01,-200.0,-52.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.305608,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200.0,-63.0,-200,-200
1,E01,-200.0,-54.500626,-200.0,-69.001,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.305608,-69.83897,-200.0,-200.0,-200.0,-200,-200,-200,-200.0,-200.0,-200,-200
2,E01,-200.0,-58.500706,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.0,-69.83897,-69.60896,-200.0,-200.0,-200,-200,-200,-200.0,-200.0,-200,-200
3,E01,-200.0,-58.500706,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.0,-200.0,-69.60896,-200.0,-200.0,-200,-200,-200,-200.0,-67.83173,-200,-200
4,E01,-200.0,-58.500706,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.668884,-66.499374,-68.99825,-200.0,-200.0,-200,-200,-200,-200.0,-200.0,-200,-200
5,E01,-200.0,-55.00083,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.24918,-65.33195,-200.0,-200.0,-200.0,-200,-200,-200,-200.0,-67.83173,-200,-200
6,E01,-200.0,-55.25106,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.305608,-65.24882,-69.60896,-200.0,-200.0,-200,-200,-200,-200.0,-200.0,-200,-200
7,E01,-200.0,-58.500706,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.305608,-69.83897,-70.33328,-200.0,-200.0,-200,-200,-200,-200.0,-200.0,-200,-200
8,E01,-200.0,-58.500706,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.001595,-66.803696,-71.00113,-200.0,-200.0,-200,-200,-200,-200.0,-200.0,-200,-200
9,E01,-200.0,-56.003094,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.305608,-67.50628,-200.0,-200.0,-200.0,-200,-200,-200,-200.0,-67.83173,-200,-200
10,E01,-200.0,-56.83972,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.01048,-67.721054,-69.60896,-200.0,-200.0,-200,-200,-200,-200.0,-200.0,-200,-200
11,E01,-200.0,-56.862766,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.305608,-69.83897,-200.0,-200.0,-200.0,-200,-200,-200,-200.0,-70.98716,-200,-200
12,E01,-200.0,-58.500706,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.00897,-69.83897,-200.0,-200.0,-200.0,-200,-200,-200,-200.0,-70.58279,-200,-200
13,E01,-200.0,-58.500706,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.37739,-68.26059,-200.0,-200.0,-200.0,-200,-200,-200,-200.0,-67.83173,-200,-200
