,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,H01,-200.0,-79.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-58.7614225,-79.0,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
1,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-63.0,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-77.49267,-200,-200
2,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.0,-62.499874,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
3,H01,-200.0,-78.332115,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-71.500374,-62.66672,-74.49888,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
4,H01,-200.0,-78.49938,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-58.7614225,-72.998,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
5,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-61.998875,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-77.49267,-200,-200
6,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-72.00066,-61.196705,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
7,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-73.00224,-60.82891,-75.50288,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
8,H01,-200.0,-77.99876,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-71.998795,-58.7614225,-77.80919,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
9,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-58.7614225,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-78.13715,-200,-200
10,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-60.422157,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-77.49267,-200,-200
11,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-71.99899,-60.87329,-76.66913,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
12,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-72.14292,-61.22463,-75.854,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
13,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-71.87272,-58.7614225,-75.49413,-200.0,-200.0,-200,-200,-200,-200,-77.49267,-200,-200
14,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-58.7614225,-74.98914,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
15,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-71.77466,-62.21604,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
16,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-71.39183,-61.918583,-75.2945,-200.0,-200.0,-200,-200,-200,-200,-79.30835,-200,-200
17,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.61565,-58.7614225,-75.45225,-200.0,-200.0,-200,-200,-200,-200,-79.27983,-200,-200
18,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-58.7614225,-75.83917,-200.0,-200.0,-200,-200,-200,-200,-77.49267,-200,-200
19,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-61.415024,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
20,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.56326,-60.988136,-75.61535,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
21,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.75536,-60.621494,-75.57012,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
22,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-78.98696,-71.14086,-58.7614225,-75.87536,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
23,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-58.7614225,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
24,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.99335,-60.096344,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
25,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.53948,-59.765594,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-78.72019,-200,-200
26,H01,-200.0,-79.00085,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.32221,-58.7614225,-75.883446,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
27,H01,-200.0,-78.67629,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-58.7614225,-75.8906,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
28,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-60.20968,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
29,H01,-200.0,-75.626228,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.47827,-60.430573,-75.722145,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
30,H01,-200.0,-78.69617,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.34069,-60.795277,-75.45999,-200.0,-200.0,-200,-200,-200,-200,-200.0,-200,-200
31,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-70.057396,-58.7614225,-75.17037,-200.0,-200.0,-200,-200,-200,-200,-77.49267,-200,-200
32,H01,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-64.51541,-60.700047,-75.065782,-200.0,-200.0,-200,-200,-200,-200,-77.49267,-200,-200
