,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-59.0,-200.0,-200,-200,-200,-200,-65.0,-200,-200
1,R04,-200.0,-73.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-54.999,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
2,R04,-73.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-54.33211,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
3,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.0,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-61.499126,-200,-200
4,R04,-200.0,-70.9995,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.0,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
5,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.66639,-200.0,-200.0,-53.748062,-200.0,-200,-200,-200,-200,-60.33178,-200,-200
6,R04,-200.0,-71.666885,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-53.598,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
7,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.499504,-200.0,-200.0,-53.665306,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
8,R04,-200.0,-73.002495,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.59991,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-61.500877,-200,-200
9,R04,-200.0,-72.60079,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.51319,-200.0,-200.0,-54.000996,-200.0,-200,-200,-200,-200,-62.0022,-200,-200
10,R04,-200.0,-72.33277,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-54.25305,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
11,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
12,R04,-200.0,-71.85357,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.87075,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-61.164684,-200,-200
13,R04,-200.0,-71.36767,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.13923,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-60.56587,-200,-200
14,R04,-200.0,-71.326355,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-54.224617,-200.0,-200,-200,-200,-200,-60.116245,-200,-200
15,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-54.303257,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
16,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.68542,-200.0,-200.0,-54.182716,-200.0,-200,-200,-200,-200,-59.653717,-200,-200
17,R04,-200.0,-70.58332,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.1088,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-59.790257,-200,-200
18,R04,-200.0,-70.529366,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.02367,-200.0,-200.0,-54.422413,-200.0,-200,-200,-200,-200,-59.624672,-200,-200
19,R04,-200.0,-70.569405,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-54.862118,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
20,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-55.239765,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
21,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.29787,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-59.486443,-200,-200
22,R04,-200.0,-70.60335,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.27438,-200.0,-200.0,-55.29215,-200.0,-200,-200,-200,-200,-60.078766,-200,-200
23,R04,-200.0,-70.559,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-55.33809,-200.0,-200,-200,-200,-200,-60.661,-200,-200
24,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-55.37872,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
25,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-60.822166,-200,-200
26,R04,-200.0,-71.20952,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32772,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-62.0019,-200,-200
27,R04,-200.0,-70.806526,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-55.64804,-200.0,-200,-200,-200,-200,-61.817627,-200,-200
28,R04,-200.0,-70.63425,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-55.55655,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
29,R04,-200.0,-68.98395,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-55.473984,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
30,R04,-200.0,-70.24761,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.09843,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-61.944813,-200,-200
31,R04,-200.0,-69.90077,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.89734,-200.0,-200.0,-54.322982999999994,-200.0,-200,-200,-200,-200,-65.555504,-200,-200
32,R04,-200.0,-69.58777,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32587,-200.0,-200.0,-55.500717,-200.0,-200,-200,-200,-200,-62.058907,-200,-200
