,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S08,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-70.0,-64.0,-60.0,-200.0,-71.0,-200,-200.0,-200.0
1,S08,-200.0,-200,-200.0,-200.0,-70.0,-200.0,-70.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-56.499126,-200.0,-200.0,-200,-200.0,-200.0
2,S08,-200.0,-200,-200.0,-200.0,-70.0,-200.0,-68.99975,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
3,S08,-200.0,-200,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-62.499626,-59.119348,-200.0,-71.66722,-200,-200.0,-200.0
4,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-62.332947,-55.999,-200.0,-72.001,-200,-200.0,-200.0
5,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-69.33344,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-62.249565,-55.999252,-200.0,-200.0,-200,-200.0,-200.0
6,S08,-200.0,-200,-200.0,-200.0,-70.75131,-200.0,-70.50212,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-55.9994,-200.0,-200.0,-200,-200.0,-200.0
7,S08,-200.0,-200,-200.0,-200.0,-70.8012,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.119348,-200.0,-71.8002,-200,-200.0,-200.0
8,S08,-200.0,-200,-200.0,-200.0,-70.83449,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-62.1995,-59.119348,-200.0,-71.33137,-200,-200.0,-200.0
9,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.328953,-55.832073,-200.0,-71.85886,-200,-200.0,-200.0
10,S08,-200.0,-200,-200.0,-200.0,-71.14585,-200.0,-71.669876,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.70652,-55.85622,-200.0,-200.0,-200,-200.0,-200.0
11,S08,-200.0,-200,-200.0,-200.0,-71.37965,-200.0,-72.1487,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-56.630894,-200.0,-200.0,-200,-200.0,-200.0
12,S08,-200.0,-200,-200.0,-200.0,-71.56172,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.491344,-59.119348,-200.0,-73.34728,-200,-200.0,-200.0
13,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.5485,-57.009468,-200.0,-74.021996,-200,-200.0,-200.0
14,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.26476,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.49287,-57.211346,-200.0,-200.0,-200,-200.0,-200.0
15,S08,-200.0,-200,-200.0,-200.0,-71.80901,-200.0,-74.021576,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-57.28429,-200.0,-200.0,-200,-200.0,-200.0
16,S08,-200.0,-200,-200.0,-200.0,-72.011665,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.077312,-59.119348,-200.0,-73.465004,-200,-200.0,-200.0
17,S08,-200.0,-200,-200.0,-200.0,-72.265915,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.81549,-59.119348,-200.0,-73.1702,-200,-200.0,-200.0
18,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.514698,-57.00486,-200.0,-73.15678,-200,-200.0,-200.0
19,S08,-200.0,-200,-200.0,-200.0,-72.40262,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-73.91816,-61.32655,-56.925644,-200.0,-200.0,-200,-200.0,-200.0
20,S08,-200.0,-200,-200.0,-200.0,-72.66704,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-56.7106,-200.0,-72.70424,-200,-200.0,-200.0
21,S08,-200.0,-200,-200.0,-200.0,-72.75888,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.064888,-59.119348,-200.0,-72.51791,-200,-200.0,-200.0
22,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.956165,-56.799446,-200.0,-72.93859,-200,-200.0,-200.0
23,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-73.380035,-61.413307,-56.747562,-200.0,-200.0,-200,-200.0,-200.0
24,S08,-200.0,-200,-200.0,-200.0,-72.579834,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-73.160675,-61.32655,-56.763058,-200.0,-200.0,-200,-200.0,-200.0
25,S08,-200.0,-200,-200.0,-200.0,-72.66701,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.119348,-200.0,-72.880974,-200,-200.0,-200.0
26,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.307518,-56.543755,-200.0,-72.88791,-200,-200.0,-200.0
27,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.290447,-56.347023,-200.0,-72.894135,-200,-200.0,-200.0
28,S08,-200.0,-200,-200.0,-200.0,-72.68642,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-74.23516,-61.32655,-56.169483,-200.0,-200.0,-200,-200.0,-200.0
29,S08,-200.0,-200,-200.0,-200.0,-72.81486,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-56.0084,-200.0,-72.9528,-200,-200.0,-200.0
30,S08,-200.0,-200,-200.0,-200.0,-72.98381,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.27504,-59.119348,-200.0,-73.158485,-200,-200.0,-200.0
31,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.261063,-55.861538,-200.0,-73.19957,-200,-200.0,-200.0
32,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.30597,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.248318,-55.727047,-200.0,-200.0,-200,-200.0,-200.0
33,S08,-200.0,-200,-200.0,-200.0,-72.83217,-200.0,-73.34124,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-55.739426,-200.0,-200.0,-200,-200.0,-200.0
34,S08,-200.0,-200,-200.0,-200.0,-72.74273,-200.0,-73.3734,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.283646,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
35,S08,-200.0,-200,-200.0,-200.0,-72.66082,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.0894,-55.794685,-200.0,-73.63311,-200,-200.0,-200.0
36,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.26185,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.77863,-55.973217,-200.0,-200.0,-200,-200.0,-200.0
37,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.43136,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-56.344982,-200.0,-200.0,-200,-200.0,-200.0
38,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.06176,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
39,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.533306,-59.119348,-200.0,-73.52071,-200,-200.0,-200.0
40,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.634895,-56.89141,-200.0,-73.82001,-200,-200.0,-200.0
41,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-72.93178,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.60949,-57.20715,-200.0,-200.0,-200,-200.0,-200.0
42,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.09933,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-57.50283,-200.0,-200.0,-200,-200.0,-200.0
43,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-72.89527,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.546818,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
44,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-60.26047,-57.484215,-200.0,-73.68325,-200,-200.0,-200.0
45,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.13298,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.99169,-57.864494,-200.0,-200.0,-200,-200.0,-200.0
46,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.50736,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-58.18758,-200.0,-200.0,-200,-200.0,-200.0
47,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.48858,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
48,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.775017,-59.119348,-200.0,-74.0686,-200,-200.0,-200.0
49,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.570778,-58.423454,-200.0,-74.34322,-200,-200.0,-200.0
50,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-73.79637,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.34327,-58.64661,-200.0,-200.0,-200,-200.0,-200.0
51,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.121864,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.02452,-200.0,-200.0,-200,-200.0,-200.0
52,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.325386,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.263756,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
53,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.12183,-59.089085,-200.0,-74.56817,-200,-200.0,-200.0
54,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.416145,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-58.889076,-59.086224,-200.0,-200.0,-200,-200.0,-200.0
55,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.40229,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.0835,-200.0,-200.0,-200,-200.0,-200.0
56,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.454506,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
57,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-58.69994,-59.119348,-75.007158,-200.0,-200,-200.0,-200.0
58,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-58.898933,-58.95655,-200.0,-74.97482,-200,-200.0,-200.0
59,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.40779,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-58.964252,-58.866016,-200.0,-200.0,-200,-200.0,-200.0
60,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.39491,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-58.779514,-200.0,-200.0,-200,-200.0,-200.0
61,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.38264,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.149075,-59.119348,-200.0,-200.0,-200,-200.0,-200.0
62,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-59.054028,-58.72654,-200.0,-74.71179,-200,-200.0,-200.0
63,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.646515,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-58.96311,-58.675816,-200.0,-200.0,-200,-200.0,-200.0
64,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-74.928825,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-58.627197,-200.0,-200.0,-200,-200.0,-200.0
65,S08,-200.0,-200,-200.0,-200.0,-72.750805,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-61.32655,-59.119348,-200.0,-74.573364,-200,-200.0,-200.0
