,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,A04,-69.036896,-79.666325,-71.0,-71.0,-65.0,-66.87109000000001,-65.0,-70.73606,-71.0,-75.8307,-88.864835,-88.0,-79.63336,-84.0,-76.27736,-82.01598,-88.79866,-89.09826,-80.0,-85.482704,-200,-83.0,1
1,A04,-68.0,-83.0,-72.00025,-69.499626,-68.976074,-61.0,-67.98422,-70.73606,-71.0,-75.8307,-88.0,-84.99925,-81.0,-87.50088,-75.0,-70.0,-88.79866,-89.09826,-78.489204,-85.482704,-200,-81.499626,1
2,A04,-69.036896,-88.00125,-67.03969000000001,-67.998505,-68.976074,-64.50088,-62.499374,-66.0,-71.0,-75.8307,-88.864835,-83.99867,-84.50088,-83.08936,-72.9995,-71.500374,-88.79866,-89.09826,-80.0,-85.482704,-200,-200.0,1
3,A04,-67.49988,-89.00166,-67.03969000000001,-65.21416,-64.49988,-68.33711,-64.00083,-67.500374,-70.49988,-85.0,-88.864835,-86.495,-79.63336,-87.66739,-73.666885,-74.002335,-88.499626,-87.0,-77.331116,-87.0,-200,-200.0,1
4,A04,-69.036896,-79.666325,-72.33378,-65.21416,-63.9995,-66.87109000000001,-64.25106,-68.667885,-71.33395,-75.8307,-88.50012,-86.495,-79.63336,-88.251564,-76.27736,-82.01598,-86.998505,-85.99975,-75.74557,-87.0,-200,-83.33461,1
5,A04,-69.036896,-79.666325,-72.500626,-67.498,-64.75094,-66.87109000000001,-67.98422,-70.73606,-70.248566,-75.8307,-88.666885,-83.99901,-84.66739,-86.19511,-76.27736,-82.01598,-86.24757,-89.09826,-78.489204,-85.482704,-200,-83.50125,1
6,A04,-68.33395,-79.666325,-67.03969000000001,-67.3981,-68.976074,-71.0075,-67.98422,-67.49887,-71.0,-75.8307,-88.864835,-84.400406,-84.75069,-83.08936,-74.25118,-82.01598,-88.79866,-89.09826,-78.489204,-85.482704,-200,-83.4007,1
7,A04,-68.75119,-79.666325,-67.03969000000001,-67.49888,-64.8009,-70.8054,-64.0001,-67.599396,-71.0,-81.99925,-88.864835,-86.495,-83.7977,-83.08936,-74.0002,-75.25394,-88.79866,-85.66622,-75.79661,-85.482704,-200,-200.0,1
8,A04,-69.036896,-87.248184,-67.03969000000001,-65.21416,-64.834236,-70.67055,-63.665222,-67.666466,-70.1987,-80.99867,-88.864835,-86.495,-79.63336,-83.08936,-76.27736,-82.01598,-88.79866,-85.499374,-75.66323,-85.482704,-200,-83.16618,1
9,A04,-69.036896,-79.666325,-71.999,-67.714714,-64.85807,-66.87109000000001,-67.98422,-70.73606,-71.0,-81.24944,-88.864835,-86.495,-79.63336,-85.82758,-76.27736,-82.01598,-88.79866,-89.09826,-75.711655,-89.33527,-200,-83.14229,1
10,A04,-69.8041,-79.666325,-73.17117,-67.87678,-68.976074,-70.574135,-67.98422,-70.73606,-71.0,-75.8307,-88.864835,-85.84023,-82.99442,-83.08936,-74.33502,-75.403595,-88.79866,-89.09826,-78.489204,-85.482704,-200,-82.87216,1
11,A04,-70.506615,-88.20139,-67.03969000000001,-67.55353,-64.74988,-69.74519,-63.13822,-67.57064,-71.0,-79.19341,-88.864835,-86.495,-81.98874,-83.08936,-73.711716,-77.010315,-88.79866,-89.09826,-78.489204,-85.482704,-200,-200.0,1
12,A04,-70.86512,-89.17225,-67.03969000000001,-65.21416,-64.66562,-68.98726,-62.74252,-67.49869,-70.83515,-78.32388,-88.864835,-86.495,-79.63336,-84.84589,-73.2437,-78.01532,-87.200905,-87.2046,-76.88283,-85.482704,-200,-200.0,1
