,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,H01,-88.0,-73.0,-83.0,-81.88388,-84.837903,-89.87847500000001,-88.0,-89.874626,-89.0,-80.0,-64.524536,-66.0,-78.0,-78.8885925,-87.800235,-200,-200,-200,-200,-77.0,-200,-73.0,3
1,H01,-86.499626,-80.50188,-81.99975,-81.88388,-84.837903,-89.87847500000001,-87.49988,-89.874626,-87.499626,-83.68103,-64.0,-57.709064999999995,-81.00075,-76.0,-87.800235,-200,-200,-200,-200,-82.50137,-200,-74.500374,3
2,H01,-85.99934,-81.00167,-88.005936,-75.0,-84.837903,-89.87847500000001,-89.58095,-89.874626,-89.33461,-80.0,-60.499126,-57.709064999999995,-75.95706799999999,-74.99975,-87.800235,-200,-200,-200,-200,-78.25886,-200,-200.0,2
3,H01,-86.63074499999999,-76.835655,-88.005936,-78.50088,-84.837903,-89.87847500000001,-89.58095,-89.874626,-85.22405499999999,-80.33361,-63.668724,-62.499126,-75.95706799999999,-73.66539,-87.800235,-200,-200,-200,-200,-78.25886,-200,-200.0,3
4,H01,-87.75256,-76.835655,-88.005936,-81.00267,-84.837903,-89.87847500000001,-88.33395,-89.874626,-87.247314,-78.74744,-64.524536,-60.66456,-78.66522,-78.8885925,-87.800235,-200,-200,-200,-200,-83.001335,-200,-80.67205,3
5,H01,-88.404,-78.49688,-88.005936,-81.88388,-84.837903,-89.87847500000001,-88.75119,-89.874626,-85.79351,-83.68103,-64.524536,-57.709064999999995,-77.49688,-74.25006,-87.800235,-200,-200,-200,-200,-83.251434,-200,-82.256805,3
6,H01,-88.503784,-76.835655,-88.005936,-81.50288,-84.837903,-89.87847500000001,-89.58095,-89.874626,-84.82351,-83.68103,-63.000378,-57.709064999999995,-76.79541,-73.9993,-87.800235,-200,-200,-200,-200,-78.25886,-200,-83.20829,3
7,H01,-86.63074499999999,-76.835655,-88.005936,-81.402,-84.837903,-89.87847500000001,-89.58095,-89.874626,-85.22405499999999,-80.00169,-62.398502,-61.499878,-75.95706799999999,-73.99941,-87.800235,-200,-200,-200,-200,-78.25886,-200,-200.0,3
8,H01,-88.0,-76.835655,-88.005936,-81.669556,-84.837903,-89.87847500000001,-89.2023,-89.874626,-85.22405499999999,-80.67113,-61.494633,-63.0044,-75.95706799999999,-78.8885925,-87.800235,-200,-200,-200,-200,-82.3986,-200,-81.331696,3
9,H01,-87.74782,-77.99601,-88.005936,-81.88388,-84.837903,-89.87847500000001,-89.001,-89.874626,-85.280235,-80.718414,-64.524536,-64.343094,-76.66223,-78.8885925,-87.800235,-200,-200,-200,-200,-82.16443,-200,-79.98995,3
10,H01,-87.43906,-78.6664,-88.005936,-81.88388,-84.837903,-89.87847500000001,-89.000854,-89.874626,-85.62318,-83.68103,-60.704594,-57.709064999999995,-76.99837,-73.9995,-87.800235,-200,-200,-200,-200,-82.140785,-200,-78.8564,3
11,H01,-86.63074499999999,-76.835655,-88.005936,-82.292206,-84.837903,-89.87847500000001,-89.58095,-89.874626,-85.22405499999999,-80.24956,-60.994022,-57.709064999999995,-76.87248,-74.25174,-87.800235,-200,-200,-200,-200,-78.25886,-200,-200.0,3
12,H01,-86.63074499999999,-76.835655,-84.001495,-82.88582,-84.837903,-89.87847500000001,-89.58095,-89.874626,-85.22405499999999,-79.77205,-61.219425,-63.143494,-75.95706799999999,-74.44819,-87.800235,-200,-200,-200,-200,-80.73603,-200,-80.3333,2
13,H01,-87.09027,-78.57058,-85.75418,-81.88388,-84.837903,-89.87847500000001,-89.50511,-89.874626,-85.553154,-79.08523,-64.524536,-62.242764,-77.44865,-78.8885925,-88.0,-200,-200,-200,-200,-80.20386,-200,-80.198074,2
14,H01,-87.081924,-77.616,-86.00409,-81.88388,-84.837903,-89.87847500000001,-89.33599,-89.874626,-85.192795,-83.68103,-61.50143,-57.709064999999995,-76.89605,-74.301315,-87.800235,-200,-200,-200,-200,-79.57467,-200,-200.0,3
15,H01,-87.160034,-77.322044,-88.005936,-81.88388,-84.837903,-89.87847500000001,-89.58095,-89.874626,-84.80499,-83.68103,-61.45505,-57.709064999999995,-76.35071,-73.995964,-87.800235,-200,-200,-200,-200,-78.25886,-200,-79.809784,2
16,H01,-86.63074499999999,-76.835655,-88.005936,-82.67391,-84.837903,-89.87847500000001,-89.58095,-89.874626,-85.22405499999999,-78.89236,-61.331253,-61.766018,-75.95706799999999,-73.741066,-87.800235,-200,-200,-200,-200,-78.25886,-200,-200.0,2
17,H01,-87.22625,-77.492226,-87.00798,-82.90982,-84.837903,-89.87847500000001,-89.403336,-89.874626,-85.22405499999999,-79.24184,-64.524536,-62.398266,-76.916435,-78.8885925,-87.800235,-200,-200,-200,-200,-79.706505,-200,-200.0,2
18,H01,-86.8421,-76.89174,-86.431694,-81.88388,-84.837903,-89.87847500000001,-89.181046,-89.874626,-84.39618,-78.98627,-64.524536,-62.268936,-77.31719,-78.8885925,-87.800235,-200,-200,-200,-200,-78.7105,-200,-80.67677,2
19,H01,-86.85298,-76.22031,-87.259895,-81.88388,-84.837903,-89.87847500000001,-88.9104,-89.874626,-84.207275,-83.68103,-61.383972,-57.709064999999995,-77.14687,-74.23448,-87.800235,-200,-200,-200,-200,-78.10265,-200,-80.38692,2
20,H01,-86.63074499999999,-76.835655,-88.005936,-83.38062,-84.837903,-89.87847500000001,-89.58095,-89.874626,-84.04504,-79.20779,-61.355747,-57.709064999999995,-75.95706799999999,-74.58476,-87.800235,-200,-200,-200,-200,-78.25886,-200,-200.0,2
21,H01,-86.63074499999999,-76.835655,-87.23069,-83.77364,-84.837903,-89.87847500000001,-89.075134,-89.874626,-85.22405499999999,-80.02032,-61.193428,-61.90573,-75.95706799999999,-75.440216,-87.800235,-200,-200,-200,-200,-78.16861,-200,-80.13797,2
22,H01,-87.31682,-76.51827,-86.90304,-81.88388,-84.837903,-89.87847500000001,-89.437126,-89.874626,-84.24864,-83.68103,-64.524536,-62.307335,-77.27456,-78.8885925,-87.800235,-200,-200,-200,-200,-78.43261,-200,-79.92175,2
23,H01,-87.35876,-76.847694,-86.63453,-81.88388,-84.837903,-89.87847500000001,-89.82043,-89.874626,-84.2974,-83.68103,-64.524536,-62.505253,-77.45144,-75.99574,-87.800235,-200,-200,-200,-200,-78.66413,-200,-79.73213,2
