,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,S02,-85.811,-66.68101,-87.56451,-85.0,-84.0005,-89.2021,-87.102198,-86.28028,-87.5288475,-78.0,-56.0,-73.54782,-85.0,-68.0,-200,-200,-200,-200,-200,-70.030738,-200,-200.0,3
1,S02,-85.811,-66.68101,-88.0,-81.99925,-84.0005,-89.2021,-87.102198,-86.28028,-87.5288475,-76.99975,-56.500126,-69.0,-76.36520999999999,-65.9995,-200,-200,-200,-200,-200,-69.0,-200,-200.0,3
2,S02,-81.0,-65.0,-87.56451,-80.33144,-84.0005,-89.2021,-87.102198,-86.28028,-88.499626,-76.33261,-60.610607,-66.9995,-82.499374,-71.09179,-200,-200,-200,-200,-200,-74.00125,-200,-200.0,3
3,S02,-82.00025,-66.500374,-87.49988,-74.55948,-84.0005,-89.2021,-81.0,-86.28028,-86.331276,-78.5941575,-61.337444,-70.66939,-78.663055,-65.33244,-200,-200,-200,-200,-200,-73.66722,-200,-84.0,3
4,S02,-85.00267,-69.669556,-87.56451,-79.998,-84.0005,-89.2021,-87.102198,-86.28028,-87.5288475,-78.5941575,-58.748566,-73.54782,-76.49351,-66.000496,-200,-200,-200,-200,-200,-70.030738,-200,-83.49988,3
5,S02,-85.811,-66.68101,-87.56451,-79.19601,-84.0005,-89.2021,-87.102198,-89.499626,-87.5288475,-77.25106,-58.799004,-68.99912,-76.36520999999999,-66.802795,-200,-200,-200,-200,-200,-70.030738,-200,-200.0,3
6,S02,-85.50288,-69.251434,-89.66839,-78.99576,-84.0005,-89.2021,-89.50212,-88.99934,-88.50224,-78.2037,-60.610607,-67.9963,-75.99331,-67.338104,-200,-200,-200,-200,-200,-71.9975,-200,-86.002,3
7,S02,-85.2014,-67.5962,-87.56451,-74.55948,-84.0005,-89.2021,-87.102198,-86.28028,-87.3985,-79.17417,-60.610607,-67.66206,-76.49672,-71.09179,-200,-200,-200,-200,-200,-75.00699,-200,-200.0,3
8,S02,-85.16768,-66.65923,-87.56451,-74.55948,-84.0005,-89.793106,-87.102198,-88.49863,-86.49463,-78.5941575,-58.4978,-73.54782,-76.569084,-68.87111,-200,-200,-200,-200,-200,-76.34525,-200,-84.74931,3
9,S02,-85.811,-65.98931,-87.56451,-79.14015,-84.0005,-88.9906,-87.102198,-87.997406,-86.279724,-79.86805,-58.570007,-68.86092,-76.36520999999999,-69.13954,-200,-200,-200,-200,-200,-70.030738,-200,-200.0,3
10,S02,-85.811,-66.68101,-87.56451,-78.74421,-84.0005,-89.2021,-87.102198,-87.99784,-87.5288475,-79.254234,-58.498135,-69.887184,-76.36520999999999,-69.573326,-200,-200,-200,-200,-200,-75.43291,-200,-200.0,3
11,S02,-85.86249,-66.24284,-87.56451,-78.43585,-84.0005,-89.27952,-87.102198,-86.28028,-85.74009,-79.4504,-60.610607,-69.675125,-75.61469,-71.09179,-200,-200,-200,-200,-200,-73.99132,-200,-85.602,3
12,S02,-85.50156,-66.889755,-89.49446,-74.55948,-84.0005,-89.874725,-89.49663,-86.28028,-85.994026,-78.5941575,-58.89163,-69.40382,-74.98379,-69.31234,-200,-200,-200,-200,-200,-73.992294,-200,-86.338356,3
13,S02,-85.811,-66.90094,-87.56451,-78.18881,-84.0005,-89.66407,-87.102198,-87.71059,-86.29889,-78.5941575,-59.105457,-73.54782,-74.17407,-69.46844,-200,-200,-200,-200,-200,-70.030738,-200,-200.0,3
14,S02,-85.811,-66.68101,-87.56451,-77.708885,-84.0005,-89.4953,-87.102198,-87.242714,-87.5288475,-78.7962,-59.558167,-69.64394,-76.36520999999999,-69.59875,-200,-200,-200,-200,-200,-70.030738,-200,-200.0,3
15,S02,-85.4452,-67.55755,-87.56451,-77.81873,-84.0005,-89.2021,-88.41873,-86.87834,-87.5288475,-78.26009,-60.610607,-69.759315,-74.157974,-71.09179,-200,-200,-200,-200,-200,-73.0803,-200,-200.0,3
16,S02,-85.501465,-67.85043,-87.56451,-74.55948,-84.0005,-89.449486,-87.60939,-86.28028,-86.08626,-78.5941575,-60.610607,-69.77829,-74.14453,-71.09179,-200,-200,-200,-200,-200,-72.24044,-200,-200.0,3
17,S02,-85.64007,-68.098724,-87.56451,-74.55948,-84.0005,-89.41124,-87.091446,-86.28028,-85.993835,-78.5941575,-59.93608,-73.54782,-74.13314,-69.86688,-200,-200,-200,-200,-200,-71.53934,-200,-200.0,3
