,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,CompassString
0,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-87.0,-200,-200,-200,-200,-200,-200,-200,-88.0,-79.82479000000001,-72.0,-68.0,-86.0,-200,-88.68175299999999,-200.0,2
1,U01,-200,-200,-200,-88.0,-89.996865,-88.974365,-83.49912,-200,-200,-200,-200,-200,-200,-200,-83.49888,-82.0,-69.30993,-62.724031499999995,-83.56022250000001,-200,-88.68175299999999,-200.0,2
2,U01,-200,-200,-200,-87.83386,-89.996865,-88.0,-86.88145,-200,-200,-200,-200,-200,-200,-200,-82.99883,-82.0,-69.30993,-62.724031499999995,-83.56022250000001,-200,-88.68175299999999,-200.0,2
3,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-86.88145,-200,-200,-200,-200,-200,-200,-200,-84.84035,-79.82479000000001,-69.30993,-62.724031499999995,-83.56022250000001,-200,-88.68175299999999,-200.0,2
4,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-86.88145,-200,-200,-200,-200,-200,-200,-200,-84.84035,-79.82479000000001,-69.30993,-62.99875,-83.56022250000001,-200,-88.68175299999999,-200.0,2
5,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-86.001495,-200,-200,-200,-200,-200,-200,-200,-84.25131,-79.82479000000001,-72.50012,-62.999165,-83.56022250000001,-200,-88.68175299999999,-200.0,2
6,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-86.88145,-200,-200,-200,-200,-200,-200,-200,-84.84035,-79.82479000000001,-69.30993,-62.724031499999995,-83.56022250000001,-200,-88.68175299999999,-200.0,0
7,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-86.88145,-200,-200,-200,-200,-200,-200,-200,-84.84035,-79.82479000000001,-69.30993,-62.724031499999995,-83.56022250000001,-200,-88.68175299999999,-200.0,0
8,U01,-200,-200,-200,-87.83386,-89.996865,-88.0,-86.88145,-200,-200,-200,-200,-200,-200,-200,-84.84035,-79.82479000000001,-75.00217,-62.4985,-83.9995,-200,-88.68175299999999,-200.0,2
9,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-84.24806,-200,-200,-200,-200,-200,-200,-200,-83.3985,-79.82479000000001,-76.50425,-61.596104,-84.333275,-200,-88.68175299999999,-200.0,1
10,U01,-200,-200,-200,-87.83386,-89.996865,-88.974365,-84.5995,-200,-200,-200,-200,-200,-200,-200,-82.66206,-79.82479000000001,-69.30993,-62.724031499999995,-83.56022250000001,-200,-88.68175299999999,-200.0,1
