,index,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,0,S09,-200,-200,-200,-89.712595,-88.802765,-87.0,-81.0,-86.42895,-88.51128,-200,-200,-200,-200,-200,-87.0,-64.0,-58.61992,-64.914605,-76.04013,-200,-85.0,-88.399284
1,1,S09,-200,-200,-200,-89.712595,-88.999,-88.501495,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-87.0,-65.001,-55.0,-81.0,-76.04013,-200,-83.498505,-88.399284
2,2,S09,-200,-200,-200,-89.712595,-88.99934,-89.67155,-80.61224250000001,-88.0,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.669556,-55.5005,-74.49351,-73.0,-200,-83.686264,-88.399284
3,3,S09,-200,-200,-200,-89.712595,-89.75474,-87.93531,-80.499504,-85.998,-88.51128,-200,-200,-200,-200,-200,-86.66556,-66.25348,-56.002,-71.987366,-75.002,-200,-86.34177,-89.99801
4,4,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-81.00133,-85.32979,-88.51128,-200,-200,-200,-200,-200,-86.24626,-66.25348,-55.749752,-70.48008,-77.00799,-200,-85.24875,-89.24327
5,5,S09,-200,-200,-200,-89.712595,-88.802765,-88.74725,-82.25972,-87.26073,-88.51128,-200,-200,-200,-200,-200,-85.79164,-65.24925,-58.61992,-64.914605,-78.768196,-200,-84.59123,-89.598816
6,6,S09,-200,-200,-200,-89.712595,-88.802765,-87.78646,-80.61224250000001,-86.42895,-89.97087,-200,-200,-200,-200,-200,-85.31789,-65.40119,-54.99084,-70.7877,-76.04013,-200,-85.169716,-88.399284
7,7,S09,-200,-200,-200,-89.712595,-88.802765,-87.31358,-80.61224250000001,-87.00557,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.16341,-54.652985,-70.31461,-79.0175,-200,-83.686264,-88.399284
8,8,S09,-200,-200,-200,-89.712595,-88.802765,-87.121086,-82.00477,-86.665215,-88.51128,-200,-200,-200,-200,-200,-84.97822,-66.25348,-54.85038,-70.415054,-78.84483,-200,-83.686264,-88.98808
9,9,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-82.00396,-86.42119,-88.51128,-200,-200,-200,-200,-200,-84.98104,-65.139465,-55.387054,-70.361374,-78.86757,-200,-85.144844,-88.843285
10,10,S09,-200,-200,-200,-89.712595,-88.802765,-87.88142,-82.149925,-86.23739,-88.51128,-200,-200,-200,-200,-200,-85.21541,-64.992096,-58.61992,-71.13202,-78.8847,-200,-85.25544,-88.60489
11,11,S09,-200,-200,-200,-89.712595,-88.802765,-88.24344,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-85.08704,-65.10909,-55.574295,-64.914605,-76.04013,-200,-83.686264,-88.41858
12,12,S09,-200,-200,-200,-89.712595,-88.802765,-88.42896,-80.61224250000001,-86.32592,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.52003,-55.51364,-71.11807,-78.782,-200,-83.686264,-88.399284
13,13,S09,-200,-200,-200,-89.712595,-88.802765,-88.678764,-81.74254,-86.2915,-88.51128,-200,-200,-200,-200,-200,-85.37006,-66.25348,-55.463737,-71.1066,-78.69941,-200,-84.877525,-88.26876
14,14,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-81.19199,-86.45749,-88.51128,-200,-200,-200,-200,-200,-85.24647,-66.25348,-55.60233,-71.00677,-78.43713,-200,-84.67923,-88.339806
15,15,S09,-200,-200,-200,-89.712595,-88.802765,-88.4371,-80.854866,-86.42895,-88.51128,-200,-200,-200,-200,-200,-85.22566,-65.76098,-58.61992,-64.914605,-78.21727,-200,-84.710396,-88.39936
16,16,S09,-200,-200,-200,-89.712595,-88.802765,-88.48463,-80.577484,-86.42895,-88.51128,-200,-200,-200,-200,-200,-85.446365,-65.78254,-55.635906,-70.75291,-76.04013,-200,-85.007164,-88.36564
17,17,S09,-200,-200,-200,-89.712595,-88.802765,-88.52563,-80.61224250000001,-86.41622,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.800896,-55.58532,-70.29524,-78.283356,-200,-83.686264,-88.399284
18,18,S09,-200,-200,-200,-89.712595,-88.802765,-88.6368,-80.79603,-86.46551,-88.51128,-200,-200,-200,-200,-200,-86.09134,-66.25348,-55.541183,-69.89596,-78.022156,-200,-84.58442,-88.01834
19,19,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-80.9821,-86.508026,-88.51128,-200,-200,-200,-200,-200,-86.44399,-66.69182,-55.502304,-69.40053,-77.64346,-200,-84.14016,-87.71534
20,20,S09,-200,-200,-200,-89.712595,-88.802765,-88.662895,-80.82442,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.41346,-66.338036,-58.61992,-64.914605,-77.453545,-200,-83.75257,-87.44842
21,21,S09,-200,-200,-200,-89.712595,-88.802765,-88.61731,-80.53604,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.452225,-65.95454,-56.086655,-64.914605,-76.04013,-200,-83.48298,-87.41758
22,22,S09,-200,-200,-200,-89.712595,-88.802765,-88.51042,-80.85674,-86.168106,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.751366,-56.213104,-69.16669,-77.21606,-200,-83.686264,-88.399284
23,23,S09,-200,-200,-200,-89.712595,-88.802765,-88.47789,-80.93536,-86.012344,-88.51128,-200,-200,-200,-200,-200,-86.35965,-66.25348,-56.263268,-68.957405,-76.87133,-200,-83.31223,-87.257805
24,24,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-80.61224250000001,-85.942726,-88.51128,-200,-200,-200,-200,-200,-86.21408,-65.50345,-56.308716,-68.83263,-76.56079,-200,-83.09333,-87.11387
25,25,S09,-200,-200,-200,-89.712595,-88.802765,-88.26333,-80.61224250000001,-85.880424,-88.51128,-200,-200,-200,-200,-200,-86.081505,-65.280106,-58.61992,-68.96634,-76.711266,-200,-82.83238,-86.86007
26,26,S09,-200,-200,-200,-89.712595,-88.802765,-88.1278,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.48467,-65.20113,-56.40999,-64.914605,-76.04013,-200,-82.53426,-86.56905
27,27,S09,-200,-200,-200,-89.712595,-88.802765,-88.06208,-80.61224250000001,-85.505554,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.189095,-56.44437,-68.5492,-76.6088,-200,-83.686264,-88.399284
28,28,S09,-200,-200,-200,-89.712595,-88.802765,-88.0017,-81.600525,-85.1659,-88.51128,-200,-200,-200,-200,-200,-86.7982,-66.25348,-56.41911,-68.10928,-76.573326,-200,-82.38251,-86.24452
29,29,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-81.62599,-84.85657,-88.51128,-200,-200,-200,-200,-200,-86.75384,-65.46944,-56.395817,-67.70514,-76.71127,-200,-82.243675,-86.00323
30,30,S09,-200,-200,-200,-89.712595,-89.87923,-87.7793,-81.58737,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.495026,-65.3859,-58.61992,-64.914605,-76.83848,-200,-82.11613,-88.399284
31,31,S09,-200,-200,-200,-89.712595,-89.67197,-87.57355,-81.5522,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.25487,-65.308876,-58.61992,-67.38807,-76.04013,-200,-82.05409,-88.399284
32,32,S09,-200,-200,-200,-89.712595,-89.479126,-87.59634,-80.61224250000001,-85.03974,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.12873,-56.374268,-67.20361,-76.6295,-200,-83.686264,-88.399284
33,33,S09,-200,-200,-200,-89.712595,-89.40266,-87.82761,-81.52002,-85.26487,-88.51128,-200,-200,-200,-200,-200,-86.24148,-66.25348,-56.300846,-66.97902,-76.59586,-200,-81.94226,-85.89189
34,34,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-81.5473,-85.41688,-88.51128,-200,-200,-200,-200,-200,-86.229,-64.96157,-56.23253,-66.77006,-76.61709,-200,-81.785065,-85.84333
35,35,S09,-200,-200,-200,-89.712595,-89.33118,-88.14671,-81.572464,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.37021,-64.91107,-58.61992,-64.914605,-76.74028,-200,-81.6388,-85.79827
36,36,S09,-200,-200,-200,-89.712595,-89.26422,-88.24116,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.65338,-64.86397,-56.168808,-66.62685,-76.04013,-200,-83.686264,-85.70383
37,37,S09,-200,-200,-200,-89.712595,-89.10199,-88.27933,-80.61224250000001,-85.39418,-88.51128,-200,-200,-200,-200,-200,-82.62161,-64.8709,-56.160206,-66.5949,-76.70256,-200,-83.686264,-88.399284
38,38,S09,-200,-200,-200,-89.712595,-88.900345,-87.93531,-81.214645,-85.319695,-88.51128,-200,-200,-200,-200,-200,-86.32271,-66.25348,-56.10185,-66.61528,-76.76782,-200,-81.76087,-85.770836
39,39,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-80.936035,-85.25039,-88.51128,-200,-200,-200,-200,-200,-86.110214,-65.07859,-55.94769,-66.534996,-76.77936,-200,-81.92595,-85.9354
40,40,S09,-200,-200,-200,-89.712595,-89.14854,-88.26544,-80.781845,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.05618,-65.17408,-58.61992,-64.914605,-76.83936,-200,-81.97997,-86.08955
41,41,S09,-200,-200,-200,-89.712595,-89.334274,-88.154076,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.00525,-65.312996,-56.196053,-66.55785,-76.04013,-200,-82.42827,-86.333595
42,42,S09,-200,-200,-200,-89.712595,-89.36611,-88.09791,-80.61224250000001,-85.23744,-88.51128,-200,-200,-200,-200,-200,-82.62161,-65.54111,-56.283848,-66.433365,-77.33386,-200,-83.686264,-88.399284
43,43,S09,-200,-200,-200,-89.712595,-89.396194,-88.33431,-80.68973,-85.174385,-88.51128,-200,-200,-200,-200,-200,-86.05282,-66.25348,-56.511288,-66.267784,-77.70356,-200,-82.456375,-86.612144
44,44,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-80.55266,-85.16561,-88.51128,-200,-200,-200,-200,-200,-86.09777,-65.611465,-56.67813,-66.11151,-77.861206,-200,-82.434166,-86.82569
45,45,S09,-200,-200,-200,-89.712595,-89.47178,-88.31832,-80.42426,-85.35618,-88.51128,-200,-200,-200,-200,-200,-86.14029,-65.77351,-58.61992,-64.914605,-78.01018,-200,-82.365,-86.93055
46,46,S09,-200,-200,-200,-89.712595,-89.54334,-88.49305,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.2742,-65.92664,-58.61992,-64.914605,-76.04013,-200,-82.34754,-87.31646
47,47,S09,-200,-200,-200,-89.712595,-89.65771,-88.658325,-80.25408,-85.387825,-88.51128,-200,-200,-200,-200,-200,-82.62161,-66.02436,-56.788326,-65.963844,-78.43386,-200,-83.686264,-88.399284
48,48,S09,-200,-200,-200,-89.712595,-89.67355,-88.95529,-80.09412,-85.271614,-88.51128,-200,-200,-200,-200,-200,-86.26144,-66.25348,-56.89256,-65.824165,-78.78817,-200,-82.33105,-87.443825
49,49,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-79.992195,-85.21029,-88.51128,-200,-200,-200,-200,-200,-86.24933,-66.25348,-56.99125,-65.69191,-78.98425,-200,-82.315445,-87.61142
50,50,S09,-200,-200,-200,-89.712595,-89.6886,-87.93531,-79.94434,-85.10459,-88.51128,-200,-200,-200,-200,-200,-86.37608,-66.07005,-58.61992,-64.914605,-79.17021,-200,-82.300674,-87.81693
51,51,S09,-200,-200,-200,-89.712595,-89.70288,-89.05048,-80.1383,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.49646,-66.06679,-57.131325,-65.47348,-76.04013,-200,-83.686264,-88.01167
52,52,S09,-200,-200,-200,-89.712595,-89.71645,-89.04815,-80.61224250000001,-85.14709,-88.51128,-200,-200,-200,-200,-200,-82.62161,-66.0637,-57.264164,-65.31263,-79.16237,-200,-83.686264,-88.399284
53,53,S09,-200,-200,-200,-89.712595,-89.86591,-88.99985,-79.98936,-85.093025,-88.51128,-200,-200,-200,-200,-200,-86.47378,-66.25348,-57.390236,-65.20606,-79.338425,-200,-82.56601,-88.10375
54,54,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-79.801346,-85.08867,-88.51128,-200,-200,-200,-200,-200,-86.45221,-66.25348,-57.41821,-65.150734,-79.55141,-200,-82.72503,-88.23721
55,55,S09,-200,-200,-200,-89.712595,-89.962715,-88.95398,-79.62334,-86.42895,-88.51128,-200,-200,-200,-200,-200,-86.431694,-66.15293,-58.61992,-64.914605,-79.799416,-200,-82.783775,-88.36396
56,56,S09,-200,-200,-200,-89.712595,-89.9644,-88.956085,-80.61224250000001,-86.42895,-88.51128,-200,-200,-200,-200,-200,-82.62161,-66.14591,-57.3991,-65.05247,-76.04013,-200,-83.686264,-88.399284
57,57,S09,-200,-200,-200,-89.712595,-89.875824,-89.0036,-79.827095,-85.131096,-88.51128,-200,-200,-200,-200,-200,-82.62161,-66.09355,-57.517487,-64.95904,-79.85388,-200,-83.686264,-88.399284
58,58,S09,-200,-200,-200,-89.712595,-89.79146,-87.93531,-79.788795,-85.07872,-88.51128,-200,-200,-200,-200,-200,-86.36695,-66.25348,-57.675465,-64.87017,-79.86049,-200,-82.79369,-88.62147
59,59,S09,-200,-200,-200,-89.712595,-88.802765,-87.93531,-79.660286,-85.029015,-88.51128,-200,-200,-200,-200,-200,-86.3504,-66.25348,-57.871025,-64.74038,-79.776596,-200,-82.84881,-88.82077
60,60,S09,-200,-200,-200,-89.712595,-89.75595,-89.09416,-79.53824,-85.30293,-88.51128,-200,-200,-200,-200,-200,-86.46957,-66.08929,-58.61992,-64.914605,-79.74167,-200,-82.85569,-88.96499
