,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A01,-200.0,-200.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.87477,-200.0,-200.0,-70.0,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
1,A01,-200.0,-200.0,-200.0,-63.999,-200.0,-200.0,-200.0,-200.0,-200.0,-68.87477,-200.0,-200.0,-68.999,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
2,A01,-200.0,-200.0,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-69.67775,-57.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
3,A01,-200.0,-200.0,-200.0,-65.67155,-200.0,-200.0,-68.497505,-200.0,-200.0,-200.0,-200.0,-200.0,-69.67775,-55.999,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
4,A01,-200.0,-200.0,-200.0,-66.25772,-200.0,-200.0,-67.99667,-200.0,-200.0,-200.0,-200.0,-200.0,-68.66489,-55.330452,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
5,A01,-200.0,-63.141058,-200.0,-67.82468,-200.0,-200.0,-200.0,-200.0,-200.0,-68.32779,-200.0,-200.0,-200.0,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
6,A01,-200.0,-63.141058,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-66.98654,-200.0,-200.0,-200.0,-55.75075,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
7,A01,-200.0,-200.0,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-66.17971,-200.0,-200.0,-66.808784,-56.408363,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
8,A01,-200.0,-68.63028,-200.0,-67.85442,-200.0,-200.0,-200.0,-200.0,-200.0,-65.80981,-200.0,-200.0,-200.0,-56.67847,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
9,A01,-200.0,-68.160774,-200.0,-67.58267,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.83681,-58.191013,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
10,A01,-200.0,-63.141058,-200.0,-66.86066,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.85792,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
11,A01,-200.0,-63.141058,-200.0,-66.64466,-200.0,-200.0,-200.0,-200.0,-200.0,-65.98422,-200.0,-200.0,-200.0,-58.554302,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
12,A01,-200.0,-67.097336,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-66.24493,-200.0,-200.0,-200.0,-58.83821,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
13,A01,-200.0,-66.347755,-200.0,-66.68219,-200.0,-200.0,-200.0,-200.0,-200.0,-66.44866,-200.0,-200.0,-200.0,-59.27776,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
14,A01,-200.0,-65.63385,-200.0,-66.61591,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.37554,-59.83373,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
15,A01,-200.0,-64.85496,-200.0,-66.28971,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.25145,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
16,A01,-200.0,-63.141058,-200.0,-66.01196,-200.0,-200.0,-200.0,-200.0,-200.0,-66.50689,-200.0,-200.0,-200.0,-60.299797,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
17,A01,-200.0,-64.27621,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-66.74912,-200.0,-200.0,-200.0,-60.69663,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
18,A01,-200.0,-63.776913,-200.0,-66.24967,-200.0,-200.0,-200.0,-200.0,-200.0,-66.95218,-200.0,-200.0,-200.0,-61.03898,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
19,A01,-200.0,-63.190502,-200.0,-66.457054,-200.0,-200.0,-200.0,-200.0,-200.0,-68.87477,-200.0,-200.0,-200.0,-61.41306,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
20,A01,-200.0,-63.141058,-200.0,-66.496056,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.48445,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
21,A01,-200.0,-63.141058,-200.0,-66.737,-200.0,-200.0,-200.0,-200.0,-200.0,-67.46279,-200.0,-200.0,-200.0,-61.455227,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
22,A01,-200.0,-63.320503,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.7607,-61.423923,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
23,A01,-200.0,-63.435997,-200.0,-66.62221,-200.0,-200.0,-200.0,-200.0,-200.0,-68.21406,-200.0,-200.0,-200.0,-61.660263,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
24,A01,-200.0,-63.60545,-200.0,-66.51879,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.17305,-61.87317,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
25,A01,-200.0,-63.141058,-200.0,-66.486786,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.034515,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
26,A01,-200.0,-63.141058,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.970695,-61.880993,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
27,A01,-200.0,-62.993114,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.97245,-61.88812,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
28,A01,-200.0,-62.438305,-200.0,-66.098366,-200.0,-200.0,-200.0,-200.0,-200.0,-68.49788,-200.0,-200.0,-200.0,-61.95291,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
29,A01,-200.0,-62.53182,-200.0,-65.684715,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.79923,-62.637753,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
30,A01,-200.0,-62.675648,-200.0,-65.418396,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.6401,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
31,A01,-200.0,-63.141058,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.54895,-62.71346,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
32,A01,-200.0,-62.40985,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.41018,-62.674618,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
33,A01,-200.0,-62.16477,-200.0,-65.28399,-200.0,-200.0,-200.0,-200.0,-200.0,-68.8827,-200.0,-200.0,-200.0,-62.47829,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
34,A01,-200.0,-61.99247,-200.0,-65.159645,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.6554,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
35,A01,-200.0,-62.153156,-200.0,-64.93741,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.62098,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
36,A01,-200.0,-63.141058,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.53718,-62.61072,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
37,A01,-200.0,-61.935047,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.5098,-62.52745,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
38,A01,-200.0,-61.731613,-200.0,-64.88818,-200.0,-200.0,-200.0,-200.0,-200.0,-69.38055,-200.0,-200.0,-200.0,-62.347687,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
39,A01,-200.0,-61.69433,-200.0,-64.790565,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.73566,-62.078705,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
40,A01,-200.0,-63.141058,-200.0,-64.64835,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.7985,-63.585177,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
41,A01,-200.0,-63.141058,-200.0,-64.515144,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.8084,-61.975395,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
42,A01,-200.0,-61.760002,-200.0,-66.66937,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.817726,-61.976604,-200.0,-200.0,-200,-200,-200.0,-200.0,-200,-200.0
