,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-60.0,-200.0,-200.0,-62.72021,-200,-70.0,-200.0
1,H02,-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.144703,-200.0,-200.0,-62.72021,-200,-200.0,-200.0
2,H02,-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.665558,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.006,-200.0,-200.0,-67.0,-200,-200.0,-200.0
3,H02,-65.33777,-200.0,-200.0,-200.0,-200.0,-200.0,-65.981926,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.00399,-200.0,-200.0,-200.0,-200,-66.77661,-200.0
4,H02,-200.0,-200.0,-200.0,-65.66156,-200.0,-200.0,-65.51196,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.75124,-200.0,-200.0,-67.0,-200,-200.0,-200.0
5,H02,-200.0,-200.0,-200.0,-64.99152,-200.0,-200.0,-65.00357,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.599205,-200.0,-200.0,-62.72021,-200,-200.0,-200.0
6,H02,-65.00099,-200.0,-200.0,-200.0,-200.0,-200.0,-64.49385,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.144703,-200.0,-200.0,-62.72021,-200,-200.0,-200.0
7,H02,-64.7984,-200.0,-200.0,-64.79085,-200.0,-200.0,-63.981853,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.19456,-200.0,-200.0,-200.0,-200,-200.0,-200.0
8,H02,-64.83261,-200.0,-200.0,-64.82635,-200.0,-200.0,-65.981926,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.57988,-200.0,-200.0,-200.0,-200,-200.0,-200.0
9,H02,-64.85714,-200.0,-200.0,-64.85179,-200.0,-200.0,-63.725536,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.85822,-200.0,-200.0,-200.0,-200,-200.0,-200.0
10,H02,-200.0,-200.0,-200.0,-64.870964,-200.0,-200.0,-64.10566,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.52642,-200.0,-200.0,-67.14541,-200,-200.0,-200.0
11,H02,-64.61696,-200.0,-200.0,-200.0,-200.0,-200.0,-63.988888,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.144703,-200.0,-200.0,-62.72021,-200,-200.0,-200.0
12,H02,-64.42925,-200.0,-200.0,-64.4216,-200.0,-200.0,-63.989967,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.47082,-200.0,-200.0,-200.0,-200,-200.0,-200.0
13,H02,-64.595146,-200.0,-200.0,-64.69392,-200.0,-200.0,-65.981926,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-65.23076,-200.0,-200.0,-200.0,-200,-200.0,-200.0
14,H02,-200.0,-200.0,-200.0,-65.59808,-200.0,-200.0,-63.900658,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-64.21759,-200.0,-200.0,-66.25221,-200,-200.0,-200.0
15,H02,-200.0,-200.0,-200.0,-66.446266,-200.0,-200.0,-63.824615,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.43936,-200.0,-200.0,-66.32487,-200,-200.0,-200.0
16,H02,-65.80039,-200.0,-200.0,-200.0,-200.0,-200.0,-63.679462,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.144703,-200.0,-200.0,-62.72021,-200,-200.0,-200.0
17,H02,-66.90096,-200.0,-200.0,-200.0,-200.0,-200.0,-63.628227,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.68843,-200.0,-200.0,-66.29556,-200,-200.0,-200.0
18,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.981926,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-62.259502,-200.0,-200.0,-66.01733,-200,-66.77661,-200.0
