,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S03,-200.0,-63.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-59.464897,-66.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-63.0,-200,-200
1,S03,-200.0,-63.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-59.464897,-200.0,-200.0,-65.0,-200.0,-200,-200,-200,-200,-63.5005,-200,-200
2,S03,-200.0,-62.665558,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.0,-200.0,-200.0,-65.500496,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
3,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.0,-68.02071,-200.0,-64.99867,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
4,S03,-200.0,-64.76371,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-61.672215,-64.99801,-200.0,-64.99901,-200.0,-200,-200,-200,-200,-200.0,-200,-200
5,S03,-200.0,-65.4187,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-59.464897,-64.99851,-200.0,-200.0,-200.0,-200,-200,-200,-200,-66.51146,-200,-200
6,S03,-200.0,-65.85676,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-59.464897,-64.99882,-200.0,-65.80877,-200.0,-200,-200,-200,-200,-200.0,-200,-200
7,S03,-200.0,-65.87775,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.49601,-68.02071,-200.0,-66.18063,-200.0,-200,-200,-200,-200,-200.0,-200,-200
8,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.598015,-68.02071,-200.0,-66.300705,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
9,S03,-200.0,-66.41089,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-61.514755,-66.01724,-200.0,-66.779144,-200.0,-200,-200,-200,-200,-200.0,-200,-200
10,S03,-200.0,-66.82753,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-62.318577,-66.16126,-200.0,-200.0,-200.0,-200,-200,-200,-200,-67.50804,-200,-200
11,S03,-200.0,-67.16258,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-59.464897,-66.528404,-200.0,-200.0,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
12,S03,-200.0,-67.3411,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-62.148045,-200.0,-200.0,-67.97106,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
13,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-61.434345,-68.02071,-200.0,-67.97388,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
14,S03,-200.0,-67.7614,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.543556,-67.04749,-200.0,-200.0,-200.0,-200,-200,-200,-200,-67.403435,-200,-200
15,S03,-200.0,-68.11926,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.879383,-67.35932,-200.0,-200.0,-200.0,-200,-200,-200,-200,-67.461395,-200,-200
16,S03,-200.0,-68.427986,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-59.464897,-67.42157,-200.0,-200.0,-200.0,-200,-200,-200,-200,-67.6002,-200,-200
17,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.52941,-68.02071,-200.0,-68.84216,-200.0,-200,-200,-200,-200,-67.88724,-200,-200
18,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.147,-67.92482,-200.0,-69.08028,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
19,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.05575,-68.26888,-200.0,-69.43372,-200.0,-200,-200,-200,-200,-68.771286,-200,-200
20,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.202354,-68.565704,-200.0,-69.48598,-200.0,-200,-200,-200,-200,-69.09014,-200,-200
21,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-59.464897,-68.74926,-200.0,-69.48598,-200.0,-200,-200,-200,-200,-69.299194,-200,-200
22,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.403343,-68.02071,-200.0,-69.74773,-200.0,-200,-200,-200,-200,-70.17257,-200,-200
23,S03,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.444374,-68.62359,-200.0,-70.09485,-200.0,-200,-200,-200,-200,-67.332985,-200,-200
24,S03,-200.0,-70.18433,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.28283,-68.5807,-200.0,-70.2163,-200.0,-200,-200,-200,-200,-200.0,-200,-200
25,S03,-200.0,-70.29305,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-60.073555,-68.47624,-200.0,-69.48598,-200.0,-200,-200,-200,-200,-200.0,-200,-200
