,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-66.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.75795,-200.0,-200.0,-57.0,-200.0,-200.0,-200.0
1,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-63.998,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-66.0,-200.0,-200.0,-57.0,-200.0,-200.0,-200.0
2,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.331116,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-67.001,-200.0,-200.0,-60.0305135,-200.0,-66.66489,-200.0
3,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.623205999999996,-64.333115,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.003326,-200.0,-67.46731,-200.0
4,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.499504,-64.75275,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-59.009468,-200.0,-65.99401,-200.0
5,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.6008,-65.40996,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.75795,-200.0,-200.0,-59.007553,-200.0,-200.0,-200.0
6,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.838253,-66.52831,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-59.175976,-200.0,-65.49025,-200.0
7,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.155045,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-70.6834,-200.0,-200.0,-60.0305135,-200.0,-65.271866,-200.0
8,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.623205999999996,-66.45089,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.857105,-200.0,-67.46731,-200.0
9,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.393654,-67.42723,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.746254,-200.0,-65.49536,-200.0
10,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.8123,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.75795,-200.0,-200.0,-58.891796,-200.0,-65.55394,-200.0
11,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.254585,-67.12831,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-59.00884,-200.0,-65.91789,-200.0
12,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.715645,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.647026,-200.0,-200.0,-60.0305135,-200.0,-66.70314,-200.0
13,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.623205999999996,-67.407326,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-59.882412,-200.0,-67.46731,-200.0
14,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.65108,-67.73144,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-59.98323,-200.0,-66.45928,-200.0
15,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.59611,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.75795,-200.0,-200.0,-59.900215,-200.0,-67.011505,-200.0
16,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.628235,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.572845,-200.0,-200.0,-59.749046,-200.0,-67.09014,-200.0
17,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.957886,-200.0,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-71.60683,-200.0,-200.0,-60.0305135,-200.0,-67.08334,-200.0
18,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.623205999999996,-67.61088,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-59.466354,-200.0,-67.46731,-200.0
19,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.81722,-67.41401,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-59.289165,-200.0,-67.6521,-200.0
20,H02,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.69226,-67.45611,-200.0,-200.0,-200,-200,-200.0,-200.0,-200.0,-63.75795,-200.0,-200.0,-59.26928,-200.0,-200.0,-200.0
