,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,S02,-200.0,-69.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.0,-61.0,-200.0,-68.80610999999999,-200,-200,-200,-200,-200.0,-69.0,-200,-200.0
1,S02,-200.0,-68.499504,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.0,-62.001,-200.0,-68.80610999999999,-200,-200,-200,-200,-200.0,-200.0,-200,-200.0
2,S02,-200.0,-67.329124,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.0,-63.67288,-200.0,-200.0,-200,-200,-200,-200,-200.0,-70.67221,-200,-200.0
3,S02,-200.0,-66.491035,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-57.4995,-200.0,-200.0,-68.497505,-200,-200,-200,-200,-200.0,-67.36478,-200,-200.0
4,S02,-200.0,-65.12827,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-57.66689,-65.013954,-200.0,-67.66223,-200,-200,-200,-200,-200.0,-200.0,-200,-200.0
5,S02,-200.0,-66.59405,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.002495,-66.02308,-200.0,-68.75424,-200,-200,-200,-200,-200.0,-200.0,-200,-200.0
6,S02,-200.0,-66.49323,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-58.0,-67.037384,-200.0,-68.80610999999999,-200,-200,-200,-200,-200.0,-200.0,-200,-200.0
7,S02,-200.0,-66.42095,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-57.192432,-70.2391075,-200.0,-68.3992,-200,-200,-200,-200,-200.0,-200.0,-200,-200.0
8,S02,-200.0,-66.36651,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-57.499184,-200.0,-200.0,-68.50116,-200,-200,-200,-200,-200.0,-67.36478,-200,-200.0
9,S02,-200.0,-65.12827,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-57.719116,-67.471535,-200.0,-68.57426,-200,-200,-200,-200,-200.0,-200.0,-200,-200.0
10,S02,-200.0,-66.32396,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-57.884773,-67.53989,-200.0,-68.62932,-200,-200,-200,-200,-200.0,-200.0,-200,-200.0
