,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-75.0,-78.0,-70.53685,-59.126089,-200.0,-200,-200.0,-200.0
1,U01,-200.0,-200,-200.0,-200.0,-200.0,-81.500496,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-80.002,-76.0,-57.0,-200.0,-200,-200.0,-200.0
2,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-79.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.666885,-75.499504,-55.999,-200.0,-200,-200.0,-200.0
3,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-76.501495,-77.89954,-74.329124,-56.333775,-200.0,-200,-200.0,-200.0
4,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-77.66489,-200.0,-200.0,-200,-200,-200,-200,-200,-75.99933,-200.0,-70.53685,-56.24975,-200.0,-200,-200.0,-200.0
5,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-78.504486,-200.0,-200.0,-200,-200,-200,-200,-200,-75.24426,-200.0,-70.53685,-59.126089,-200.0,-200,-200.0,-200.0
6,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.83028,-73.491035,-56.80637,-79.70224,-200,-200.0,-200.0
7,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-77.623505,-77.89954,-72.98688,-56.83923,-200.0,-200,-200.0,-200.0
8,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-78.87533,-77.89954,-73.158806,-56.86279,-200.0,-200,-200.0,-200.0
9,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-79.58953,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.12244,-70.53685,-56.751205,-200.0,-200,-200.0,-200.0
10,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-78.58928,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0
11,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-78.520874,-73.7217,-57.708775,-200.0,-200,-200.0,-200.0
12,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-79.818115,-78.7827,-73.628365,-57.5283,-200.0,-200,-200.0,-200.0
13,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-80.04855,-77.89954,-73.43933,-56.991177,-200.0,-200,-200.0,-200.0
14,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-79.94668,-78.6095,-70.53685,-56.45069,-200.0,-200,-200.0,-200.0
15,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-78.55451,-70.53685,-59.126089,-79.70224,-200,-200.0,-200.0
16,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-78.67655,-73.1817,-56.497066,-200.0,-200,-200.0,-200.0
17,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-80.90358,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-77.89954,-73.06689,-56.53708,-200.0,-200,-200.0,-200.0
18,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-79.5371,-77.89954,-73.24129,-56.421177,-200.0,-200,-200.0,-200.0
19,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-79.49438,-78.38407,-73.474205,-56.534607,-200.0,-200,-200.0,-200.0
20,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-79.68331,-78.35511,-70.53685,-59.126089,-200.0,-200,-200.0,-200.0
21,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.830025,-78.616974,-72.95916,-56.360313,-200.0,-200,-200.0,-200.0
22,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-80.469,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-79.12467,-72.66062,-56.204323,-200.0,-200,-200.0,-200.0
23,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-79.275,-77.89954,-72.685005,-56.00005,-200.0,-200,-200.0,-200.0
24,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-78.91226,-78.91817,-70.53685,-55.87666,-200.0,-200,-200.0,-200.0
25,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-78.78588,-78.73213,-70.53685,-59.126089,-200.0,-200,-200.0,-200.0
