,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E01,-200.0,-60.0,-200.0,-68.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-68.86401000000001,-200.0,-200.0,-200.0,-200,-200,-200.0,-56.0,-200,-200
1,E01,-200.0,-58.4985,-200.0,-69.501495,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-70.0,-70.0,-200.0,-200.0,-200.0,-200,-200,-200.0,-57.5015,-200,-200
2,E01,-200.0,-57.997337,-200.0,-69.66821,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.499504,-70.11182,-200.0,-200.0,-200,-200,-200.0,-59.00599,-200,-200
3,E01,-200.0,-59.380722,-200.0,-68.996506,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.33777,-68.329124,-200.0,-200.0,-200.0,-200,-200,-200.0,-60.011463,-200,-200
4,E01,-200.0,-58.753242,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.74226,-71.33245,-200.0,-67.742775,-200.0,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
5,E01,-200.0,-59.005573,-200.0,-69.604385,-200.0,-200.0,-200.0,-200.0,-200.0,-70.794426,-200.0,-200.0,-68.86401000000001,-200.0,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
6,E01,-200.0,-59.344036,-200.0,-70.01093,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-66.985275,-200.0,-200.0,-200.0,-200,-200,-200.0,-61.425873,-200,-200
7,E01,-200.0,-59.73325,-200.0,-70.155876,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.47866,-70.11182,-200.0,-200.0,-200,-200,-200.0,-63.05064,-200,-200
8,E01,-200.0,-59.380722,-200.0,-70.911705,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.47468,-200.0,-65.82234,-200.0,-200.0,-200.0,-200,-200,-200.0,-63.922474,-200,-200
9,E01,-200.0,-59.76775,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.81895,-200.0,-65.327995,-70.92323,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
10,E01,-200.0,-59.79471,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.325035,-200.0,-68.86401000000001,-70.4678,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
11,E01,-200.0,-59.81639,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-65.173836,-70.20716,-200.0,-200.0,-200,-200,-200.0,-64.44983,-200,-200
12,E01,-200.0,-59.93139,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.05513,-200.0,-65.049866,-70.11182,-200.0,-200.0,-200,-200,-200.0,-64.86195,-200,-200
13,E01,-200.0,-59.380722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.83808,-200.0,-65.04502,-69.992714,-200.0,-200.0,-200,-200,-200.0,-65.193375,-200,-200
14,E01,-200.0,-59.937576,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.56233,-200.0,-65.04096,-69.5423,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
15,E01,-200.0,-59.942844,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.33117,-200.0,-68.86401000000001,-69.243225,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
16,E01,-200.0,-59.86784,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-65.79736,-69.46253,-200.0,-200.0,-200,-200,-200.0,-65.95186,-200,-200
17,E01,-200.0,-59.8024,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.13435,-200.0,-65.813484,-70.11182,-200.0,-200.0,-200,-200,-200.0,-66.49748,-200,-200
18,E01,-200.0,-59.380722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.964554,-200.0,-65.827545,-69.50306,-200.0,-200.0,-200,-200,-200.0,-66.371056,-200,-200
19,E01,-200.0,-59.601063,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.816414,-200.0,-65.839935,-69.53876,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
20,E01,-200.0,-59.490967,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.763565,-200.0,-68.86401000000001,-69.57047,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
21,E01,-200.0,-59.392433,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-68.86401000000001,-69.86322,-200.0,-200.0,-200,-200,-200.0,-66.50064,-200,-200
22,E01,-200.0,-59.04867,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.642296,-200.0,-65.78217,-70.11182,-200.0,-200.0,-200,-200,-200.0,-66.61369,-200,-200
23,E01,-200.0,-59.380722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.53376,-200.0,-65.79657,-70.44568,-200.0,-200.0,-200,-200,-200.0,-66.49776,-200,-200
24,E01,-200.0,-58.552128,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.37224,-200.0,-65.937035,-70.2948,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
25,E01,-200.0,-58.339428,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-67.10251,-200.0,-68.86401000000001,-70.21727,-200.0,-200.0,-200,-200,-200.0,-66.46353,-200,-200
26,E01,-200.0,-58.436195,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-66.372765,-70.49597,-200.0,-200.0,-200,-200,-200.0,-66.69726,-200,-200
27,E01,-200.0,-58.525093,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.91673,-200.0,-66.88935,-70.11182,-200.0,-200.0,-200,-200,-200.0,-67.0353,-200,-200
28,E01,-200.0,-59.380722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.921585,-200.0,-67.536804,-70.63832,-200.0,-200.0,-200,-200,-200.0,-67.27989,-200,-200
29,E01,-200.0,-58.32918,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.869194,-200.0,-67.90422,-70.76958,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
30,E01,-200.0,-58.147934,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.820885,-200.0,-68.86401000000001,-70.78212,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
31,E01,-200.0,-57.979748,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-68.86401000000001,-70.74033,-200.0,-200.0,-200,-200,-200.0,-67.26314,-200,-200
32,E01,-200.0,-57.77075,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.72175,-200.0,-68.13185,-70.11182,-200.0,-200.0,-200,-200,-200.0,-67.42262,-200,-200
33,E01,-200.0,-59.380722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.62976,-200.0,-68.39688,-70.64893,-200.0,-200.0,-200,-200,-200.0,-67.73968,-200,-200
34,E01,-200.0,-57.472412,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.544174,-200.0,-68.749664,-70.56369,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
35,E01,-200.0,-57.244488,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.516045,-200.0,-68.86401000000001,-70.433044,-200.0,-200.0,-200,-200,-200.0,-68.921265,-200,-200
36,E01,-200.0,-56.9304,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-68.86401000000001,-70.31067,-200.0,-200.0,-200,-200,-200.0,-68.816666,-200,-200
37,E01,-200.0,-56.536266,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.59167,-200.0,-68.86784,-70.11182,-200.0,-200.0,-200,-200,-200.0,-68.719604,-200,-200
38,E01,-200.0,-59.380722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.561905,-200.0,-68.71958,-70.44433,-200.0,-200.0,-200,-200,-200.0,-68.78685,-200,-200
39,E01,-200.0,-56.214954,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.38488,-200.0,-68.580986,-70.422485,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
40,E01,-200.0,-55.912483,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.21848,-200.0,-68.86401000000001,-70.4506,-200.0,-200.0,-200,-200,-200.0,-68.74617,-200,-200
41,E01,-200.0,-55.627354,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.75091,-200.0,-68.85355,-70.57355,-200.0,-200.0,-200,-200,-200.0,-68.60622,-200,-200
42,E01,-200.0,-55.35823,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-66.061844,-200.0,-69.10933,-70.11182,-200.0,-200.0,-200,-200,-200.0,-68.47513,-200,-200
43,E01,-200.0,-59.380722,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.86596,-200.0,-69.153114,-70.4983,-200.0,-200.0,-200,-200,-200.0,-68.35212,-200,-200
44,E01,-200.0,-55.10393,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-65.7289,-200.0,-69.09699,-70.28481,-200.0,-200.0,-200,-200,-200.0,-66.96821,-200,-200
