,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,R03,-72.0,-200.0,-200.0,-69.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-56.6508175,-200.0,-200.0,-200,-200,-200,-200.0,-70.92752250000001,-200,-200
1,R03,-72.0,-200.0,-200.0,-70.001,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-56.0,-200.0,-200.0,-200,-200,-200,-200.0,-70.92752250000001,-200,-200
2,R03,-200.0,-200.0,-200.0,-70.669556,-200.0,-200.0,-200.0,-200.0,-200.0,-65.980446,-74.497505,-200.0,-55.4995,-200.0,-200.0,-200,-200,-200,-200.0,-73.0,-200,-200
3,R03,-200.0,-200.0,-200.0,-68.34308,-200.0,-200.0,-200.0,-200.0,-200.0,-63.665558,-73.66223,-200.0,-54.32912,-200.0,-200.0,-200,-200,-200,-200.0,-72.499504,-200,-200
4,R03,-200.0,-200.0,-200.0,-70.24925,-200.0,-200.0,-200.0,-200.0,-200.0,-62.99452,-200.0,-200.0,-54.498013,-74.22308000000001,-200.0,-200,-200,-200,-200.0,-73.00133,-200,-200
5,R03,-75.81473,-200.0,-200.0,-69.59164,-200.0,-200.0,-200.0,-200.0,-200.0,-62.590847,-200.0,-200.0,-56.6508175,-200.0,-200.0,-200,-200,-200,-200.0,-70.92752250000001,-200,-200
6,R03,-200.0,-72.28774,-200.0,-68.30331,-200.0,-200.0,-200.0,-200.0,-200.0,-62.490578,-200.0,-200.0,-54.397217,-200.0,-200.0,-200,-200,-200,-200.0,-72.497505,-200,-200
7,R03,-200.0,-75.130005,-200.0,-67.3796,-200.0,-200.0,-200.0,-200.0,-200.0,-65.980446,-200.0,-200.0,-55.008625,-200.0,-200.0,-200,-200,-200,-200.0,-72.39682,-200,-200
8,R03,-200.0,-74.81787,-200.0,-68.34308,-200.0,-200.0,-200.0,-200.0,-200.0,-62.272144,-200.0,-200.0,-55.30045,-200.0,-200.0,-200,-200,-200,-200.0,-72.159775,-200,-200
9,R03,-200.0,-200.0,-200.0,-67.589165,-200.0,-200.0,-200.0,-200.0,-200.0,-62.236946,-200.0,-200.0,-55.261593,-74.22308000000001,-200.0,-200,-200,-200,-200.0,-71.550186,-200,-200
10,R03,-200.0,-74.39726,-200.0,-67.520775,-200.0,-200.0,-200.0,-200.0,-200.0,-62.325527,-200.0,-200.0,-56.6508175,-200.0,-200.0,-200,-200,-200,-200.0,-70.92752250000001,-200,-200
11,R03,-200.0,-72.28774,-200.0,-67.57139,-200.0,-200.0,-200.0,-200.0,-200.0,-62.924835,-200.0,-200.0,-56.6508175,-200.0,-200.0,-200,-200,-200,-200.0,-71.22037,-200,-200
12,R03,-200.0,-74.3553,-200.0,-67.9045,-200.0,-200.0,-200.0,-200.0,-200.0,-65.980446,-200.0,-200.0,-55.34731,-200.0,-200.0,-200,-200,-200,-200.0,-71.194786,-200,-200
13,R03,-200.0,-74.029305,-200.0,-68.34308,-200.0,-200.0,-200.0,-200.0,-200.0,-63.320774,-200.0,-200.0,-55.31063,-200.0,-200.0,-200,-200,-200,-200.0,-71.49106,-200,-200
14,R03,-200.0,-73.93645,-200.0,-67.91312,-200.0,-200.0,-200.0,-200.0,-200.0,-63.83312,-200.0,-200.0,-55.280453,-200.0,-200.0,-200,-200,-200,-200.0,-71.734825,-200,-200
15,R03,-200.0,-73.85738,-200.0,-68.00488,-200.0,-200.0,-200.0,-200.0,-200.0,-64.353775,-200.0,-200.0,-56.6508175,-200.0,-200.0,-200,-200,-200,-200.0,-70.92752250000001,-200,-200
16,R03,-200.0,-72.28774,-200.0,-67.924934,-200.0,-200.0,-200.0,-200.0,-200.0,-65.51893,-200.0,-200.0,-55.43558,-200.0,-200.0,-200,-200,-200,-200.0,-70.92752250000001,-200,-200
17,R03,-200.0,-72.28774,-200.0,-67.77979,-200.0,-200.0,-200.0,-200.0,-200.0,-65.980446,-200.0,-200.0,-55.56766,-200.0,-200.0,-200,-200,-200,-200.0,-71.30768,-200,-200
