,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A05,-200.0,-200.0,-200.0,-66.27257750000001,-61.0,-61.0,-200.0,-63.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
1,A05,-200.0,-200.0,-200.0,-66.27257750000001,-61.5005,-62.243447,-200.0,-65.502495,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-63.4995,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
2,A05,-200.0,-200.0,-200.0,-66.0,-63.00532,-62.243447,-200.0,-67.00665,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
3,A05,-200.0,-200.0,-200.0,-63.497505,-64.01096,-58.998,-200.0,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-62.66356,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
4,A05,-200.0,-200.0,-200.0,-62.32779,-200.0,-58.329784,-63.46606,-65.746254,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-61.993023,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
5,A05,-200.0,-200.0,-200.0,-61.993526,-64.41353,-58.49851,-200.0,-64.583275,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-61.387264,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
6,A05,-200.0,-200.0,-200.0,-66.27257750000001,-64.68276,-62.243447,-200.0,-64.31459,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.982136,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
7,A05,-200.0,-200.0,-200.0,-62.197227,-64.87579,-58.600006,-200.0,-63.828865,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
8,A05,-200.0,-200.0,-200.0,-62.33346,-64.89186,-58.667885,-200.0,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.83821,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
9,A05,-200.0,-200.0,-200.0,-62.43114,-200.0,-58.42347,-63.46606,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.60047,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
10,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.13659,-58.11004,-200.0,-63.721664,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.29859,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
11,A05,-200.0,-200.0,-200.0,-63.022038,-65.33339,-62.243447,-200.0,-63.63789,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.950214,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
12,A05,-200.0,-200.0,-200.0,-62.903393,-65.300995,-57.981182,-200.0,-63.57052,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
13,A05,-200.0,-200.0,-200.0,-63.01921,-65.183624,-57.877556,-200.0,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.760735,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
14,A05,-200.0,-200.0,-200.0,-63.114502,-200.0,-57.792294,-63.46606,-63.806564,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.692104,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
15,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.59026,-57.81103,-200.0,-63.91423,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.63367,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
16,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.46375,-62.243447,-200.0,-64.0059,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.503704,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
17,A05,-200.0,-200.0,-200.0,-62.83353,-65.42878,-58.671272,-200.0,-64.08498,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
18,A05,-200.0,-200.0,-200.0,-62.678726,-65.541664,-58.538315,-63.46606,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.39032,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
19,A05,-200.0,-200.0,-200.0,-62.62473,-200.0,-58.42232,-63.46606,-64.53099,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.362278,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
20,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.50442,-58.60751,-200.0,-64.63653,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.337364,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
21,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.471085,-62.243447,-200.0,-64.66152,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.381157,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
22,A05,-200.0,-200.0,-200.0,-62.502216,-65.95105,-62.243447,-200.0,-64.68389,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
23,A05,-200.0,-200.0,-200.0,-62.466133,-66.69438,-58.496967,-200.0,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.356857,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
24,A05,-200.0,-200.0,-200.0,-62.43408,-200.0,-58.530212,-63.46606,-64.95904,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.334843,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
25,A05,-200.0,-200.0,-200.0,-66.27257750000001,-66.712685,-58.49641,-200.0,-64.96157,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.314793,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
26,A05,-200.0,-200.0,-200.0,-62.603657,-66.61288,-62.243447,-200.0,-64.96387,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.296448,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
27,A05,-200.0,-200.0,-200.0,-62.692673,-66.57803,-58.404095,-200.0,-64.9077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
28,A05,-200.0,-200.0,-200.0,-62.89671,-66.545906,-58.26014,-200.0,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.165897,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
29,A05,-200.0,-200.0,-200.0,-63.022655,-200.0,-58.128433,-63.46606,-64.91295,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.101097,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
30,A05,-200.0,-200.0,-200.0,-63.312702,-66.46174,-58.064285,-200.0,-64.917786,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.20448,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
31,A05,-200.0,-200.0,-200.0,-66.27257750000001,-66.330215,-62.243447,-200.0,-64.81338,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.407265,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
32,A05,-200.0,-200.0,-200.0,-63.351772,-66.15532,-62.243447,-200.0,-64.71649,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
33,A05,-200.0,-200.0,-200.0,-63.3878,-65.94049,-58.394173,-200.0,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.49091,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
34,A05,-200.0,-200.0,-200.0,-63.638897,-200.0,-58.59048,-63.46606,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.51723,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
35,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.994484,-58.77264,-200.0,-64.7839,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.592796,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
36,A05,-200.0,-200.0,-200.0,-63.604763,-65.944466,-62.243447,-200.0,-65.00186,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.613277,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
37,A05,-200.0,-200.0,-200.0,-63.678036,-65.89753,-62.243447,-200.0,-65.51138,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
38,A05,-200.0,-200.0,-200.0,-63.849777,-65.902565,-59.1522,-63.46606,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.731895,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
39,A05,-200.0,-200.0,-200.0,-63.95936,-200.0,-59.609615,-63.46606,-65.98865,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.695915,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
40,A05,-200.0,-200.0,-200.0,-200.0,-65.80997,-59.935284,-65.61974,-66.08861,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.613377,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
41,A05,-200.0,-200.0,-200.0,-200.0,-65.72268,-62.243447,-65.097694,-66.23173,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.06605,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
42,A05,-200.0,-200.0,-200.0,-64.1626,-65.68812,-60.340927,-64.55759,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
43,A05,-200.0,-200.0,-200.0,-64.403015,-65.89275,-60.622177,-64.19312,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.015068,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
44,A05,-200.0,-200.0,-200.0,-64.678154,-200.0,-60.98486,-63.46606,-66.3913,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.966892,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
45,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.80355,-61.472282,-63.70565,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.968452,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
46,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.672264,-62.243447,-63.292484,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.876274,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
47,A05,-200.0,-200.0,-200.0,-64.79115,-65.54786,-61.449505,-62.901672,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
48,A05,-200.0,-200.0,-200.0,-64.994125,-65.42988,-61.42801,-62.53165,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-59.928593,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
49,A05,-200.0,-200.0,-200.0,-65.23353,-200.0,-61.360237,-63.46606,-66.81883,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.024513,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
50,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.31791,-61.43752,-62.181015,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.06946,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
51,A05,-200.0,-200.0,-200.0,-65.22244,-65.21158,-62.243447,-61.848484,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.0204,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
52,A05,-200.0,-200.0,-200.0,-65.21195,-65.06485,-61.41703,-61.62506,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
53,A05,-200.0,-200.0,-200.0,-65.20203,-65.0619,-61.44417,-61.321133,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.06516,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
54,A05,-200.0,-200.0,-200.0,-65.19262,-200.0,-61.46991,-63.46606,-67.34524,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.06219,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
55,A05,-200.0,-200.0,-200.0,-66.27257750000001,-64.96836,-61.54042,-61.123707,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.104733,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
56,A05,-200.0,-200.0,-200.0,-66.27257750000001,-64.924576,-62.243447,-60.890484,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.054775,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
57,A05,-200.0,-200.0,-200.0,-65.23,-64.88288,-62.243447,-60.714,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
58,A05,-200.0,-200.0,-200.0,-65.31157,-64.888145,-61.60738,-60.59127,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.052303,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
59,A05,-200.0,-200.0,-200.0,-65.34315,-200.0,-61.67101,-63.46606,-67.458046,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.18487,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
60,A05,-200.0,-200.0,-200.0,-66.27257750000001,-65.1175,-61.68598,-60.56461,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.490646,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
61,A05,-200.0,-200.0,-200.0,-65.73867,-65.33609,-62.243447,-60.359318,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.91637,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
62,A05,-200.0,-200.0,-200.0,-65.93264,-65.58915,-61.654865,-60.118862,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
63,A05,-200.0,-200.0,-200.0,-66.02643,-65.83046,-61.715694,-59.979233,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.786064,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
64,A05,-200.0,-200.0,-200.0,-66.74877,-200.0,-61.77361,-63.46606,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.70641,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
65,A05,-200.0,-200.0,-200.0,-66.27257750000001,-66.10515,-61.78379,-59.846123,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.764004,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
66,A05,-200.0,-200.0,-200.0,-66.27257750000001,-66.23384,-62.243447,-59.719193,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.90786,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
67,A05,-200.0,-200.0,-200.0,-66.80519,-66.44543,-61.83836,-59.553604,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
68,A05,-200.0,-200.0,-200.0,-66.76898,-66.64736,-61.800827,-59.48454,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.823162,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
69,A05,-200.0,-200.0,-200.0,-66.73448,-200.0,-61.809727,-63.46606,-67.67934,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.74233,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
70,A05,-200.0,-200.0,-200.0,-66.7016,-67.06155,-61.86281,-59.329845,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.75374,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
71,A05,-200.0,-200.0,-200.0,-67.29576,-67.280014,-62.243447,-59.137875,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.720394,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
72,A05,-200.0,-200.0,-200.0,-200.0,-67.44442,-62.18058,-58.910343,-67.16648,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-64.21028749999999,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
73,A05,-200.0,-200.0,-200.0,-200.0,-67.55726,-62.17255,-58.693123,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.73275,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
74,A05,-200.0,-200.0,-200.0,-200.0,-67.69843,-62.209282,-63.46606,-67.439695,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.700394,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
75,A05,-200.0,-200.0,-200.0,-66.27257750000001,-200.0,-62.200005,-58.66249,-67.4691,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.66949,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
76,A05,-200.0,-200.0,-200.0,-200.0,-67.85423,-62.243447,-58.589085,-67.6253,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-60.639977,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
