,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E03,-69.0,-200.0,-200.0,-200.0,-67.0,-66.0,-200.0,-65.53327,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-71.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
1,E03,-200.0,-200.0,-68.0,-66.0,-65.498505,-63.998,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-70.499504,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
2,E03,-200.0,-200.0,-68.0,-66.0,-64.997345,-63.664227,-67.4945,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
3,E03,-200.0,-200.0,-68.668884,-66.33444,-65.75325,-67.77667,-200.0,-68.32446,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0
4,E03,-200.0,-200.0,-69.00398,-66.50199,-200.0,-200.0,-71.26371,-66.732315,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.77651,-200.0,-200.0,-200.0
5,E03,-200.0,-200.0,-70.01513,-66.60278,-200.0,-200.0,-71.210335,-66.5841,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.79621,-200.0,-200.0,-200.0
6,E03,-200.0,-200.0,-71.00731,-200.0,-66.410355,-200.0,-71.00494,-65.53327,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.1399,-200.0,-200.0,-200.0
7,E03,-200.0,-200.0,-71.00731,-68.197525,-67.18923,-200.0,-200.0,-66.99409,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.23991,-200.0,-200.0,-200.0
8,E03,-200.0,-200.0,-70.691376,-68.90129,-67.89421,-200.0,-200.0,-66.1157,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.820885,-200.0,-200.0,-200.0
9,E03,-200.0,-200.0,-71.17623,-68.78472,-69.977196,-200.0,-200.0,-65.324745,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.377335,-200.0,-200.0,-200.0
10,E03,-200.0,-200.0,-71.54143,-68.46146,-200.0,-200.0,-71.69622,-64.82271,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.91502,-200.0,-200.0,-200.0
11,E03,-200.0,-200.0,-71.94292,-200.0,-70.3281,-200.0,-72.995674,-65.53327,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.1399,-200.0,-200.0,-200.0
12,E03,-200.0,-200.0,-71.00731,-68.940796,-70.61029,-200.0,-200.0,-65.26389,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.631805,-200.0,-200.0,-200.0
13,E03,-200.0,-200.0,-72.26579,-68.94655,-70.74531,-200.0,-200.0,-65.23825,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.4846,-200.0,-200.0,-200.0
14,E03,-200.0,-200.0,-72.43429,-68.77094,-70.76829,-200.0,-200.0,-65.03633,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.61254,-200.0,-200.0,-200.0
15,E03,-200.0,-200.0,-72.39511,-68.62143,-200.0,-73.41642,-200.0,-65.033264,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.72292,-200.0,-200.0,-200.0
16,E03,-200.0,-200.0,-71.00731,-200.0,-71.04114,-200.0,-73.68353,-65.53327,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.1399,-200.0,-200.0,-200.0
