timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-20 14:42:29 +0000,-200.0,-200.0,-63.0,-67.0,-62.0,-200.0,-200.0,-200.0,-61.0,-200.0,-91.0,-88.0,-91.0,-79.0,-200.0,-200.0,0.0,-200.0,-91.0,-92.0,-200.0,-86.0,5.674173831939697,N
2022-07-20 14:42:30 +0000,-60.0,-77.0,-63.0,-69.0,0.0,-69.0,-200.0,-200.0,-62.0,-200.0,-94.0,-87.0,-81.0,-80.0,-78.0,-82.0,0.0,-200.0,0.0,0.0,-200.0,-85.0,8.36811637878418,N
2022-07-20 14:42:31 +0000,-62.0,-78.0,-64.0,-65.0,0.0,-70.0,-73.0,-70.0,0.0,-80.0,0.0,-91.0,-82.0,0.0,-78.0,-80.0,0.0,-84.0,0.0,-83.0,-200.0,-87.0,8.787939071655273,N
2022-07-20 14:42:32 +0000,-64.0,-78.0,0.0,-64.0,-70.0,-70.0,-72.0,-70.0,-65.0,-77.0,-87.0,0.0,-80.0,-89.0,-81.0,-88.0,0.0,-84.0,-85.0,-85.0,-200.0,0.0,9.130125045776367,N
2022-07-20 14:42:33 +0000,-63.0,-76.0,-62.0,0.0,-65.0,-66.0,-75.0,-69.0,-65.0,-76.0,-87.0,-89.0,0.0,-84.0,-82.0,-85.0,-94.0,-90.0,-82.0,-82.0,-200.0,-88.0,6.718679904937744,N
2022-07-20 14:42:34 +0000,0.0,0.0,-62.0,-66.0,-66.0,0.0,-79.0,-75.0,-64.0,-79.0,-89.0,-88.0,-84.0,-81.0,0.0,0.0,-93.0,-90.0,-82.0,-78.0,-200.0,-87.0,9.979049682617188,N
2022-07-20 14:42:35 +0000,-63.0,-77.0,-64.0,-66.0,0.0,-75.0,0.0,0.0,-64.0,0.0,-88.0,-84.0,-80.0,-79.0,-77.0,-85.0,0.0,0.0,0.0,0.0,-200.0,-83.0,7.923930644989014,N
2022-07-20 14:42:36 +0000,-63.0,-78.0,-63.0,-66.0,0.0,-75.0,-72.0,-72.0,0.0,-85.0,0.0,-84.0,-80.0,0.0,-78.0,-86.0,0.0,-88.0,-86.0,-89.0,-200.0,-84.0,8.153221130371094,N
2022-07-20 14:42:37 +0000,-64.0,-80.0,0.0,-71.0,-69.0,-73.0,-74.0,-72.0,-65.0,-82.0,-84.0,0.0,0.0,0.0,-80.0,-84.0,-91.0,-88.0,-82.0,-82.0,-200.0,0.0,5.730344295501709,N
2022-07-20 14:42:38 +0000,0.0,-79.0,-63.0,0.0,-63.0,-78.0,-73.0,-70.0,-66.0,-75.0,-85.0,-91.0,0.0,-76.0,0.0,-84.0,-91.0,-89.0,-76.0,-80.0,-200.0,-88.0,6.851407527923584,N
2022-07-20 14:42:39 +0000,0.0,0.0,-64.0,-62.0,-63.0,0.0,-72.0,-74.0,-64.0,-74.0,-89.0,-87.0,0.0,-77.0,0.0,0.0,-92.0,-90.0,-89.0,-80.0,-200.0,-88.0,8.000543594360352,N
2022-07-20 14:42:40 +0000,-62.0,-78.0,-64.0,-62.0,-85.0,-72.0,0.0,0.0,-64.0,0.0,0.0,-86.0,-86.0,-77.0,-81.0,-86.0,0.0,0.0,0.0,0.0,-200.0,-89.0,16.550548553466797,N
2022-07-20 14:42:41 +0000,-62.0,-78.0,-64.0,-62.0,0.0,-71.0,-74.0,-67.0,0.0,-81.0,0.0,-82.0,-78.0,0.0,-79.0,-83.0,0.0,-86.0,-84.0,-88.0,-200.0,0.0,14.065338134765625,N
2022-07-20 14:42:42 +0000,-66.0,-82.0,0.0,-68.0,-71.0,-74.0,-74.0,-68.0,-63.0,-78.0,-92.0,0.0,-79.0,-78.0,-75.0,-81.0,-94.0,-86.0,-80.0,-82.0,-200.0,0.0,10.892581939697266,N
2022-07-20 14:42:43 +0000,-67.0,0.0,-65.0,0.0,-72.0,-76.0,-72.0,-69.0,-64.0,-77.0,-92.0,-81.0,0.0,-78.0,-74.0,-81.0,0.0,-89.0,-78.0,-82.0,-200.0,-86.0,9.890947341918945,N
2022-07-20 14:42:44 +0000,0.0,0.0,-60.0,-65.0,-72.0,0.0,-72.0,0.0,-64.0,-80.0,-96.0,-84.0,0.0,-78.0,0.0,0.0,0.0,-88.0,-90.0,-82.0,-200.0,-87.0,9.890947341918945,N
2022-07-20 14:42:45 +0000,-65.0,-77.0,-61.0,-65.0,0.0,-71.0,0.0,0.0,-64.0,0.0,-93.0,-88.0,-84.0,-77.0,-90.0,-81.0,0.0,0.0,0.0,0.0,-200.0,-88.0,9.890947341918945,N
2022-07-20 14:42:46 +0000,-61.0,-78.0,-64.0,-66.0,0.0,-72.0,-73.0,-67.0,0.0,-80.0,0.0,-82.0,-83.0,0.0,-84.0,-81.0,0.0,-87.0,-82.0,-84.0,-200.0,0.0,9.890947341918945,N
