timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-19 22:12:41 +0000,-200.0,-200.0,-200.0,-78.0,-89.0,-200.0,-200.0,-86.0,-200.0,-83.0,-75.0,-77.0,-200.0,-72.0,-200.0,-94.0,-200.0,0.0,-91.0,-200.0,-200.0,-200.0,120.32154083251953,E
2022-07-19 22:12:42 +0000,-200.0,-200.0,-79.0,-77.0,-91.0,-200.0,-200.0,-85.0,-200.0,-78.0,-75.0,-78.0,-200.0,-72.0,-200.0,-94.0,-200.0,0.0,-90.0,-71.0,-200.0,-200.0,120.32154083251953,E
2022-07-19 22:12:43 +0000,-81.0,-72.0,-78.0,-72.0,0.0,-85.0,-81.0,-85.0,0.0,-73.0,0.0,-83.0,-56.0,-69.0,-94.0,0.0,-200.0,0.0,-91.0,-71.0,-200.0,-93.0,120.45793914794922,E
2022-07-19 22:12:44 +0000,-80.0,-74.0,-80.0,0.0,-86.0,-84.0,-81.0,0.0,-89.0,0.0,-79.0,-83.0,-55.0,0.0,-92.0,0.0,-200.0,0.0,0.0,-72.0,-200.0,-95.0,126.68231964111328,E
2022-07-19 22:12:45 +0000,-80.0,-70.0,-87.0,-69.0,-87.0,-80.0,-76.0,-85.0,-85.0,0.0,-74.0,0.0,-57.0,-68.0,-92.0,-97.0,-200.0,0.0,0.0,-72.0,-200.0,0.0,52.30497741699219,E
2022-07-19 22:12:46 +0000,0.0,-70.0,0.0,-66.0,-85.0,-84.0,-75.0,-82.0,-85.0,-66.0,-74.0,-74.0,-59.0,-74.0,0.0,-92.0,-200.0,0.0,-93.0,0.0,-200.0,0.0,356.4020080566406,N
2022-07-19 22:12:47 +0000,0.0,0.0,-79.0,-66.0,0.0,0.0,0.0,-80.0,0.0,-66.0,-72.0,-81.0,0.0,-76.0,-86.0,-91.0,-200.0,0.0,-93.0,-70.0,-200.0,0.0,342.949462890625,N
2022-07-19 22:12:48 +0000,-84.0,-69.0,-79.0,-65.0,-84.0,-86.0,-81.0,-79.0,-87.0,-69.0,0.0,-83.0,-58.0,-74.0,-85.0,0.0,-200.0,0.0,-93.0,-67.0,-200.0,0.0,343.0446472167969,N
2022-07-19 22:12:49 +0000,-83.0,-70.0,-79.0,0.0,-85.0,-80.0,-80.0,0.0,-87.0,-74.0,-79.0,-80.0,-58.0,0.0,-86.0,-87.0,-200.0,0.0,-95.0,-64.0,-200.0,-94.0,11.515192031860352,N
2022-07-19 22:12:50 +0000,-82.0,-73.0,-78.0,-67.0,-85.0,-84.0,-80.0,-87.0,-87.0,0.0,-73.0,0.0,-60.0,-68.0,-88.0,-88.0,-200.0,0.0,0.0,-64.0,-200.0,-93.0,16.660240173339844,N
