timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-19 21:49:18 +0000,-88.0,-69.0,-90.0,-79.0,-200.0,-200.0,-87.0,-90.0,0.0,-86.0,-200.0,-61.0,-79.0,-200.0,-92.0,-200.0,-200.0,-200.0,-95.0,-69.0,-200.0,-87.0,274.94537353515625,W
2022-07-19 21:49:19 +0000,-89.0,-68.0,-88.0,0.0,-87.0,-86.0,-86.0,0.0,-88.0,-87.0,-200.0,-63.0,-78.0,-200.0,-89.0,-200.0,-200.0,-200.0,-95.0,-69.0,-200.0,-85.0,274.8419189453125,W
2022-07-19 21:49:20 +0000,-84.0,-65.0,-85.0,0.0,-89.0,-86.0,-87.0,-88.0,-82.0,0.0,-58.0,-67.0,-74.0,-71.0,-95.0,-200.0,-200.0,-200.0,0.0,-74.0,-200.0,-87.0,279.10791015625,W
2022-07-19 21:49:21 +0000,-81.0,-64.0,0.0,-81.0,-94.0,-93.0,0.0,-90.0,-82.0,-82.0,-57.0,0.0,-73.0,-66.0,0.0,-200.0,-200.0,-200.0,0.0,0.0,-200.0,-87.0,277.0355224609375,W
2022-07-19 21:49:22 +0000,0.0,0.0,0.0,-81.0,0.0,-92.0,0.0,-90.0,0.0,-77.0,-58.0,-69.0,0.0,-66.0,0.0,-200.0,-200.0,-200.0,0.0,-78.0,-200.0,0.0,276.03155517578125,W
2022-07-19 21:49:23 +0000,-86.0,-67.0,-90.0,-77.0,0.0,0.0,-85.0,-89.0,0.0,-79.0,-59.0,-70.0,-71.0,-72.0,-90.0,-200.0,-200.0,-200.0,0.0,-71.0,-200.0,-84.0,280.490966796875,W
2022-07-19 21:49:24 +0000,-88.0,-66.0,-85.0,-76.0,-89.0,-87.0,-85.0,0.0,-87.0,-80.0,0.0,-72.0,-74.0,0.0,-88.0,-200.0,-200.0,-200.0,0.0,-70.0,-200.0,-83.0,276.9405212402344,W
2022-07-19 21:49:25 +0000,-88.0,-66.0,-86.0,0.0,-86.0,-88.0,-85.0,-95.0,-90.0,0.0,-54.0,0.0,-74.0,-67.0,-92.0,-200.0,-200.0,-200.0,0.0,-69.0,-200.0,-85.0,278.2352294921875,W
2022-07-19 21:49:26 +0000,-89.0,-66.0,0.0,-72.0,-86.0,-92.0,-87.0,-88.0,-92.0,-77.0,-59.0,0.0,-73.0,-69.0,0.0,-200.0,-200.0,-200.0,0.0,0.0,-200.0,-88.0,283.6773376464844,W
2022-07-19 21:49:27 +0000,0.0,0.0,-88.0,-72.0,-88.0,-92.0,0.0,-87.0,0.0,-77.0,-59.0,-70.0,0.0,-69.0,0.0,-200.0,-200.0,-200.0,0.0,-70.0,-200.0,0.0,280.31121826171875,W
2022-07-19 21:49:28 +0000,-82.0,-66.0,-88.0,-77.0,0.0,0.0,-88.0,-87.0,-93.0,-78.0,-59.0,-68.0,-75.0,-69.0,-93.0,-200.0,-200.0,-200.0,0.0,-68.0,-200.0,-89.0,280.36993408203125,W
2022-07-19 21:49:29 +0000,-84.0,-65.0,-88.0,-76.0,-87.0,-88.0,-88.0,0.0,-89.0,-79.0,0.0,-69.0,-75.0,0.0,-93.0,-200.0,-200.0,-200.0,-200.0,-67.0,-200.0,-86.0,279.349609375,W
2022-07-19 21:49:30 +0000,-84.0,-65.0,-94.0,0.0,-86.0,-87.0,-90.0,-91.0,-85.0,0.0,-56.0,0.0,-78.0,-71.0,0.0,-200.0,-200.0,-200.0,-200.0,-68.0,-200.0,-87.0,277.11322021484375,W
2022-07-19 21:49:31 +0000,-82.0,-64.0,0.0,-71.0,-87.0,-96.0,0.0,-92.0,-85.0,-80.0,-56.0,0.0,-77.0,-73.0,0.0,-200.0,-200.0,-200.0,-200.0,0.0,-200.0,-89.0,279.2099609375,W
2022-07-19 21:49:32 +0000,0.0,0.0,-91.0,-71.0,-88.0,0.0,0.0,-91.0,0.0,-79.0,-60.0,-67.0,0.0,-70.0,0.0,-200.0,-200.0,-200.0,-200.0,-72.0,-200.0,0.0,270.1178283691406,W
2022-07-19 21:49:33 +0000,-86.0,-70.0,-84.0,-72.0,0.0,0.0,-92.0,-92.0,-86.0,-75.0,-61.0,-71.0,-77.0,-66.0,0.0,-200.0,-200.0,-200.0,0.0,-72.0,-200.0,-82.0,273.21612548828125,W
2022-07-19 21:49:34 +0000,-87.0,-64.0,-87.0,-70.0,-93.0,-86.0,-89.0,0.0,-88.0,-72.0,0.0,-65.0,-74.0,0.0,-95.0,-200.0,-200.0,-200.0,-93.0,-70.0,-200.0,-85.0,276.81658935546875,W
2022-07-19 21:49:35 +0000,-87.0,-64.0,-90.0,0.0,-90.0,-87.0,-91.0,-86.0,-89.0,0.0,-59.0,-64.0,-75.0,-76.0,-94.0,-200.0,-200.0,-200.0,-93.0,-69.0,-200.0,-84.0,274.16558837890625,W
2022-07-19 21:49:36 +0000,-89.0,-64.0,0.0,-71.0,-89.0,-86.0,-92.0,-87.0,-92.0,-79.0,-60.0,0.0,-75.0,-76.0,0.0,-200.0,-200.0,-200.0,0.0,0.0,-200.0,-87.0,269.9369201660156,W
2022-07-19 21:49:37 +0000,0.0,0.0,-93.0,-70.0,-93.0,-84.0,0.0,-90.0,0.0,-80.0,-61.0,-72.0,0.0,-71.0,0.0,-200.0,-200.0,-200.0,0.0,-73.0,-200.0,0.0,272.0940246582031,W
