,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,A09,-64.0,-200.0,-200.0,-66.0,-64.7299375,-63.0,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.0,-200,-200.0,-200.0
1,A09,-70.24742,-200.0,-200.0,-66.0,-59.0,-64.001,-70.0,-64.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13628,-200,-200.0,-200.0
2,A09,-70.24742,-200.0,-200.0,-68.9317,-58.4995,-64.00066,-70.0,-64.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-72.49746,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
3,A09,-65.001,-200.0,-71.21158,-68.00665,-58.332443,-62.99352,-70.0,-64.668884,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
4,A09,-66.33844,-200.0,-200.0,-68.760216,-64.7299375,-65.47723,-66.744896,-65.50748,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.33777,-200,-200.0,-200.0
5,A09,-67.00848,-200.0,-200.0,-69.01114,-64.7299375,-62.38766,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.4975,-200,-200.0,-200.0
6,A09,-70.24742,-200.0,-200.0,-69.348656,-59.507477,-62.15217,-70.75523,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.13628,-200,-200.0,-200.0
7,A09,-68.42349,-200.0,-200.0,-68.9317,-59.60716,-61.836784,-70.80477,-65.40477,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-72.49746,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
8,A09,-68.69103,-200.0,-71.21158,-69.00448,-58.6556,-61.340565,-70.837906,-65.50578,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
9,A09,-68.88285,-200.0,-200.0,-68.874565,-64.7299375,-65.47723,-66.744896,-65.724754,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.32947,-200,-200.0,-200.0
10,A09,-69.15667,-200.0,-72.93519,-68.65696,-64.7299375,-63.274494,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
11,A09,-70.24742,-200.0,-200.0,-68.27073,-58.85261,-63.13989,-69.39623,-64.46703,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-72.49746,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
12,A09,-68.90631,-200.0,-72.27478,-68.9317,-59.130337,-63.223457,-68.31034,-63.600212,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
13,A09,-68.81059,-200.0,-71.21158,-68.9317,-58.883034,-63.47394,-68.04214,-62.79752,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
14,A09,-68.828995,-200.0,-71.61849,-68.14726,-58.68416,-65.47723,-69.410675,-62.428555,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
15,A09,-68.84442,-200.0,-71.31299,-68.3144,-64.7299375,-63.9405,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
16,A09,-70.24742,-200.0,-71.12898,-68.625565,-58.423367,-64.26344,-70.14805,-61.938824,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
17,A09,-70.24742,-200.0,-70.74224,-68.9317,-58.29496,-64.243576,-70.67598,-61.437416,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
18,A09,-68.773125,-200.0,-71.21158,-68.416695,-58.354485,-64.226074,-71.294334,-61.323063,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
19,A09,-68.632065,-200.0,-70.8326,-68.30987,-64.7299375,-65.47723,-66.744896,-61.826527,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
20,A09,-69.112236,-200.0,-70.70658,-68.287605,-64.7299375,-63.866703,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
21,A09,-70.24742,-200.0,-70.26335,-68.54289,-58.326286,-63.545067,-71.19137,-61.91083,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
22,A09,-70.24742,-200.0,-69.92782,-68.9317,-58.30168,-63.38282,-71.02613,-61.98573,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
23,A09,-68.52943,-200.0,-71.21158,-68.9317,-58.423695,-63.235817,-70.80872,-62.11885,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
24,A09,-68.49302,-200.0,-69.6855,-68.77137,-64.7299375,-65.47723,-70.61558,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
25,A09,-68.328255,-200.0,-69.40494,-68.65845,-64.7299375,-65.47723,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
26,A09,-70.24742,-200.0,-68.97343,-68.55614,-58.119495,-63.341454,-70.376625,-62.557514,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
27,A09,-70.24742,-200.0,-68.52016,-68.9317,-58.1116,-63.438103,-70.352615,-62.83158,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
28,A09,-68.11608,-200.0,-71.21158,-68.64259,-58.168232,-63.470043,-70.51594,-63.081184,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
29,A09,-67.862144,-200.0,-68.3801,-68.43033,-64.7299375,-65.47723,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
30,A09,-67.63088,-200.0,-68.25052,-68.17848,-64.7299375,-63.83296,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
31,A09,-70.24742,-200.0,-68.07685,-68.05741,-58.34293,-64.1687,-69.766495,-64.0671,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
32,A09,-70.24742,-200.0,-68.38792,-68.9317,-58.681667,-64.48025,-69.08082,-64.34752,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
33,A09,-67.53585,-200.0,-71.21158,-68.9317,-59.10813,-65.03271,-68.50775,-64.60609,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
34,A09,-67.33485,-200.0,-68.36786,-67.67319,-64.7299375,-65.47723,-68.14607,-65.2264,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
35,A09,-67.03835,-200.0,-68.14526,-67.26323,-64.7299375,-65.23781,-66.744896,-65.86077,-200.0,-200.0,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200.0,-200.0
