,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,U01,-200.0,-200,-200.0,-200.0,-82.0,-200.0,-85.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.00269,-74.97046,-67.10002,-59.0,-79.0,-200,-85.0,-200.0
1,U01,-200.0,-200,-200.0,-200.0,-82.500496,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.00269,-74.0,-67.10002,-59.0,-79.500496,-200,-85.500496,-200.0
2,U01,-200.0,-200,-200.0,-200.0,-85.677536,-200.0,-81.915855,-200.0,-200.0,-200,-200,-200,-200,-200,-200.0,-74.500496,-66.0,-61.117046,-80.670876,-200,-84.66423,-200.0
3,U01,-200.0,-200,-200.0,-200.0,-200.0,-85.795204,-200.0,-84.999,-200.0,-200,-200,-200,-200,-200,-200.0,-75.670876,-64.999,-59.334442,-81.257225,-200,-200.0,-86.33444
4,U01,-200.0,-200,-200.0,-200.0,-85.506966,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-84.990685,-75.75373,-64.99934,-58.495014,-80.93226,-200,-84.49702,-200.0
5,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-85.18169,-200.0,-200.0,-200,-200,-200,-200,-200,-83.23081,-74.97046,-65.25125,-57.990047,-83.02667,-200,-84.39642,-200.0
6,U01,-200.0,-200,-200.0,-200.0,-84.828285,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,-200,-200,-81.00269,-76.20835,-67.10002,-58.50085,-82.68274,-200,-84.66856,-200.0
7,U01,-200.0,-200,-200.0,-200.0,-85.14653,-200.0,-81.915855,-200.0,-200.0,-200,-200,-200,-200,-200,-82.374535,-75.83359,-67.42669,-61.117046,-82.14306,-200,-200.0,-200.0
8,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-81.915855,-200.0,-200.0,-200,-200,-200,-200,-200,-81.801865,-75.41835,-69.22102,-58.427452,-81.736565,-200,-200.0,-85.423195
9,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-83.958115,-200.0,-200.0,-200,-200,-200,-200,-200,-81.53781,-75.10558,-70.65406,-58.113506,-80.93226,-200,-200.0,-85.239136
10,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-83.31688,-200.0,-200.0,-200,-200,-200,-200,-200,-81.468254,-74.97046,-71.99212,-58.100327,-81.53497,-200,-85.11579,-200.0
11,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-83.04792,-200.0,-200.0,-200,-200,-200,-200,-200,-81.00269,-75.90592,-67.10002,-58.512188,-81.372856,-200,-84.78672,-200.0
12,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-81.915855,-200.0,-200.0,-200,-200,-200,-200,-200,-81.065636,-76.12709,-72.45738,-61.117046,-81.23947,-200,-84.51596,-200.0
13,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-83.3597,-200.0,-200.0,-200,-200,-200,-200,-200,-80.84747,-76.50338,-72.09223,-58.170948,-81.30808,-200,-200.0,-85.73577
14,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-82.93612,-200.0,-200.0,-200,-200,-200,-200,-200,-80.86229,-77.08946,-71.888954,-58.06531,-80.93226,-200,-84.92048,-200.0
15,U01,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-82.67124,-200.0,-200.0,-200,-200,-200,-200,-200,-80.69429,-74.97046,-71.80876,-58.31308,-81.11322,-200,-85.01163,-200.0
