timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-20 13:49:11 +0000,-76.0,-64.0,-73.0,-69.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.0,-67.0,-200.0,-87.0,-89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,282.7776794433594,W
2022-07-20 13:49:12 +0000,-77.501495,-64.500496,-73.500496,-69.500496,-200.0,-82.500496,-68.0,-81.0,-200.0,-70.0,-200.0,-73.0,-67.500496,-200.0,-87.0,-89.500496,-200.0,-200.0,-80.0,-70.0,-200.0,-93.001,275.0025939941406,W
2022-07-20 13:49:13 +0000,-80.6782,-64.66755,-200.0,-70.33643,-81.0,-82.33311,-67.499504,-81.0,-82.0,-70.0,-73.0,-200.0,-68.00199,-69.0,-87.668884,-90.00199,-200.0,-200.0,-80.0,-69.499504,-200.0,-200.0,275.2325744628906,W
2022-07-20 13:49:14 +0000,-83.528404,-64.751236,-72.32978,-200.0,-79.999,-84.01147,-67.66689,-81.33444,-80.999,-71.33777,-74.001,-71.99667,-200.0,-70.501495,-200.0,-200.0,-200.0,-200.0,-80.0,-68.66357,-200.0,-92.66622,275.2325744628906,W
2022-07-20 13:49:15 +0000,-200.0,-200.0,-71.99502,-70.0,-78.996,-200.0,-70.2682,-80.24327,-81.66822,-72.51147,-74.33511,-71.24228,-69.00847,-71.337105,-200.0,-200.0,-200.0,-200.0,-80.25175,-200.0,-200.0,-93.00199,278.55352783203125,W
2022-07-20 13:49:16 +0000,-82.00473,-64.5992,-72.603195,-69.79761,-78.493515,-83.60437,-200.0,-200.0,-82.25523,-200.0,-73.999,-70.586075,-69.41153,-71.000496,-87.75224,-89.74974,-200.0,-200.0,-200.0,-200.0,-200.0,-93.20398,278.55352783203125,W
2022-07-20 13:49:17 +0000,-82.17363,-64.83692,-72.67054,-69.831955,-200.0,-83.50181,-70.011536,-78.9797,-200.0,-200.0,-200.0,-70.1472,-69.6811,-200.0,-87.6,-89.598,-200.0,-200.0,-80.605576,-69.251755,-200.0,-200.0,277.41717529296875,W
2022-07-20 13:49:18 +0000,-82.148186,-65.00736,-200.0,-70.44275,-79.60797,-83.28173,-69.67017,-78.47404,-83.21552,-71.5984,-75.21354,-200.0,-70.16746,-71.60757,-87.49818,-89.49651,-200.0,-200.0,-80.5028,-68.99841,-200.0,-200.0,275.06878662109375,W
2022-07-20 13:49:19 +0000,-81.87036,-65.65307,-74.33079,-200.0,-80.01391,-83.11596,-70.01159,-78.697655,-83.688065,-71.32714,-75.85612,-69.83254,-200.0,-72.01357,-87.57172,-89.86338,-200.0,-200.0,-80.28258,-68.65928,-200.0,-92.66025,277.4405822753906,W
2022-07-20 13:49:20 +0000,-200.0,-200.0,-74.158676,-70.12682,-80.4515,-200.0,-200.0,-78.86609,-84.02686,-70.986115,-76.60991,-69.983536,-69.75781,-72.597755,-200.0,-200.0,-200.0,-200.0,-200.0,-68.41612,-200.0,-92.27041,278.4591979980469,W
2022-07-20 13:49:21 +0000,-82.465836,-65.809425,-74.02417,-69.87993,-81.81575,-83.9151,-200.0,-200.0,-84.28205,-200.0,-77.17768,-69.86936,-69.32158,-200.0,-87.627106,-89.751724,-200.0,-200.0,-200.0,-200.0,-200.0,-92.1061,279.5152893066406,W
2022-07-20 13:49:22 +0000,-82.62786,-65.935165,-74.655304,-69.57577,-200.0,-84.1353,-70.39808,-79.46207,-200.0,-70.47058,-200.0,-69.671936,-68.97077,-200.0,-87.438225,-89.54838,-200.0,-200.0,-80.24603,-68.49164,-200.0,-91.9777,279.5152893066406,W
2022-07-20 13:49:23 +0000,-81.9839,-66.03862,-200.0,-69.42267,-82.185394,-84.219315,-70.58404,-79.73011,-84.24931,-70.067696,-200.0,-200.0,-68.68213,-73.1671,-87.49756,-89.38484,-200.0,-200.0,-80.21747,-68.2024,-200.0,-200.0,279.5152893066406,W
2022-07-20 13:49:24 +0000,-82.07556,-66.21557,-74.300156,-200.0,-82.48265,-84.47017,-70.73358,-79.85349,-84.222984,-69.743706,-77.50531,-69.99529,-200.0,-73.612045,-200.0,-89.25029,-200.0,-200.0,-80.511345,-67.969795,-200.0,-91.98005,279.5152893066406,W
2022-07-20 13:49:25 +0000,-200.0,-200.0,-74.00243,-69.20412,-82.921555,-200.0,-200.0,-79.866714,-84.201324,-69.47713,-77.76879,-69.9055,-68.53038,-73.86425,-200.0,-200.0,-200.0,-200.0,-80.75314,-67.87557,-200.0,-91.98199,278.4210510253906,W
2022-07-20 13:49:26 +0000,-82.491325,-66.11294,-73.74894,-69.01803,-83.46991,-84.26161,-200.0,-200.0,-84.18317,-200.0,-78.27705,-69.74463,-68.4856,-74.65472,-87.35206,-89.22771,-200.0,-200.0,-200.0,-200.0,-200.0,-91.98361,276.3032531738281,W
2022-07-20 13:49:27 +0000,-82.134026,-66.1835,-73.4507,-68.93704,-200.0,-84.00214,-70.37083,-80.215675,-200.0,-69.343864,-200.0,-69.8445,-68.446976,-200.0,-87.3203,-89.20848,-200.0,-200.0,-80.504776,-67.8868,-200.0,-91.98499,277.3190612792969,W
2022-07-20 13:49:28 +0000,-81.89771,-66.32047,-200.0,-68.94179,-83.51466,-83.775764,-70.33738,-80.35762,-83.82999,-69.23041,-78.612915,-200.0,-68.56408,-74.32501,-87.208824,-89.11234,-200.0,-200.0,-80.2933,-67.896355,-200.0,-200.0,280.38128662109375,W
2022-07-20 13:49:29 +0000,-82.19244,-66.15376,-73.34131,-200.0,-83.23506,-83.79188,-70.47775,-80.40606,-83.60485,-69.13252,-78.47674,-70.082436,-200.0,-73.95986,-87.58997,-89.480896,-200.0,-200.0,-80.110855,-67.74549,-200.0,-200.0,276.213623046875,W
2022-07-20 13:49:30 +0000,-200.0,-200.0,-73.24495,-68.94597,-82.91572,-200.0,-70.75796,-80.37689,-83.55924,-68.971725,-77.72283,-70.076515,-68.52355,-73.56529,-200.0,-200.0,-200.0,-200.0,-79.95169,-67.61387,-200.0,-200.0,271.43212890625,W
2022-07-20 13:49:31 +0000,-82.24796,-66.00565,-73.4344,-68.743385,-200.0,-84.08125,-200.0,-200.0,-83.15984,-200.0,-77.065094,-69.86496,-68.418785,-73.37186,-87.7717,-89.66187,-200.0,-200.0,-200.0,-200.0,-200.0,-92.224846,270.2592468261719,W
2022-07-20 13:49:32 +0000,-81.835045,-66.00528,-73.670044,-68.62817,-200.0,-83.74544,-70.77621,-80.350975,-200.0,-69.0456,-200.0,-69.74171,-68.126755,-200.0,-87.7881,-89.75389,-200.0,-200.0,-80.09885,-67.56976,-200.0,-200.0,274.5898742675781,W
