timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,heading,direction
2022-07-18 22:29:50 +0000,-71.0,-200.0,-75.0,-83.0,-70.0,-69.0,-55.0,-63.0,-200.0,-82.0,-94.0,-200.0,-200.0,0.0,-200.0,-64.0,-70.0,-200.0,-200.0,-200.0,-200.0,-200.0,6.058051586151123,N
2022-07-18 22:29:51 +0000,-72.0,-200.0,-77.0,-73.0,-70.0,-71.0,0.0,0.0,-80.0,-81.0,-94.0,-200.0,-200.0,-91.0,-74.0,-64.0,-80.0,-79.0,-200.0,0.0,-88.0,-200.0,9.513521194458008,N
2022-07-18 22:29:52 +0000,0.0,-85.0,-73.0,-74.0,0.0,-72.0,-59.0,-64.0,-81.0,-83.0,0.0,-200.0,-86.0,-87.0,-68.0,0.0,-81.0,-78.0,-69.0,-92.0,-79.0,-79.0,10.530378341674805,N
2022-07-18 22:29:53 +0000,0.0,-86.0,-73.0,-75.0,-66.0,-69.0,-59.0,-64.0,-79.0,0.0,0.0,-200.0,-87.0,-87.0,-68.0,-69.0,-83.0,-77.0,-67.0,-90.0,-80.0,-80.0,11.539892196655273,N
2022-07-18 22:29:54 +0000,-75.0,-88.0,0.0,0.0,-69.0,0.0,-58.0,-64.0,0.0,-80.0,0.0,-200.0,-86.0,0.0,-67.0,-67.0,0.0,-80.0,-68.0,-91.0,-80.0,-83.0,12.57573127746582,N
2022-07-18 22:29:55 +0000,-75.0,-89.0,-75.0,-75.0,-71.0,-77.0,-57.0,-64.0,0.0,-78.0,0.0,-200.0,-86.0,0.0,0.0,-66.0,-74.0,0.0,-75.0,0.0,0.0,-89.0,12.57573127746582,N
2022-07-18 22:29:56 +0000,-76.0,0.0,-76.0,-74.0,-74.0,-72.0,0.0,0.0,-82.0,-83.0,-95.0,-200.0,0.0,-91.0,-72.0,-65.0,-76.0,-78.0,0.0,0.0,-76.0,0.0,10.438884735107422,N
2022-07-18 22:29:57 +0000,0.0,-87.0,-76.0,-71.0,0.0,-71.0,-58.0,-67.0,-82.0,-83.0,0.0,-200.0,-84.0,-92.0,-70.0,0.0,-84.0,-78.0,-65.0,0.0,-76.0,-79.0,10.438884735107422,N
2022-07-18 22:29:58 +0000,-76.0,-90.0,0.0,0.0,-69.0,-71.0,-60.0,-67.0,-79.0,0.0,0.0,-200.0,-83.0,-93.0,-74.0,-69.0,0.0,-78.0,-66.0,-94.0,-76.0,-77.0,7.379958629608154,N
2022-07-18 22:29:59 +0000,-75.0,-88.0,0.0,0.0,-71.0,0.0,-59.0,-69.0,0.0,-82.0,0.0,-200.0,-83.0,0.0,0.0,-69.0,0.0,-78.0,-67.0,-94.0,-94.0,-77.0,8.397176742553711,N
2022-07-18 22:30:00 +0000,-76.0,-85.0,-76.0,-70.0,-74.0,-72.0,-60.0,-69.0,0.0,-81.0,0.0,-200.0,-84.0,0.0,0.0,-69.0,-82.0,0.0,-71.0,0.0,0.0,-87.0,9.410961151123047,N
2022-07-18 22:30:01 +0000,-76.0,0.0,-76.0,-71.0,-71.0,-72.0,0.0,0.0,-76.0,-82.0,0.0,-200.0,0.0,-92.0,-75.0,-68.0,-79.0,-78.0,0.0,0.0,-77.0,0.0,9.410961151123047,N
2022-07-18 22:30:02 +0000,0.0,-88.0,-78.0,-80.0,0.0,-71.0,-61.0,-64.0,-76.0,-81.0,0.0,-200.0,-84.0,-94.0,-73.0,0.0,-78.0,-76.0,-67.0,0.0,-79.0,-79.0,11.466829299926758,N
2022-07-18 22:30:03 +0000,-77.0,-87.0,-78.0,-83.0,-69.0,-71.0,-56.0,-63.0,-82.0,0.0,0.0,-200.0,-83.0,-94.0,-74.0,-71.0,0.0,-75.0,-68.0,0.0,-78.0,-78.0,11.466829299926758,N
2022-07-18 22:30:04 +0000,-77.0,-86.0,0.0,0.0,-72.0,0.0,-57.0,-64.0,0.0,-86.0,0.0,-200.0,-83.0,0.0,0.0,-70.0,0.0,-76.0,-68.0,0.0,-76.0,-81.0,10.43796157836914,N
2022-07-18 22:30:05 +0000,-76.0,-90.0,-83.0,-74.0,-71.0,-82.0,-58.0,-63.0,0.0,-85.0,0.0,-200.0,-84.0,-93.0,0.0,-68.0,-77.0,0.0,0.0,0.0,0.0,-81.0,10.43796157836914,N
2022-07-18 22:30:06 +0000,-77.0,0.0,-78.0,-75.0,-71.0,-72.0,0.0,0.0,-81.0,-82.0,0.0,-200.0,0.0,-92.0,-81.0,-64.0,-76.0,-75.0,0.0,0.0,-88.0,0.0,8.199657440185547,N
2022-07-18 22:30:07 +0000,0.0,-88.0,-80.0,-75.0,0.0,-70.0,-61.0,0.0,-80.0,-81.0,0.0,-200.0,-84.0,-91.0,-73.0,0.0,-73.0,-79.0,-68.0,-94.0,-78.0,-75.0,14.95805549621582,N
2022-07-18 22:30:08 +0000,0.0,-85.0,0.0,-74.0,-70.0,-67.0,-58.0,-62.0,-83.0,0.0,0.0,-200.0,-84.0,-90.0,-75.0,-61.0,0.0,-78.0,-69.0,-93.0,-77.0,-73.0,18.055953979492188,N
2022-07-18 22:30:09 +0000,-76.0,-83.0,0.0,0.0,-70.0,0.0,-58.0,-64.0,0.0,-82.0,0.0,-200.0,-81.0,0.0,-79.0,-62.0,0.0,-78.0,-68.0,-92.0,-73.0,-79.0,24.424297332763672,N
2022-07-18 22:30:10 +0000,-80.0,0.0,-85.0,-76.0,-67.0,-71.0,-58.0,-64.0,0.0,-82.0,0.0,-200.0,-80.0,-92.0,0.0,-64.0,-76.0,0.0,-73.0,0.0,0.0,-84.0,19.686185836791992,N
2022-07-18 22:30:11 +0000,-80.0,0.0,-85.0,-78.0,-70.0,-73.0,0.0,0.0,-86.0,-88.0,0.0,-200.0,0.0,-92.0,-71.0,-68.0,-77.0,-74.0,0.0,-94.0,-86.0,0.0,15.333080291748047,N
2022-07-18 22:30:12 +0000,0.0,-90.0,-85.0,-79.0,0.0,-71.0,-59.0,-74.0,-87.0,-89.0,-94.0,-200.0,-94.0,-94.0,-72.0,0.0,-77.0,-72.0,-74.0,-91.0,-82.0,-78.0,13.23402214050293,N
2022-07-18 22:30:13 +0000,-78.0,-90.0,-91.0,0.0,-73.0,-72.0,-59.0,-71.0,-85.0,0.0,0.0,-200.0,-85.0,0.0,-73.0,-67.0,-78.0,-70.0,-79.0,-90.0,-78.0,-78.0,10.986396789550781,N
2022-07-18 22:30:14 +0000,-80.0,-91.0,0.0,0.0,-71.0,0.0,-58.0,-66.0,0.0,-84.0,0.0,-200.0,-84.0,0.0,-76.0,-64.0,0.0,-70.0,-71.0,0.0,-77.0,-79.0,10.985111236572266,N
2022-07-18 22:30:15 +0000,-80.0,-92.0,-85.0,-78.0,-72.0,0.0,-62.0,-63.0,-83.0,-85.0,-96.0,-200.0,-84.0,-93.0,0.0,-65.0,-75.0,0.0,-71.0,0.0,0.0,0.0,10.985111236572266,N
2022-07-18 22:30:16 +0000,-80.0,0.0,-83.0,-76.0,-80.0,-69.0,0.0,0.0,-84.0,-86.0,-94.0,-200.0,0.0,-91.0,-81.0,-67.0,-75.0,-81.0,0.0,-89.0,-76.0,0.0,10.985111236572266,N
2022-07-18 22:30:17 +0000,0.0,-92.0,-85.0,-75.0,0.0,-70.0,-57.0,0.0,-83.0,-85.0,-94.0,-200.0,-85.0,-91.0,-76.0,0.0,-74.0,-72.0,-71.0,-93.0,-75.0,-77.0,9.979047775268555,N
2022-07-18 22:30:18 +0000,-80.0,-91.0,-90.0,0.0,-70.0,-71.0,-58.0,-62.0,-85.0,0.0,0.0,-200.0,-86.0,-94.0,-74.0,-66.0,-74.0,-71.0,-70.0,-90.0,-75.0,-77.0,9.979047775268555,N
2022-07-18 22:30:19 +0000,-76.0,-88.0,0.0,0.0,-71.0,0.0,-61.0,-63.0,0.0,-82.0,0.0,-200.0,-89.0,0.0,0.0,-65.0,0.0,-71.0,-69.0,0.0,-82.0,-80.0,9.979047775268555,N
2022-07-18 22:30:20 +0000,-77.0,-94.0,-87.0,-74.0,-69.0,-69.0,-61.0,-69.0,-86.0,-85.0,0.0,-200.0,-89.0,0.0,0.0,-66.0,-74.0,0.0,-78.0,0.0,0.0,-81.0,9.979047775268555,N
2022-07-18 22:30:21 +0000,-77.0,0.0,-83.0,-73.0,-69.0,-72.0,0.0,0.0,-84.0,-87.0,-95.0,-200.0,0.0,-92.0,-80.0,-67.0,-74.0,-75.0,0.0,-88.0,-89.0,0.0,8.953546524047852,N
2022-07-18 22:30:22 +0000,0.0,-88.0,-82.0,-76.0,0.0,-71.0,-61.0,0.0,-82.0,-87.0,0.0,-200.0,-89.0,-91.0,-75.0,0.0,-75.0,-71.0,-74.0,-89.0,-80.0,-78.0,8.953546524047852,N
